"","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR129","MIR200","SNAIL1","TGFB","ZEB1","MIR34","TWIST1","HA","CD44s","CD24","MIR340"
"TWIST1",0.23559672216634,0.23559672216634,0.23559672216634,0.23559672216634,0.23559672216634,0.0693199860596244,0.0243418526815191,0.19488963859155,-0.0645104208019574,-0.235788093077961,-0.0243418526815191,-0.122140126679179,-0.234920199991446,-0.234920199991446,-0.234920199991446,-0.23559672216634
"CD24",0.228303113160276,0.228303113160276,0.228303113160276,0.228303113160276,0.228303113160276,0.176960689485105,0.151972619825982,0.138897051905511,-0.0204157293353872,-0.229107402704512,-0.151972619825982,-0.176960689485105,-0.227198610186615,-0.227198610186615,-0.227198610186615,-0.228303113160276
"HAS2",0.227198610186615,0.227198610186615,0.227198610186615,0.227198610186615,0.227198610186615,0.176504068480539,0.151656497592051,0.137950978111755,-0.0205123476928751,-0.228303113160276,-0.151656497592051,-0.176504068480539,-0.325417439703154,-0.225417439703154,-0.225417439703154,-0.227198610186615
"ESRP1",0.227198610186615,0.227198610186615,0.227198610186615,0.227198610186615,0.227198610186615,0.176504068480539,0.151656497592051,0.137950978111755,-0.0205123476928751,-0.228303113160276,-0.151656497592051,-0.176504068480539,-0.225417439703154,-0.325417439703154,-0.225417439703154,-0.227198610186615
"MIR200",0.17842583582568,0.17842583582568,0.17842583582568,0.17842583582568,0.17842583582568,0.222058905412191,0.0350391582787493,0.173001954202152,-0.00964412659855893,-0.179040841975741,-0.0350391582787493,-0.222058905412191,-0.177261278863654,-0.177261278863654,-0.177261278863654,-0.17842583582568
"GRHL2",0.0561378076748737,0.0561378076748737,0.0561378076748737,0.0561378076748737,0.0561378076748737,0.122543877771569,0.0260959747059111,0.0948368335180314,-0.00965741968052986,-0.0564465857957383,-0.0260959747059111,-0.122543877771569,-0.0557556420697782,-0.0557556420697782,-0.155755642069778,-0.0561378076748737
"TGFB",0.0288846014642808,0.0288846014642808,0.0288846014642808,0.0288846014642808,0.0288846014642808,0.169271523215201,-0.0932088730485785,0.101577831502832,-0.103912748373347,-0.0285462168828478,0.0932088730485785,-0.169271523215201,-0.0285418422526269,-0.0285418422526269,-0.0285418422526269,-0.0288846014642808
"SNAIL1",0.0285462168828478,0.0285462168828478,0.0285462168828478,0.0285462168828478,0.0285462168828478,0.16910437536533,-0.0929657393250306,0.000658493426246941,-0.104059018485488,-0.028182507042476,0.0929657393250306,-0.16910437536533,-0.0288846014642808,-0.0288846014642808,-0.0288846014642808,-0.0285462168828478
"MIR34",-0.0288846014642808,-0.0288846014642808,-0.0288846014642808,-0.0288846014642808,-0.0288846014642808,-0.169271523215201,0.0932088730485785,-0.101577831502832,0.103912748373347,0.0285462168828478,-0.0932088730485785,0.169271523215201,0.0285418422526269,0.0285418422526269,0.0285418422526269,0.0288846014642808
"MIR190",-0.0285418422526269,-0.0285418422526269,-0.0285418422526269,-0.0285418422526269,-0.0285418422526269,-0.167555729110494,0.0931826881834306,-0.102738462886304,0.00272735245110936,0.0288846014642808,-0.0931826881834306,0.167555729110494,0.0272887094205467,0.0272887094205467,0.0272887094205467,0.0285418422526269
"ZEB1",-0.229107402704512,-0.229107402704512,-0.229107402704512,-0.229107402704512,-0.229107402704512,-0.177739748381958,-0.152100567184783,-0.139255241420327,0.0206433716118099,0.129525045568931,0.152100567184783,0.177739748381958,0.228303113160276,0.228303113160276,0.228303113160276,0.229107402704512
"MIR340",-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.176960689485105,-0.151972619825982,-0.138897051905511,0.0204157293353872,0.229107402704512,0.151972619825982,0.176960689485105,0.227198610186615,0.227198610186615,0.227198610186615,0.228303113160276
"MIR1199",-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.176960689485105,-0.151972619825982,-0.138897051905511,0.0204157293353872,0.229107402704512,0.151972619825982,0.176960689485105,0.227198610186615,0.227198610186615,0.227198610186615,0.228303113160276
"HA",-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.176960689485105,-0.151972619825982,-0.138897051905511,0.0204157293353872,0.229107402704512,0.151972619825982,0.176960689485105,0.227198610186615,0.227198610186615,0.227198610186615,0.228303113160276
"CD44s",-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.228303113160276,-0.176960689485105,-0.151972619825982,-0.138897051905511,0.0204157293353872,0.229107402704512,0.151972619825982,0.176960689485105,0.227198610186615,0.227198610186615,0.227198610186615,0.228303113160276
"MIR129",-0.234920199991446,-0.234920199991446,-0.234920199991446,-0.234920199991446,-0.234920199991446,-0.0681429000015548,-0.0242802573627633,-0.195013146207853,0.063918704825626,0.23559672216634,0.0242802573627633,0.020989499064116,0.233578918322296,0.233578918322296,0.233578918322296,0.234920199991446
