"","MIR340","MIR190","GRHL2","ESRP1","CD44s","MIR200","TWIST1","MIR129","TGFB","ZEB1","SNAIL1","MIR34","HA","CD24","MIR1199","HAS2"
"GRHL2",0.312329743173609,0.312329743173609,0.312329743173609,0.312329743173609,0.310673692218195,0.30425468308757,0.119987478848071,0.0797692130427717,0.0129696608412875,-0.312947299415338,-0.109103101753519,-0.257874678881945,-0.310673692218195,-0.410673692218195,-0.312329743173609,-0.312329743173609
"MIR340",0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.174339411615828,0.0999087541521063,0.0617676302746408,0.00514835136935851,-0.183760379618045,-0.0842699603982192,-0.151505017537981,-0.181546969933011,-0.181546969933011,-0.18367101411313,-0.18367101411313
"MIR1199",0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.174339411615828,0.0999087541521063,0.0617676302746408,0.00514835136935851,-0.183760379618045,-0.0842699603982192,-0.151505017537981,-0.181546969933011,-0.181546969933011,-0.18367101411313,-0.18367101411313
"HA",0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.174339411615828,0.0999087541521063,0.0617676302746408,0.00514835136935851,-0.183760379618045,-0.0842699603982192,-0.151505017537981,-0.181546969933011,-0.181546969933011,-0.18367101411313,-0.18367101411313
"CD44s",0.18367101411313,0.18367101411313,0.18367101411313,0.18367101411313,0.181546969933011,0.174339411615828,0.0999087541521063,0.0617676302746408,0.00514835136935851,-0.183760379618045,-0.0842699603982192,-0.151505017537981,-0.181546969933011,-0.181546969933011,-0.18367101411313,-0.18367101411313
"HAS2",0.181546969933011,0.181546969933011,0.181546969933011,0.181546969933011,0.181292517006803,0.172548052290222,0.10000007835302,0.0605804156627686,0.00563144315679812,-0.18367101411313,-0.084080745639468,-0.150662024914167,-0.0812925170068027,-0.181292517006803,-0.181546969933011,-0.181546969933011
"ESRP1",0.181546969933011,0.181546969933011,0.181546969933011,0.181546969933011,0.281292517006803,0.172548052290222,0.10000007835302,0.0605804156627686,0.00563144315679812,-0.18367101411313,-0.084080745639468,-0.150662024914167,-0.181292517006803,-0.181292517006803,-0.181546969933011,-0.181546969933011
"MIR200",0.14958543153826,0.14958543153826,0.14958543153826,0.14958543153826,0.148825937867374,0.223971016865262,0.109177024450164,0.055810920343716,0.194316885999877,-0.149743575976847,-0.0876381865038701,-0.0393849631542452,-0.148825937867374,-0.148825937867374,-0.14958543153826,-0.14958543153826
"MIR34",0.087685848626449,0.087685848626449,0.087685848626449,0.087685848626449,0.0879429180351894,0.000920720467810057,-0.0591225108777009,-0.0110733083289851,-0.0626251498587473,-0.0879948084616704,-0.010003734708049,-0.0892703464012825,-0.0879429180351894,-0.0879429180351894,-0.087685848626449,-0.087685848626449
"SNAIL1",0.0879948084616704,0.0879948084616704,0.0879948084616704,0.0879948084616704,0.087685848626449,0.00141599286762996,-0.0582259905920301,-0.0102679595977892,-0.0625438886853359,-0.0879341901549418,-0.109707947674713,-0.0891532820158705,-0.087685848626449,-0.087685848626449,-0.0879948084616704,-0.0879948084616704
"MIR190",0.0879429180351894,0.0879429180351894,0.0879429180351894,0.0879429180351894,0.0866897852031092,0.000946905332958001,-0.058286611185664,-0.0121731763448232,-0.162103575652963,-0.087685848626449,-0.00921450536728765,-0.0895583799179099,-0.0866897852031092,-0.0866897852031092,-0.0879429180351894,-0.0879429180351894
"TWIST1",-0.0251756683905351,-0.0251756683905351,-0.0251756683905351,-0.0251756683905351,-0.0246494844767291,-0.017198001993447,-0.0679835532372056,-0.112758722775839,-0.000844089105517415,0.0250712842569234,0.000613036174128845,0.014811978885325,0.0246494844767291,0.0246494844767291,0.0251756683905351,0.0251756683905351
"MIR129",-0.0246494844767291,-0.0246494844767291,-0.0246494844767291,-0.0246494844767291,-0.0250965783664459,-0.0168284300809123,0.0329578693569366,-0.113255714667024,-0.0004214348367093,0.0251756683905351,0.00123057425564387,0.014534799950924,0.0250965783664459,0.0250965783664459,0.0246494844767291,0.0246494844767291
"ZEB1",-0.183760379618045,-0.183760379618045,-0.183760379618045,-0.183760379618045,-0.18367101411313,-0.174467358974629,-0.100438514201966,-0.0619234420540113,-0.00544103429618778,0.0843410050637009,0.0844002111308795,0.151486739343867,0.18367101411313,0.18367101411313,0.183760379618045,0.183760379618045
"TGFB",-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.087685848626449,-0.0879429180351894,-0.000920720467810057,0.0591225108777009,0.0110733083289851,0.0626251498587473,0.0879948084616704,0.010003734708049,0.0892703464012825,0.0879429180351894,0.0879429180351894,0.087685848626449,0.087685848626449
"CD24",-0.18367101411313,-0.18367101411313,-0.18367101411313,-0.18367101411313,-0.181546969933011,-0.174339411615828,-0.0999087541521063,-0.0617676302746408,-0.00514835136935851,0.183760379618045,0.0842699603982192,0.151505017537981,0.181546969933011,0.181546969933011,0.18367101411313,0.18367101411313
