"","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR200","HA","TWIST1","MIR129","SNAIL1","ZEB1","MIR34","CD44s","CD24","TGFB","MIR1199"
"GRHL2",0.278405668762257,0.278405668762257,0.278405668762257,0.278405668762257,0.278405668762257,0.251838074143834,0.286685923539327,0.0623691356423289,0.0623691356423289,-0.0648308562375083,-0.283787230297325,-0.265390105530176,-0.286685923539327,-0.386685923539327,-0.270512939960316,-0.278405668762257
"MIR340",0.153414331806386,0.153414331806386,0.153414331806386,0.153414331806386,0.153414331806386,0.154949613998447,0.173040500030685,0.0511971148915549,0.0511971148915549,-0.0422916707071527,-0.167563870084611,-0.126209281062359,-0.173040500030685,-0.173040500030685,-0.174981195813721,-0.153414331806386
"MIR1199",0.153414331806386,0.153414331806386,0.153414331806386,0.153414331806386,0.153414331806386,0.154949613998447,0.173040500030685,0.0511971148915549,0.0511971148915549,-0.0422916707071527,-0.167563870084611,-0.126209281062359,-0.173040500030685,-0.173040500030685,-0.174981195813721,-0.153414331806386
"CD44s",0.153414331806386,0.153414331806386,0.153414331806386,0.153414331806386,0.153414331806386,0.154949613998447,0.173040500030685,0.0511971148915549,0.0511971148915549,-0.0422916707071527,-0.167563870084611,-0.126209281062359,-0.173040500030685,-0.173040500030685,-0.174981195813721,-0.153414331806386
"MIR200",0.152644762665309,0.152644762665309,0.152644762665309,0.152644762665309,0.152644762665309,0.237253747763513,0.16930299051341,-0.0569364185645453,-0.0569364185645453,0.0618767333103153,-0.162432146253431,-0.0207175908336912,-0.16930299051341,-0.16930299051341,-0.357752032808541,-0.152644762665309
"TGFB",0.0435067198056509,0.0435067198056509,0.0435067198056509,0.0435067198056509,0.0435067198056509,-0.0606681127303952,0.0470200017251025,0.0523283980694,0.0523283980694,-0.078574214583388,-0.0415499741825819,-0.107266969782142,-0.0470200017251025,-0.0470200017251025,0.060548239692418,-0.0435067198056509
"MIR129",0.0411033579744903,0.0411033579744903,0.0411033579744903,0.0411033579744903,0.0411033579744903,0.0535383391649826,0.0434878587196468,-0.162868852222616,0.0463286862395599,0.049249876305424,-0.0387731149276349,-0.00605818170347549,-0.0434878587196468,-0.0434878587196468,-0.047116882940272,-0.0411033579744903
"MIR34",-0.0435067198056509,-0.0435067198056509,-0.0435067198056509,-0.0435067198056509,-0.0435067198056509,0.0606681127303952,-0.0470200017251025,-0.0523283980694,-0.0523283980694,0.078574214583388,0.0415499741825819,0.107266969782142,0.0470200017251025,0.0470200017251025,-0.060548239692418,0.0435067198056509
"MIR190",-0.0470200017251025,-0.0470200017251025,-0.0470200017251025,-0.0470200017251025,-0.0470200017251025,0.0648315062889184,-0.0347392999707165,-0.0663627139514941,-0.0663627139514941,0.0642288106836666,0.0435067198056509,0.115724681224928,0.0347392999707165,0.0347392999707165,-0.166095892608492,0.0470200017251025
"TWIST1",-0.0387731149276349,-0.0387731149276349,-0.0387731149276349,-0.0387731149276349,-0.0387731149276349,-0.0466704611237137,-0.0411033579744903,0.048538308289562,-0.0606891361480088,-0.0601597157455228,0.0437835533409961,0.0100618774226008,0.0411033579744903,0.0411033579744903,0.0494555698943435,0.0387731149276349
"SNAIL1",-0.0415499741825819,-0.0415499741825819,-0.0415499741825819,-0.0415499741825819,-0.0415499741825819,0.0674308322261179,-0.0435067198056509,-0.0665663558265797,-0.0665663558265797,-0.0324338596031977,0.0461771715962008,0.111634371853281,0.0435067198056509,0.0435067198056509,-0.0592968176218833,0.0415499741825819
"ZEB1",-0.167563870084611,-0.167563870084611,-0.167563870084611,-0.167563870084611,-0.167563870084611,-0.16418010202623,-0.153414331806386,-0.0446218578021189,-0.0446218578021189,0.0388725889748179,0.0589970981583606,0.134343077443276,0.153414331806386,0.153414331806386,0.1577779437812,0.167563870084611
"HAS2",-0.173040500030685,-0.173040500030685,-0.173040500030685,-0.173040500030685,-0.173040500030685,-0.170650351616993,-0.0473407544836116,-0.0346674345262581,-0.0346674345262581,0.0437107813977865,0.153414331806386,0.134849955456458,0.147340754483612,0.147340754483612,0.150150277939325,0.173040500030685
"ESRP1",-0.173040500030685,-0.173040500030685,-0.173040500030685,-0.173040500030685,-0.173040500030685,-0.170650351616993,-0.147340754483612,-0.0346674345262581,-0.0346674345262581,0.0437107813977865,0.153414331806386,0.134849955456458,0.0473407544836116,0.147340754483612,0.150150277939325,0.173040500030685
"HA",-0.153414331806386,-0.153414331806386,-0.153414331806386,-0.153414331806386,-0.153414331806386,-0.154949613998447,-0.173040500030685,-0.0511971148915549,-0.0511971148915549,0.0422916707071527,0.167563870084611,0.126209281062359,0.173040500030685,0.173040500030685,0.174981195813721,0.153414331806386
"CD24",-0.153414331806386,-0.153414331806386,-0.153414331806386,-0.153414331806386,-0.153414331806386,-0.154949613998447,-0.173040500030685,-0.0511971148915549,-0.0511971148915549,0.0422916707071527,0.167563870084611,0.126209281062359,0.173040500030685,0.173040500030685,0.174981195813721,0.153414331806386
