"","TWIST1","MIR129","MIR34","CD44s","MIR340","MIR1199","HAS2","GRHL2","TGFB","ZEB1","SNAIL1","MIR200","MIR190","ESRP1","HA","CD24"
"MIR34",0.698790499081933,0.698790499081933,0.444963889763483,0.174015386940758,0.179756603735959,0.179756603735959,0.179756603735959,0.179756603735959,-0.134131290439491,-0.18362595786278,-0.693147483210598,0.256186133294876,-0.179756603735959,-0.179756603735959,-0.174015386940758,-0.174015386940758
"MIR190",0.65967919243873,0.65967919243873,0.428179391203651,0.168000349346773,0.174015386940758,0.174015386940758,0.174015386940758,0.174015386940758,-0.22829914250208,-0.179756603735959,-0.664781652198527,0.246419178594692,-0.174015386940758,-0.174015386940758,-0.168000349346773,-0.168000349346773
"MIR200",0.423622770948081,0.423622770948081,0.321472361632214,0.13937929816132,0.1408476525917,0.1408476525917,0.1408476525917,0.1408476525917,-0.131198828487968,-0.142798100667609,-0.398648418017721,0.0809862246382191,-0.1408476525917,-0.1408476525917,-0.13937929816132,-0.13937929816132
"MIR1199",0.107931958452506,0.107931958452506,0.100415317122636,0.102127679663121,0.100513406086231,0.100513406086231,0.100513406086231,0.100513406086231,0.0904820769376727,-0.0998282705485485,-0.0769812760922565,-0.0802192456116409,-0.100513406086231,-0.100513406086231,-0.102127679663121,-0.102127679663121
"HA",0.107931958452506,0.107931958452506,0.100415317122636,0.102127679663121,0.100513406086231,0.100513406086231,0.100513406086231,0.100513406086231,0.0904820769376727,-0.0998282705485485,-0.0769812760922565,-0.0802192456116409,-0.100513406086231,-0.100513406086231,-0.102127679663121,-0.102127679663121
"CD44s",0.107931958452506,0.107931958452506,0.100415317122636,0.102127679663121,0.100513406086231,0.100513406086231,0.100513406086231,0.100513406086231,0.0904820769376727,-0.0998282705485485,-0.0769812760922565,-0.0802192456116409,-0.100513406086231,-0.100513406086231,-0.102127679663121,-0.102127679663121
"TWIST1",0.572712181083936,0.669766615333697,0.264360684303199,0.0447605012781161,0.0490451417191083,0.0490451417191083,0.0490451417191083,0.0490451417191083,-0.110618837630648,-0.0519331027490318,-0.55406750727087,0.203636738700956,-0.0490451417191083,-0.0490451417191083,-0.0447605012781161,-0.0447605012781161
"MIR129",0.64499251581197,0.642065856767127,0.252503585442713,0.0413327814569536,0.0447605012781161,0.0447605012781161,0.0447605012781161,0.0447605012781161,-0.10568787116122,-0.0490451417191083,-0.53415533490913,0.197046039594088,-0.0447605012781161,-0.0447605012781161,-0.0413327814569536,-0.0413327814569536
"GRHL2",-0.0843710454831481,-0.0843710454831481,0.00270177090389374,0.00450733133455647,0.00705510203519341,0.00705510203519341,0.00705510203519341,0.00705510203519341,0.0112851841067908,-0.00714332435544043,0.0638265146643642,-0.019207236601509,-0.00705510203519341,-0.00705510203519341,-0.00450733133455647,-0.104507331334556
"ZEB1",-0.109832862160827,-0.109832862160827,-0.100689490034353,-0.100513406086231,-0.0998282705485485,-0.0998282705485485,-0.0998282705485485,-0.0998282705485485,-0.0884983371002743,0.000816352447295537,0.0772743402407424,0.0791042757706612,0.0998282705485485,0.0998282705485485,0.100513406086231,0.100513406086231
"MIR340",-0.107931958452506,-0.107931958452506,-0.100415317122636,-0.102127679663121,-0.100513406086231,-0.100513406086231,-0.100513406086231,-0.100513406086231,-0.0904820769376727,0.0998282705485485,0.0769812760922565,0.0802192456116409,0.100513406086231,0.100513406086231,0.102127679663121,0.102127679663121
"CD24",-0.107931958452506,-0.107931958452506,-0.100415317122636,-0.102127679663121,-0.100513406086231,-0.100513406086231,-0.100513406086231,-0.100513406086231,-0.0904820769376727,0.0998282705485485,0.0769812760922565,0.0802192456116409,0.100513406086231,0.100513406086231,0.102127679663121,0.102127679663121
"HAS2",-0.105831501831502,-0.105831501831502,-0.100204568966683,-0.0967841682127396,-0.102127679663121,-0.102127679663121,-0.102127679663121,-0.102127679663121,-0.0859410141357403,0.100513406086231,0.0751837358841203,0.0824321012491541,0.102127679663121,0.102127679663121,-0.00321583178726036,0.0967841682127396
"ESRP1",-0.105831501831502,-0.105831501831502,-0.100204568966683,-0.19678416821274,-0.102127679663121,-0.102127679663121,-0.102127679663121,-0.102127679663121,-0.0859410141357403,0.100513406086231,0.0751837358841203,0.0824321012491541,0.102127679663121,0.102127679663121,0.0967841682127396,0.0967841682127396
"TGFB",-0.698790499081933,-0.698790499081933,-0.444963889763483,-0.174015386940758,-0.179756603735959,-0.179756603735959,-0.179756603735959,-0.179756603735959,0.134131290439491,0.18362595786278,0.693147483210598,-0.256186133294876,0.179756603735959,0.179756603735959,0.174015386940758,0.174015386940758
"SNAIL1",-0.730867690998055,-0.730867690998055,-0.458336244558621,-0.179756603735959,-0.18362595786278,-0.18362595786278,-0.18362595786278,-0.18362595786278,0.138015574528553,0.186757903710426,0.616130935125219,-0.26482188295719,0.18362595786278,0.18362595786278,0.179756603735959,0.179756603735959
