"","SNAIL1","TWIST1","MIR200","MIR340","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","MIR129","HA","CD44s","CD24","MIR190","TGFB","MIR34"
"MIR129",0.300839688529251,0.154776844297164,0.25499763245989,0.225783911199718,0.225783911199718,0.225783911199718,0.225783911199718,0.225783911199718,-0.227111899172658,-0.183394776991109,-0.224293598233996,-0.224293598233996,-0.224293598233996,-0.225783911199718,-0.241813033014306,-0.25499763245989
"MIR200",0.351793052068649,0.317584481802237,0.344724683188076,0.190519146870789,0.190519146870789,0.190519146870789,0.190519146870789,0.190519146870789,-0.191731587566625,-0.158941086255055,-0.188544463326485,-0.188544463326485,-0.188544463326485,-0.190519146870789,-0.420743707673449,-0.344724683188076
"MIR340",0.284997936119647,0.272133791322832,0.238863100128985,0.178852196835462,0.178852196835462,0.178852196835462,0.178852196835462,0.178852196835462,-0.179894794392805,-0.153172869461991,-0.176558229120934,-0.176558229120934,-0.176558229120934,-0.178852196835462,-0.211888120111067,-0.238863100128985
"CD44s",0.284997936119647,0.272133791322832,0.238863100128985,0.178852196835462,0.178852196835462,0.178852196835462,0.178852196835462,0.178852196835462,-0.179894794392805,-0.153172869461991,-0.176558229120934,-0.176558229120934,-0.176558229120934,-0.178852196835462,-0.211888120111067,-0.238863100128985
"HAS2",0.281686677841501,0.267476257076257,0.23538575555575,0.176558229120934,0.176558229120934,0.176558229120934,0.176558229120934,0.176558229120934,-0.178852196835462,-0.152716248457425,-0.272232529375387,-0.172232529375387,-0.172232529375387,-0.176558229120934,-0.20618763701928,-0.23538575555575
"SNAIL1",0.223268523676755,0.278215098510536,0.285422488976523,0.159008172697324,0.159008172697324,0.159008172697324,0.159008172697324,0.159008172697324,-0.15954363440676,-0.108183281089653,-0.157963594206813,-0.157963594206813,-0.157963594206813,-0.159008172697324,-0.274360477584881,-0.285422488976523
"GRHL2",-0.168557246264799,-0.174819059343364,-0.0643344483264929,-0.0318913839871922,-0.0318913839871922,-0.0318913839871922,-0.0318913839871922,-0.0318913839871922,0.0320678286276862,0.109685032320542,0.0312544413120329,0.0312544413120329,-0.0687455586879671,0.0318913839871922,0.0497205007307115,0.0643344483264929
"ZEB1",-0.287342449307534,-0.27447096801339,-0.240782310510999,-0.179894794392805,-0.179894794392805,-0.179894794392805,-0.179894794392805,-0.179894794392805,0.0806587752423516,0.153764954223599,0.178852196835462,0.178852196835462,0.178852196835462,0.179894794392805,0.21491251035497,0.240782310510999
"MIR190",-0.31936102695369,-0.272891342892285,-0.281341050155321,-0.156506867557285,-0.156506867557285,-0.156506867557285,-0.156506867557285,-0.156506867557285,0.157963594206813,0.106230011759134,0.155003108158788,0.155003108158788,0.155003108158788,0.156506867557285,0.369750899955724,0.281341050155321
"TGFB",-0.321821565486652,-0.276102957498532,-0.283828612344375,-0.157963594206813,-0.157963594206813,-0.157963594206813,-0.157963594206813,-0.157963594206813,0.159008172697324,0.10768183754004,0.156506867557285,0.156506867557285,0.156506867557285,0.157963594206813,0.272263939310869,0.283828612344375
"MIR34",-0.321821565486652,-0.276102957498532,-0.283828612344375,-0.157963594206813,-0.157963594206813,-0.157963594206813,-0.157963594206813,-0.157963594206813,0.159008172697324,0.10768183754004,0.156506867557285,0.156506867557285,0.156506867557285,0.157963594206813,0.272263939310869,0.283828612344375
"ESRP1",-0.281686677841501,-0.267476257076257,-0.23538575555575,-0.176558229120934,-0.176558229120934,-0.176558229120934,-0.176558229120934,-0.176558229120934,0.178852196835462,0.152716248457425,0.172232529375387,0.0722325293753865,0.172232529375387,0.176558229120934,0.20618763701928,0.23538575555575
"MIR1199",-0.284997936119647,-0.272133791322832,-0.238863100128985,-0.178852196835462,-0.178852196835462,-0.178852196835462,-0.178852196835462,-0.178852196835462,0.179894794392805,0.153172869461991,0.176558229120934,0.176558229120934,0.176558229120934,0.178852196835462,0.211888120111067,0.238863100128985
"HA",-0.284997936119647,-0.272133791322832,-0.238863100128985,-0.178852196835462,-0.178852196835462,-0.178852196835462,-0.178852196835462,-0.178852196835462,0.179894794392805,0.153172869461991,0.176558229120934,0.176558229120934,0.176558229120934,0.178852196835462,0.211888120111067,0.238863100128985
"CD24",-0.284997936119647,-0.272133791322832,-0.238863100128985,-0.178852196835462,-0.178852196835462,-0.178852196835462,-0.178852196835462,-0.178852196835462,0.179894794392805,0.153172869461991,0.176558229120934,0.176558229120934,0.176558229120934,0.178852196835462,0.211888120111067,0.238863100128985
"TWIST1",-0.30266485663684,-0.257548810824361,-0.257061075638209,-0.227111899172658,-0.227111899172658,-0.227111899172658,-0.227111899172658,-0.227111899172658,0.227859985463541,0.184310288369608,0.225783911199718,0.225783911199718,0.225783911199718,0.227111899172658,0.244151719968377,0.257061075638209
