"","MIR340","MIR190","GRHL2","ESRP1","MIR34","TWIST1","MIR129","SNAIL1","ZEB1","MIR200","TGFB","HA","CD44s","CD24","MIR1199","HAS2"
"MIR340",0.157088977872924,0.157088977872924,0.157088977872924,0.157088977872924,0.12914645324914,0.0522687301417358,0.0383544801156405,-0.0313747908644766,-0.158786922466311,-0.12914645324914,-0.138316062043022,-0.159722792656271,-0.159722792656271,-0.159722792656271,-0.157088977872924,-0.157088977872924
"MIR1199",0.157088977872924,0.157088977872924,0.157088977872924,0.157088977872924,0.12914645324914,0.0522687301417358,0.0383544801156405,-0.0313747908644766,-0.158786922466311,-0.12914645324914,-0.138316062043022,-0.159722792656271,-0.159722792656271,-0.159722792656271,-0.157088977872924,-0.157088977872924
"HA",0.157088977872924,0.157088977872924,0.157088977872924,0.157088977872924,0.12914645324914,0.0522687301417358,0.0383544801156405,-0.0313747908644766,-0.158786922466311,-0.12914645324914,-0.138316062043022,-0.159722792656271,-0.159722792656271,-0.159722792656271,-0.157088977872924,-0.157088977872924
"CD24",0.157088977872924,0.157088977872924,0.157088977872924,0.157088977872924,0.12914645324914,0.0522687301417358,0.0383544801156405,-0.0313747908644766,-0.158786922466311,-0.12914645324914,-0.138316062043022,-0.159722792656271,-0.159722792656271,-0.159722792656271,-0.157088977872924,-0.157088977872924
"HAS2",0.159722792656271,0.159722792656271,0.159722792656271,0.159722792656271,0.128408834703302,0.0516294607353431,0.0335142974672386,-0.03430761962512,-0.157088977872924,-0.128408834703302,-0.13841268040051,-0.0559059987631416,-0.155905998763142,-0.155905998763142,-0.159722792656271,-0.159722792656271
"ESRP1",0.159722792656271,0.159722792656271,0.159722792656271,0.159722792656271,0.128408834703302,0.0516294607353431,0.0335142974672386,-0.03430761962512,-0.157088977872924,-0.128408834703302,-0.13841268040051,-0.155905998763142,-0.255905998763142,-0.155905998763142,-0.159722792656271,-0.159722792656271
"TGFB",0.0816066309321705,0.0816066309321705,0.0816066309321705,0.0816066309321705,0.100050722404875,0.0763751196967702,0.0178813695705004,-0.0168076218883211,-0.0816213433052763,-0.100050722404875,-0.128275263134376,-0.0819493901438243,-0.0819493901438243,-0.0819493901438243,-0.0816066309321705,-0.0816066309321705
"MIR34",0.0816066309321705,0.0816066309321705,0.0816066309321705,0.0816066309321705,0.100050722404875,0.0763751196967702,0.0178813695705004,-0.0168076218883211,-0.0816213433052763,-0.100050722404875,-0.128275263134376,-0.0819493901438243,-0.0819493901438243,-0.0819493901438243,-0.0816066309321705,-0.0816066309321705
"GRHL2",0.0276473074704642,0.0276473074704642,0.0276473074704642,0.0276473074704642,0.0250927119938431,0.0531580668468919,0.0450887530075131,-0.0403476779361054,-0.0295881985158987,-0.0250927119938431,-0.0258819055795974,-0.0305772437761967,-0.0305772437761967,-0.130577243776197,-0.0276473074704642,-0.0276473074704642
"ZEB1",-0.158786922466311,-0.158786922466311,-0.158786922466311,-0.158786922466311,-0.129055062278568,-0.0519882689388689,-0.0362042775603273,0.0325144847752549,0.0577580949222546,0.129055062278568,0.137763216514567,0.157088977872924,0.157088977872924,0.157088977872924,0.158786922466311,0.158786922466311
"MIR190",-0.0819493901438243,-0.0819493901438243,-0.0819493901438243,-0.0819493901438243,-0.101019562415349,-0.076947051065006,-0.0193331953514067,0.0153684389728151,0.0816066309321705,0.101019562415349,0.0269950355383585,0.0809468838781602,0.0809468838781602,0.0809468838781602,0.0819493901438243,0.0819493901438243
"SNAIL1",-0.0816213433052763,-0.0816213433052763,-0.0816213433052763,-0.0816213433052763,-0.100618034426487,-0.076815782210066,-0.0190210140014379,-0.0840957276999753,0.0817324768676121,0.100618034426487,0.127543912573673,0.0816066309321705,0.0816066309321705,0.0816066309321705,0.0816213433052763,0.0816213433052763
"MIR200",-0.134452683799517,-0.134452683799517,-0.134452683799517,-0.134452683799517,-0.0274010784433477,0.0750801041582971,0.0362676632602913,-0.0423617828367421,0.135594838078202,0.0274010784433477,0.128654827227867,0.13642736734382,0.13642736734382,0.13642736734382,0.134452683799517,0.134452683799517
"CD44s",-0.157088977872924,-0.157088977872924,-0.157088977872924,-0.157088977872924,-0.12914645324914,-0.0522687301417358,-0.0383544801156405,0.0313747908644766,0.158786922466311,0.12914645324914,0.138316062043022,0.159722792656271,0.159722792656271,0.159722792656271,0.157088977872924,0.157088977872924
"MIR129",-0.207078011961982,-0.207078011961982,-0.207078011961982,-0.207078011961982,-0.100755094247391,0.0332739357023168,-0.114436870695994,-0.00165570591191167,0.206351377033393,0.100755094247391,0.135468680233994,0.205885761589404,0.205885761589404,0.205885761589404,0.207078011961982,0.207078011961982
"TWIST1",-0.206351377033393,-0.206351377033393,-0.206351377033393,-0.206351377033393,-0.100416319994235,-0.066621461787223,-0.114776917779436,-0.00147730602169622,0.206716721501034,0.100416319994235,0.136004042307818,0.207078011961982,0.207078011961982,0.207078011961982,0.206351377033393,0.206351377033393
