"","MIR34","MIR200","HA","CD24","MIR190","MIR1199","GRHL2","TWIST1","TGFB","ZEB1","MIR340","HAS2","ESRP1","SNAIL1","CD44s","MIR129"
"GRHL2",0.277186123946007,0.277186123946007,0.255622410166913,0.355622410166913,0.258934512077741,0.258934512077741,0.258934512077741,0.0922579624877642,-0.0161744199571794,-0.256420175950701,-0.258934512077741,-0.258934512077741,-0.258934512077741,-0.129246633532496,-0.255622410166913,-0.139790217016807
"HAS2",0.128937483450239,0.128937483450239,0.0153679653679654,0.115367965367965,0.103917583688576,0.103917583688576,0.103917583688576,0.0654473291414468,-0.0102326116524899,-0.112158875107438,-0.103917583688576,-0.103917583688576,-0.103917583688576,-0.114615152304981,-0.115367965367965,-0.116470760611937
"ESRP1",0.128937483450239,0.128937483450239,0.115367965367965,0.115367965367965,0.103917583688576,0.103917583688576,0.103917583688576,0.0654473291414468,-0.0102326116524899,-0.112158875107438,-0.103917583688576,-0.103917583688576,-0.103917583688576,-0.114615152304981,-0.0153679653679654,-0.116470760611937
"MIR200",0.223279818763907,0.223279818763907,0.108025168874406,0.108025168874406,0.107873270140229,0.107873270140229,0.107873270140229,0.0725679669350516,-0.210143126980247,-0.108031414578816,-0.107873270140229,-0.107873270140229,-0.107873270140229,-0.132676834722305,-0.108025168874406,-0.146046075124268
"MIR340",0.139896387559828,0.139896387559828,0.103917583688576,0.103917583688576,0.112158875107438,0.112158875107438,0.112158875107438,0.077593447862908,-0.00549831213558174,-0.105873501261742,-0.112158875107438,-0.112158875107438,-0.112158875107438,-0.103167659400534,-0.103917583688576,-0.121128294858512
"MIR1199",0.139896387559828,0.139896387559828,0.103917583688576,0.103917583688576,0.112158875107438,0.112158875107438,0.112158875107438,0.077593447862908,-0.00549831213558174,-0.105873501261742,-0.112158875107438,-0.112158875107438,-0.112158875107438,-0.103167659400534,-0.103917583688576,-0.121128294858512
"CD44s",0.139896387559828,0.139896387559828,0.103917583688576,0.103917583688576,0.112158875107438,0.112158875107438,0.112158875107438,0.077593447862908,-0.00549831213558174,-0.105873501261742,-0.112158875107438,-0.112158875107438,-0.112158875107438,-0.103167659400534,-0.103917583688576,-0.121128294858512
"CD24",0.139896387559828,0.139896387559828,0.103917583688576,0.103917583688576,0.112158875107438,0.112158875107438,0.112158875107438,0.077593447862908,-0.00549831213558174,-0.105873501261742,-0.112158875107438,-0.112158875107438,-0.112158875107438,-0.103167659400534,-0.103917583688576,-0.121128294858512
"TGFB",-0.0390482303158243,-0.0390482303158243,0.0954213508742187,0.0954213508742187,0.0859954725537388,0.0859954725537388,0.0859954725537388,-0.0368342701471286,0.0842855275322882,-0.0931015487638315,-0.0859954725537388,-0.0859954725537388,-0.0859954725537388,0.0498702896205861,-0.0954213508742187,0.107254084550083
"SNAIL1",-0.0295299952865582,-0.0295299952865582,0.0859954725537388,0.0859954725537388,0.0931015487638315,0.0931015487638315,0.0931015487638315,-0.026334346123424,0.0885598652537248,-0.087746931669469,-0.0931015487638315,-0.0931015487638315,-0.0931015487638315,-0.040112922466711,-0.0859954725537388,0.103348902966737
"MIR190",-0.0264009404493671,-0.0264009404493671,0.0828900225534167,0.0828900225534167,0.0954213508742187,0.0954213508742187,0.0954213508742187,-0.0228879437063015,0.19002284379592,-0.0859954725537388,-0.0954213508742187,-0.0954213508742187,-0.0954213508742187,0.0631943379028517,-0.0828900225534167,0.102106702235961
"ZEB1",-0.131616365625995,-0.131616365625995,-0.112158875107438,-0.112158875107438,-0.105873501261742,-0.105873501261742,-0.105873501261742,-0.0684628775917955,0.00910806823314271,0.0105490640609678,0.105873501261742,0.105873501261742,0.105873501261742,0.111861895805614,0.112158875107438,0.117731598068235
"MIR34",0.0390482303158243,0.0390482303158243,-0.0954213508742187,-0.0954213508742187,-0.0859954725537388,-0.0859954725537388,-0.0859954725537388,0.0368342701471286,-0.0842855275322882,0.0931015487638315,0.0859954725537388,0.0859954725537388,0.0859954725537388,-0.0498702896205861,0.0954213508742187,-0.107254084550083
"HA",-0.139896387559828,-0.139896387559828,-0.103917583688576,-0.103917583688576,-0.112158875107438,-0.112158875107438,-0.112158875107438,-0.077593447862908,0.00549831213558174,0.105873501261742,0.112158875107438,0.112158875107438,0.112158875107438,0.103167659400534,0.103917583688576,0.121128294858512
"MIR129",-0.107779644921465,-0.107779644921465,-0.201793598233996,-0.201793598233996,-0.205221318055158,-0.205221318055158,-0.205221318055158,0.0150841718796416,0.00197765609857893,0.202640511239824,0.205221318055158,0.205221318055158,0.205221318055158,0.0020239188562431,0.201793598233996,-0.145064520033312
"TWIST1",-0.104268711752386,-0.104268711752386,-0.205221318055158,-0.205221318055158,-0.202640511239824,-0.202640511239824,-0.202640511239824,-0.0809409327228689,0.00364009622255752,0.204606412422844,0.202640511239824,0.202640511239824,0.202640511239824,0.0057703165507676,0.205221318055158,-0.146503180770952
