"","MIR340","ESRP1","HA","CD24","TGFB","SNAIL1","TWIST1","MIR129","ZEB1","MIR34","MIR200","CD44s","MIR190","MIR1199","HAS2","GRHL2"
"SNAIL1",0.313579868552279,0.313579868552279,0.312182193107229,0.312182193107229,0.369553490045138,0.166144665124052,0.129231108217616,0.129231108217616,-0.314388112641994,-0.347125732625845,-0.347125732625845,-0.312182193107229,-0.313579868552279,-0.313579868552279,-0.313579868552279,-0.313579868552279
"MIR190",0.309011670399432,0.309011670399432,0.303497885938279,0.303497885938279,0.263358914962472,0.266967118454404,0.129594203378912,0.129594203378912,-0.312182193107229,-0.344766354842376,-0.344766354842376,-0.303497885938279,-0.309011670399432,-0.309011670399432,-0.309011670399432,-0.309011670399432
"MIR340",0.247519499799894,0.247519499799894,0.244885685016547,0.244885685016547,0.218941689171868,0.0700318804611293,0.0644533455263512,0.0644533455263512,-0.24796632732447,-0.206374397497952,-0.206374397497952,-0.244885685016547,-0.247519499799894,-0.247519499799894,-0.247519499799894,-0.247519499799894
"MIR1199",0.247519499799894,0.247519499799894,0.244885685016547,0.244885685016547,0.218941689171868,0.0700318804611293,0.0644533455263512,0.0644533455263512,-0.24796632732447,-0.206374397497952,-0.206374397497952,-0.244885685016547,-0.247519499799894,-0.247519499799894,-0.247519499799894,-0.247519499799894
"HA",0.247519499799894,0.247519499799894,0.244885685016547,0.244885685016547,0.218941689171868,0.0700318804611293,0.0644533455263512,0.0644533455263512,-0.24796632732447,-0.206374397497952,-0.206374397497952,-0.244885685016547,-0.247519499799894,-0.247519499799894,-0.247519499799894,-0.247519499799894
"CD44s",0.247519499799894,0.247519499799894,0.244885685016547,0.244885685016547,0.218941689171868,0.0700318804611293,0.0644533455263512,0.0644533455263512,-0.24796632732447,-0.206374397497952,-0.206374397497952,-0.244885685016547,-0.247519499799894,-0.247519499799894,-0.247519499799894,-0.247519499799894
"CD24",0.247519499799894,0.247519499799894,0.244885685016547,0.244885685016547,0.218941689171868,0.0700318804611293,0.0644533455263512,0.0644533455263512,-0.24796632732447,-0.206374397497952,-0.206374397497952,-0.244885685016547,-0.247519499799894,-0.247519499799894,-0.247519499799894,-0.247519499799894
"MIR129",0.047975255211983,0.047975255211983,0.0441004415011038,0.0441004415011038,0.116434381788399,0.265884938013917,-0.0839685375694703,0.270513502894061,-0.0495538069534012,-0.155625777353441,-0.155625777353441,-0.0441004415011038,-0.047975255211983,-0.047975255211983,-0.047975255211983,-0.047975255211983
"TWIST1",-0.0495538069534012,-0.0495538069534012,-0.047975255211983,-0.047975255211983,-0.119505669475072,-0.265926107219352,-0.0157699561543791,-0.270278085682447,0.0507020324231298,0.156549707134777,0.156549707134777,0.047975255211983,0.0495538069534012,0.0495538069534012,0.0495538069534012,0.0495538069534012
"MIR200",-0.0952268176393197,-0.0952268176393197,-0.095885045487421,-0.095885045487421,-0.0860938624330271,0.147408529997487,0.0978977110852859,0.0978977110852859,0.0941900929863589,-0.0201822592053626,-0.0201822592053626,0.095885045487421,0.0952268176393197,0.0952268176393197,0.0952268176393197,0.0952268176393197
"ZEB1",-0.24796632732447,-0.24796632732447,-0.247519499799894,-0.247519499799894,-0.220925429009267,-0.069934192411634,-0.0636119619177504,-0.0636119619177504,0.14852657994747,0.20628300652738,0.20628300652738,0.247519499799894,0.24796632732447,0.24796632732447,0.24796632732447,0.24796632732447
"HAS2",-0.244885685016547,-0.244885685016547,-0.343104514533086,-0.243104514533086,-0.218072123954477,-0.0709779542548852,-0.0638140761199585,-0.0638140761199585,0.247519499799894,0.2047937863283,0.2047937863283,0.243104514533086,0.244885685016547,0.244885685016547,0.244885685016547,0.244885685016547
"ESRP1",-0.244885685016547,-0.244885685016547,-0.243104514533086,-0.243104514533086,-0.218072123954477,-0.0709779542548852,-0.0638140761199585,-0.0638140761199585,0.247519499799894,0.2047937863283,0.2047937863283,0.143104514533086,0.244885685016547,0.244885685016547,0.244885685016547,0.244885685016547
"TGFB",-0.312182193107229,-0.312182193107229,-0.309011670399432,-0.309011670399432,-0.367294429424303,-0.266456440645676,-0.129550208658279,-0.129550208658279,0.313579868552279,0.346468371076993,0.346468371076993,0.309011670399432,0.312182193107229,0.312182193107229,0.312182193107229,0.312182193107229
"MIR34",-0.312182193107229,-0.312182193107229,-0.309011670399432,-0.309011670399432,-0.367294429424303,-0.266456440645676,-0.129550208658279,-0.129550208658279,0.313579868552279,0.346468371076993,0.346468371076993,0.309011670399432,0.312182193107229,0.312182193107229,0.312182193107229,0.312182193107229
"GRHL2",-0.358288254064891,-0.358288254064891,-0.355867871899286,-0.455867871899286,-0.338829153954156,-0.0950477593568514,-0.0823952912003681,-0.0823952912003681,0.359302810747731,0.329695382291034,0.329695382291034,0.355867871899286,0.358288254064891,0.358288254064891,0.358288254064891,0.358288254064891
