"","MIR34","TWIST1","MIR340","MIR190","MIR1199","HAS2","TGFB","ZEB1","MIR129","GRHL2","ESRP1","SNAIL1","HA","CD44s","CD24","MIR200"
"ESRP1",0.138459358026969,0.123371702806997,0.111627412936028,0.111627412936028,0.111627412936028,0.111627412936028,0.0114115093831118,-0.123776945646308,-0.0702177900530842,-0.111627412936028,-0.111627412936028,-0.121424809989716,-0.127149041434756,-0.0271490414347557,-0.127149041434756,-0.138459358026969
"MIR1199",0.150893499228233,0.127481291848093,0.123776945646308,0.123776945646308,0.123776945646308,0.123776945646308,0.00783663015605868,-0.114929760659713,-0.079989479550801,-0.123776945646308,-0.123776945646308,-0.112720931087161,-0.111627412936028,-0.111627412936028,-0.111627412936028,-0.150893499228233
"HA",0.150893499228233,0.127481291848093,0.123776945646308,0.123776945646308,0.123776945646308,0.123776945646308,0.00783663015605868,-0.114929760659713,-0.079989479550801,-0.123776945646308,-0.123776945646308,-0.112720931087161,-0.111627412936028,-0.111627412936028,-0.111627412936028,-0.150893499228233
"CD44s",0.150893499228233,0.127481291848093,0.123776945646308,0.123776945646308,0.123776945646308,0.123776945646308,0.00783663015605868,-0.114929760659713,-0.079989479550801,-0.123776945646308,-0.123776945646308,-0.112720931087161,-0.111627412936028,-0.111627412936028,-0.111627412936028,-0.150893499228233
"SNAIL1",-0.0714330362971704,-0.123498534853251,0.0333327531860278,0.0333327531860278,0.0333327531860278,0.0333327531860278,-0.095491021141312,-0.0256544343337344,0.0365245720225829,-0.0333327531860278,-0.0333327531860278,-0.0147162351109398,-0.023195928116144,-0.023195928116144,-0.023195928116144,0.0714330362971704
"MIR190",-0.0677281643678056,-0.122190940359029,0.03699198638521,0.03699198638521,0.03699198638521,0.03699198638521,-0.196379322514614,-0.023195928116144,0.0338417564433578,-0.03699198638521,-0.03699198638521,0.087597174443095,-0.0189468736032551,-0.0189468736032551,-0.0189468736032551,0.0677281643678056
"TWIST1",0.0368927980091655,0.0307374292810571,0.0241667908437517,0.0241667908437517,0.0241667908437517,0.0241667908437517,0.00852683561330523,-0.0170686697581567,0.00277158701929197,-0.0241667908437517,-0.0241667908437517,-0.0480938061096261,-0.014570198511003,-0.014570198511003,-0.014570198511003,-0.0368927980091655
"ZEB1",-0.142101687859197,-0.125081790445787,-0.114929760659713,-0.114929760659713,-0.114929760659713,-0.114929760659713,-0.0108610203999611,0.0217444698376698,0.0728533000556312,0.114929760659713,0.114929760659713,0.119689345284491,0.123776945646308,0.123776945646308,0.123776945646308,0.142101687859197
"MIR129",-0.0272223329645089,-0.12775625773294,-0.014570198511003,-0.014570198511003,-0.014570198511003,-0.014570198511003,-0.011485415494962,0.0241667908437517,-0.0103310952588944,0.014570198511003,0.014570198511003,0.0551062941019412,0.0272378587196468,0.0272378587196468,0.0272378587196468,0.0272223329645089
"TGFB",0.0815275883007724,0.126370438819213,-0.023195928116144,-0.023195928116144,-0.023195928116144,-0.023195928116144,0.0921593130314469,0.0333327531860278,-0.0445324735573041,0.023195928116144,0.023195928116144,-0.0775693192898916,0.03699198638521,0.03699198638521,0.03699198638521,-0.0815275883007724
"MIR34",0.0815275883007724,0.126370438819213,-0.023195928116144,-0.023195928116144,-0.023195928116144,-0.023195928116144,0.0921593130314469,0.0333327531860278,-0.0445324735573041,0.023195928116144,0.023195928116144,-0.0775693192898916,0.03699198638521,0.03699198638521,0.03699198638521,-0.0815275883007724
"MIR340",-0.150893499228233,-0.127481291848093,-0.123776945646308,-0.123776945646308,-0.123776945646308,-0.123776945646308,-0.00783663015605868,0.114929760659713,0.079989479550801,0.123776945646308,0.123776945646308,0.112720931087161,0.111627412936028,0.111627412936028,0.111627412936028,0.150893499228233
"CD24",-0.150893499228233,-0.127481291848093,-0.123776945646308,-0.123776945646308,-0.123776945646308,-0.123776945646308,-0.00783663015605868,0.114929760659713,0.079989479550801,0.123776945646308,0.123776945646308,0.112720931087161,0.111627412936028,0.111627412936028,0.111627412936028,0.150893499228233
"HAS2",-0.138459358026969,-0.123371702806997,-0.111627412936028,-0.111627412936028,-0.111627412936028,-0.111627412936028,-0.0114115093831118,0.123776945646308,0.0702177900530842,0.111627412936028,0.111627412936028,0.121424809989716,0.0271490414347557,0.127149041434756,0.127149041434756,0.138459358026969
"MIR200",-0.248798732150383,-0.159284987481068,-0.143080499068977,-0.143080499068977,-0.143080499068977,-0.143080499068977,-0.213637854411826,0.143519789176164,0.0793794084576014,0.143080499068977,0.143080499068977,0.149713993519206,0.143131131980369,0.143131131980369,0.143131131980369,0.248798732150383
"GRHL2",-0.288577138436724,-0.146363538895217,-0.2719227106675,-0.2719227106675,-0.2719227106675,-0.2719227106675,-0.018073111445106,0.26852615133799,0.0953468984749209,0.2719227106675,0.2719227106675,0.138314217663242,0.266699780731194,0.266699780731194,0.366699780731194,0.288577138436724
