"","CD44s","MIR340","MIR190","HAS2","GRHL2","MIR129","TWIST1","TGFB","ZEB1","SNAIL1","MIR34","MIR200","MIR1199","ESRP1","HA","CD24"
"HAS2",0.0967841682127396,0.101618773810704,0.101618773810704,0.101618773810704,0.101618773810704,0.0861688115805763,0.05201199584729,0.00353716601181104,-0.0996646531649946,-0.0682032480520709,-0.0975308590926477,-0.0975308590926477,-0.101618773810704,-0.101618773810704,-0.19678416821274,-0.0967841682127396
"MIR1199",0.101618773810704,0.0996646531649946,0.0996646531649946,0.0996646531649946,0.0996646531649946,0.0866254325851425,0.0552083428792534,0.00266760079441974,-0.0989795176273121,-0.0682978554314465,-0.097320110936694,-0.097320110936694,-0.0996646531649946,-0.0996646531649946,-0.101618773810704,-0.101618773810704
"CD44s",0.101618773810704,0.0996646531649946,0.0996646531649946,0.0996646531649946,0.0996646531649946,0.0866254325851425,0.0552083428792534,0.00266760079441974,-0.0989795176273121,-0.0682978554314465,-0.097320110936694,-0.097320110936694,-0.0996646531649946,-0.0996646531649946,-0.101618773810704,-0.101618773810704
"CD24",0.101618773810704,0.0996646531649946,0.0996646531649946,0.0996646531649946,0.0996646531649946,0.0866254325851425,0.0552083428792534,0.00266760079441974,-0.0989795176273121,-0.0682978554314465,-0.097320110936694,-0.097320110936694,-0.0996646531649946,-0.0996646531649946,-0.101618773810704,-0.101618773810704
"MIR200",0.0868760566285198,0.0850026389070009,0.0850026389070009,0.0850026389070009,0.0850026389070009,-0.0715291804448127,-0.0347688823462247,-0.194422216180659,-0.0842822031312145,0.0380307534838295,0.00542645192249465,0.00542645192249465,-0.0850026389070009,-0.0850026389070009,-0.0868760566285198,-0.0868760566285198
"TGFB",0.0597881801277387,0.0605593883539598,0.0605593883539598,0.0605593883539598,0.0605593883539598,0.0978772835874174,0.0277193098682621,0.0814603047849383,-0.0597502078331418,-0.0459712249592512,-0.102545896929288,-0.102545896929288,-0.0605593883539598,-0.0605593883539598,-0.0597881801277387,-0.0597881801277387
"TWIST1",0.00398201014597171,0.00260390941933678,0.00260390941933678,0.00260390941933678,0.00260390941933678,-0.00404935048230313,-0.000897645545558092,-0.00287019770466316,-0.00272569090855042,0.0047326795685141,0.00376709620361703,0.00376709620361703,-0.00260390941933678,-0.00260390941933678,-0.00398201014597171,-0.00398201014597171
"ZEB1",-0.0996646531649946,-0.0989795176273121,-0.0989795176273121,-0.0989795176273121,-0.0989795176273121,-0.0877784397524844,-0.0551148558116311,-0.00328548697328153,-0.000175010232522849,0.0674837883523191,0.0969362688602912,0.0969362688602912,0.0989795176273121,0.0989795176273121,0.0996646531649946,0.0996646531649946
"MIR129",-0.00264072847682119,-0.00398201014597171,-0.00398201014597171,-0.00398201014597171,-0.00398201014597171,0.00491254692488749,-0.097481015542308,0.00278566685090154,0.00260390941933678,-0.00430726444569264,-0.00345911960983815,-0.00345911960983815,0.00398201014597171,0.00398201014597171,0.00264072847682119,0.00264072847682119
"GRHL2",-0.00487770170492684,-0.00755286094059563,-0.00755286094059563,-0.00755286094059563,-0.00755286094059563,0.0729001433727056,0.0551967502160934,0.00263817730568886,0.00755286094059563,-0.0591263382975211,0.00433000087274052,0.00433000087274052,0.00755286094059563,0.00755286094059563,0.00487770170492684,-0.0951222982950732
"MIR34",-0.0597881801277387,-0.0605593883539598,-0.0605593883539598,-0.0605593883539598,-0.0605593883539598,-0.0978772835874174,-0.0277193098682621,-0.0814603047849383,0.0597502078331418,0.0459712249592512,0.102545896929288,0.102545896929288,0.0605593883539598,0.0605593883539598,0.0597881801277387,0.0597881801277387
"SNAIL1",-0.0605593883539598,-0.0597502078331418,-0.0597502078331418,-0.0597502078331418,-0.0597502078331418,-0.0983787271370299,-0.0286766111902496,-0.0814115480808915,0.0598209291909919,-0.0542765966092195,0.102374802827532,0.102374802827532,0.0597502078331418,0.0597502078331418,0.0605593883539598,0.0605593883539598
"MIR190",-0.0580337941628264,-0.0597881801277387,-0.0597881801277387,-0.0597881801277387,-0.0597881801277387,-0.0990651410445225,-0.0278512940301626,-0.182076710664502,0.0605593883539598,0.0451355703631509,0.102153123952069,0.102153123952069,0.0597881801277387,0.0597881801277387,0.0580337941628264,0.0580337941628264
"MIR340",-0.101618773810704,-0.0996646531649946,-0.0996646531649946,-0.0996646531649946,-0.0996646531649946,-0.0866254325851425,-0.0552083428792534,-0.00266760079441974,0.0989795176273121,0.0682978554314465,0.097320110936694,0.097320110936694,0.0996646531649946,0.0996646531649946,0.101618773810704,0.101618773810704
"HA",-0.101618773810704,-0.0996646531649946,-0.0996646531649946,-0.0996646531649946,-0.0996646531649946,-0.0866254325851425,-0.0552083428792534,-0.00266760079441974,0.0989795176273121,0.0682978554314465,0.097320110936694,0.097320110936694,0.0996646531649946,0.0996646531649946,0.101618773810704,0.101618773810704
"ESRP1",-0.19678416821274,-0.101618773810704,-0.101618773810704,-0.101618773810704,-0.101618773810704,-0.0861688115805763,-0.05201199584729,-0.00353716601181104,0.0996646531649946,0.0682032480520709,0.0975308590926477,0.0975308590926477,0.101618773810704,0.101618773810704,0.0967841682127396,0.0967841682127396
