"","MIR34","MIR200","TGFB","MIR340","MIR190","MIR1199","HAS2","ESRP1","TWIST1","MIR129","ZEB1","SNAIL1","GRHL2","HA","CD44s","CD24"
"TWIST1",-0.0221466162190513,0.212052204771362,0.203634778143682,0.191088234736099,0.191088234736099,0.191088234736099,0.191088234736099,0.191088234736099,0.133082654847441,-0.0142633224948107,-0.191175221514109,-0.245113260227616,-0.191088234736099,-0.190662276329685,-0.190662276329685,-0.190662276329685
"GRHL2",0.14372620396898,0.15851148318645,0.147385920727278,0.136517795793182,0.136517795793182,0.136517795793182,0.136517795793182,0.136517795793182,0.0637972456553408,0.0637972456553408,-0.136517795793182,-0.0620426542487548,-0.136517795793182,-0.135243910442863,-0.135243910442863,-0.0352439104428633
"MIR34",-0.10692041370885,0.207268076322798,0.205671874978749,0.104114346990033,0.104114346990033,0.104114346990033,0.104114346990033,0.104114346990033,0.103599408326194,0.103599408326194,-0.104423306825254,-0.210296921073606,-0.104114346990033,-0.103771587778379,-0.103771587778379,-0.103771587778379
"HAS2",0.0695026046243115,0.062850802592193,0.0578583462964802,0.0581200696795026,0.0581200696795026,0.0581200696795026,0.0581200696795026,0.0581200696795026,0.0452381735911148,0.0452381735911148,-0.0592245726531645,-0.0364494565377105,-0.0581200696795026,-0.156338899196042,-0.056338899196042,-0.056338899196042
"MIR1199",0.0701348490921724,0.0635884211380307,0.059307621658799,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.045694794595681,0.045694794595681,-0.0588373221318657,-0.0368278860552128,-0.0592245726531645,-0.0581200696795026,-0.0581200696795026,-0.0581200696795026
"CD44s",0.0701348490921724,0.0635884211380307,0.059307621658799,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.045694794595681,0.045694794595681,-0.0588373221318657,-0.0368278860552128,-0.0592245726531645,-0.0581200696795026,-0.0581200696795026,-0.0581200696795026
"CD24",0.0701348490921724,0.0635884211380307,0.059307621658799,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.0592245726531645,0.045694794595681,0.045694794595681,-0.0588373221318657,-0.0368278860552128,-0.0592245726531645,-0.0581200696795026,-0.0581200696795026,-0.0581200696795026
"ZEB1",-0.0697510070157695,-0.0634970301674586,-0.0601856704392868,-0.0588373221318657,-0.0588373221318657,-0.0588373221318657,-0.0588373221318657,-0.0588373221318657,-0.0457882816633033,-0.0457882816633033,-0.0413765925060074,0.0369906994710383,0.0588373221318657,0.0592245726531645,0.0592245726531645,0.0592245726531645
"MIR340",-0.0701348490921724,-0.0635884211380307,-0.059307621658799,-0.0592245726531645,-0.0592245726531645,-0.0592245726531645,-0.0592245726531645,-0.0592245726531645,-0.045694794595681,-0.045694794595681,0.0588373221318657,0.0368278860552128,0.0592245726531645,0.0581200696795026,0.0581200696795026,0.0581200696795026
"HA",-0.0701348490921724,-0.0635884211380307,-0.059307621658799,-0.0592245726531645,-0.0592245726531645,-0.0592245726531645,-0.0592245726531645,-0.0592245726531645,-0.045694794595681,-0.045694794595681,0.0588373221318657,0.0368278860552128,0.0592245726531645,0.0581200696795026,0.0581200696795026,0.0581200696795026
"ESRP1",-0.0695026046243115,-0.062850802592193,-0.0578583462964802,-0.0581200696795026,-0.0581200696795026,-0.0581200696795026,-0.0581200696795026,-0.0581200696795026,-0.0452381735911148,-0.0452381735911148,0.0592245726531645,0.0364494565377105,0.0581200696795026,0.056338899196042,-0.043661100803958,0.056338899196042
"MIR200",0.0275321132527838,-0.210120724891904,-0.100805193471592,-0.0905109670879732,-0.0905109670879732,-0.0905109670879732,-0.0905109670879732,-0.0905109670879732,-0.112239809927416,-0.112239809927416,0.0904231090665358,0.174305020030509,0.0905109670879732,0.0899540050626567,0.0899540050626567,0.0899540050626567
"MIR190",0.106632380192223,-0.206561084963804,-0.105719290815639,-0.103771587778379,-0.103771587778379,-0.103771587778379,-0.103771587778379,-0.103771587778379,-0.102851498075424,-0.102851498075424,0.104114346990033,0.209832668520217,0.103771587778379,0.104022214344795,0.104022214344795,0.104022214344795
"TGFB",0.10692041370885,-0.207268076322798,-0.205671874978749,-0.104114346990033,-0.104114346990033,-0.104114346990033,-0.104114346990033,-0.104114346990033,-0.103599408326194,-0.103599408326194,0.104423306825254,0.210296921073606,0.104114346990033,0.103771587778379,0.103771587778379,0.103771587778379
"SNAIL1",0.106911408756126,-0.207637279384482,-0.206240703192629,-0.104423306825254,-0.104423306825254,-0.104423306825254,-0.104423306825254,-0.104423306825254,-0.103644994103431,-0.103644994103431,0.104443512927497,0.1105127656655,0.104423306825254,0.104114346990033,0.104114346990033,0.104114346990033
"MIR129",0.0221466162190513,-0.211528644561938,-0.203662955094936,-0.190662276329685,-0.190662276329685,-0.190662276329685,-0.190662276329685,-0.190662276329685,-0.232298136018989,0.0150218890655667,0.191088234736099,0.244797629652619,0.190662276329685,0.190513245033113,0.190513245033113,0.190513245033113
