"","MIR34","MIR340","MIR190","MIR1199","HAS2","ESRP1","TWIST1","CD44s","MIR129","MIR200","TGFB","ZEB1","HA","CD24","GRHL2","SNAIL1"
"MIR340",0.613428500922281,0.560213957881076,0.560213957881076,0.560213957881076,0.560213957881076,0.560213957881076,0.522817320632631,0.506942929843693,0.295672341088941,-0.203169077123422,-0.316113446087871,-0.598551759489655,-0.506942929843693,-0.506942929843693,-0.560213957881076,-0.647914103256952
"MIR1199",0.613428500922281,0.560213957881076,0.560213957881076,0.560213957881076,0.560213957881076,0.560213957881076,0.522817320632631,0.506942929843693,0.295672341088941,-0.203169077123422,-0.316113446087871,-0.598551759489655,-0.506942929843693,-0.506942929843693,-0.560213957881076,-0.647914103256952
"HAS2",0.557264117360637,0.506942929843693,0.506942929843693,0.506942929843693,0.506942929843693,0.506942929843693,0.474324169947699,0.461904761904762,0.274393802276155,-0.193263913793602,-0.298432286667581,-0.560213957881076,-0.561904761904762,-0.461904761904762,-0.506942929843693,-0.59408250439224
"TWIST1",0.511451585676821,0.486917976822755,0.486917976822755,0.486917976822755,0.486917976822755,0.486917976822755,0.372174024033607,0.4594311314206,0.145321633302686,-0.0333157307254759,-0.182360245696639,-0.510839340775435,-0.4594311314206,-0.4594311314206,-0.486917976822755,-0.579896424137098
"MIR129",0.481239081827113,0.4594311314206,0.4594311314206,0.4594311314206,0.4594311314206,0.4594311314206,0.444872768803482,0.428730684326711,0.133315355510376,-0.029743202237641,-0.168638070436002,-0.486917976822755,-0.428730684326711,-0.428730684326711,-0.4594311314206,-0.5493625967733
"MIR34",0.554085018400235,0.398019628904252,0.398019628904252,0.398019628904252,0.398019628904252,0.398019628904252,0.504909357618803,0.37068458177486,0.224411780299467,0.109979593541533,-0.0231516906468502,-0.425605328477593,-0.37068458177486,-0.37068458177486,-0.398019628904252,-0.654653074296847
"MIR190",0.522794104548441,0.37068458177486,0.37068458177486,0.37068458177486,0.37068458177486,0.37068458177486,0.475388900073708,0.333591849945286,0.211433337712578,0.112100567618517,-0.10537075181328,-0.398019628904252,-0.333591849945286,-0.333591849945286,-0.37068458177486,-0.621598292495547
"TGFB",-0.554085018400235,-0.398019628904252,-0.398019628904252,-0.398019628904252,-0.398019628904252,-0.398019628904252,-0.504909357618803,-0.37068458177486,-0.224411780299467,-0.109979593541533,0.0231516906468502,0.425605328477593,0.37068458177486,0.37068458177486,0.398019628904252,0.654653074296847
"SNAIL1",-0.583792357436705,-0.425605328477593,-0.425605328477593,-0.425605328477593,-0.425605328477593,-0.425605328477593,-0.531030007975892,-0.398019628904252,-0.23585381038608,-0.10591835986301,0.0348370473834014,0.447761319586908,0.398019628904252,0.398019628904252,0.425605328477593,0.5839519790854
"ZEB1",-0.657753121649753,-0.598551759489655,-0.598551759489655,-0.598551759489655,-0.598551759489655,-0.598551759489655,-0.565540910536028,-0.560213957881076,-0.314587891104522,0.205892528046471,0.342617511128521,0.538431559835993,0.560213957881076,0.560213957881076,0.598551759489655,0.695423057994822
"MIR200",-0.676553940553183,-0.524644770607495,-0.524644770607495,-0.524644770607495,-0.524644770607495,-0.524644770607495,-0.551826920858488,-0.477910593392305,-0.287669487568675,0.0632245858116322,0.278326798220722,0.558470108860877,0.477910593392305,0.477910593392305,0.524644770607495,0.693425967531655
"ESRP1",-0.557264117360637,-0.506942929843693,-0.506942929843693,-0.506942929843693,-0.506942929843693,-0.506942929843693,-0.474324169947699,-0.361904761904762,-0.274393802276155,0.193263913793602,0.298432286667581,0.560213957881076,0.461904761904762,0.461904761904762,0.506942929843693,0.59408250439224
"HA",-0.613428500922281,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.522817320632631,-0.506942929843693,-0.295672341088941,0.203169077123422,0.316113446087871,0.598551759489655,0.506942929843693,0.506942929843693,0.560213957881076,0.647914103256952
"CD44s",-0.613428500922281,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.522817320632631,-0.506942929843693,-0.295672341088941,0.203169077123422,0.316113446087871,0.598551759489655,0.506942929843693,0.506942929843693,0.560213957881076,0.647914103256952
"CD24",-0.613428500922281,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.560213957881076,-0.522817320632631,-0.506942929843693,-0.295672341088941,0.203169077123422,0.316113446087871,0.598551759489655,0.506942929843693,0.506942929843693,0.560213957881076,0.647914103256952
"GRHL2",-0.73202817928263,-0.692001482978806,-0.692001482978806,-0.692001482978806,-0.692001482978806,-0.692001482978806,-0.535334621996362,-0.640791291896004,-0.312638038107876,0.332911353251346,0.451164145446575,0.734215863217007,0.640791291896004,0.740791291896004,0.692001482978806,0.65942786464798
