"","SNAIL1","MIR340","HAS2","GRHL2","ESRP1","HA","CD24","TGFB","MIR200","ZEB1","CD44s","MIR190","MIR1199","TWIST1","MIR129","MIR34"
"SNAIL1",0.217106671120243,0.207533702868176,0.207533702868176,0.207533702868176,0.207533702868176,0.207666114226128,0.207666114226128,-0.0265176065426555,-0.0966320623098225,-0.20889761476957,-0.207666114226128,-0.207533702868176,-0.207533702868176,-0.153087023601194,-0.153087023601194,-0.306033985026442
"TGFB",0.316315240949966,0.207666114226128,0.207666114226128,0.207666114226128,0.207666114226128,0.209722669496051,0.209722669496051,-0.0242585459218201,-0.0955424630302188,-0.207533702868176,-0.209722669496051,-0.207666114226128,-0.207666114226128,-0.151947379170256,-0.151947379170256,-0.30510647489587
"MIR340",0.220012225048344,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0903919235980305,0.0903919235980305,0.0466446730014946,0.0217968061302712,-0.101142965879227,-0.0903919235980305,-0.0967640561383873,-0.0967640561383873,-0.149302113089704,-0.149302113089704,-0.161975026378181
"MIR1199",0.220012225048344,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0903919235980305,0.0903919235980305,0.0466446730014946,0.0217968061302712,-0.101142965879227,-0.0903919235980305,-0.0967640561383873,-0.0967640561383873,-0.149302113089704,-0.149302113089704,-0.161975026378181
"HA",0.220012225048344,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0903919235980305,0.0903919235980305,0.0466446730014946,0.0217968061302712,-0.101142965879227,-0.0903919235980305,-0.0967640561383873,-0.0967640561383873,-0.149302113089704,-0.149302113089704,-0.161975026378181
"CD44s",0.220012225048344,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0967640561383873,0.0903919235980305,0.0903919235980305,0.0466446730014946,0.0217968061302712,-0.101142965879227,-0.0903919235980305,-0.0967640561383873,-0.0967640561383873,-0.149302113089704,-0.149302113089704,-0.161975026378181
"HAS2",0.221904372635856,0.0903919235980305,0.0903919235980305,0.0903919235980305,0.0903919235980305,0.196753246753247,0.0967532467532468,0.0542775232430405,0.0191624541808508,-0.0967640561383873,-0.0967532467532468,-0.0903919235980305,-0.0903919235980305,-0.149028140486964,-0.149028140486964,-0.15670632247934
"TWIST1",0.256519378420835,0.0525211723810416,0.0525211723810416,0.0525211723810416,0.0525211723810416,0.0545507389057221,0.0545507389057221,-0.0383408338619158,-0.0892976800827035,-0.0515295231117305,-0.0545507389057221,-0.0525211723810416,-0.0525211723810416,-0.0107974796916409,-0.266612087713385,-0.152911752778699
"ZEB1",-0.219654035533528,-0.101142965879227,-0.101142965879227,-0.101142965879227,-0.101142965879227,-0.0967640561383873,-0.0967640561383873,-0.0507097136519011,-0.025214828429668,-0.000252572472611305,0.0967640561383873,0.101142965879227,0.101142965879227,0.147962131787117,0.147962131787117,0.163930793148424
"MIR200",0.0909531570283307,-0.0243226785855918,-0.0243226785855918,-0.0243226785855918,-0.0243226785855918,-0.0214366026362247,-0.0214366026362247,-0.0345956648949704,-0.144532818308996,0.0277491414216487,0.0214366026362247,0.0243226785855918,0.0243226785855918,-0.0692623452688981,-0.0692623452688981,-0.0418316854463396
"MIR129",-0.254529533491509,-0.0545507389057221,-0.0545507389057221,-0.0545507389057221,-0.0545507389057221,-0.0514210816777042,-0.0514210816777042,0.0409049364260184,0.0876346064762975,0.0525211723810416,0.0514210816777042,0.0545507389057221,0.0545507389057221,-0.0900916416472712,0.265696576334886,0.153743289581902
"ESRP1",-0.221904372635856,-0.0903919235980305,-0.0903919235980305,-0.0903919235980305,-0.0903919235980305,-0.0967532467532468,-0.0967532467532468,-0.0542775232430405,-0.0191624541808508,0.0967640561383873,-0.00324675324675325,0.0903919235980305,0.0903919235980305,0.149028140486964,0.149028140486964,0.15670632247934
"CD24",-0.220012225048344,-0.0967640561383873,-0.0967640561383873,-0.0967640561383873,-0.0967640561383873,-0.0903919235980305,-0.0903919235980305,-0.0466446730014946,-0.0217968061302712,0.101142965879227,0.0903919235980305,0.0967640561383873,0.0967640561383873,0.149302113089704,0.149302113089704,0.161975026378181
"GRHL2",-0.24513476335991,-0.175013758288611,-0.175013758288611,-0.175013758288611,-0.175013758288611,-0.171829044912815,-0.0718290449128146,-0.133862132092099,-0.10767782816419,0.17991009706232,0.171829044912815,0.175013758288611,0.175013758288611,0.170935280694196,0.170935280694196,0.2454528869616
"MIR34",-0.316315240949966,-0.207666114226128,-0.207666114226128,-0.207666114226128,-0.207666114226128,-0.209722669496051,-0.209722669496051,0.0242585459218201,0.0955424630302188,0.207533702868176,0.209722669496051,0.207666114226128,0.207666114226128,0.151947379170256,0.151947379170256,0.30510647489587
"MIR190",-0.313715426650987,-0.209722669496051,-0.209722669496051,-0.209722669496051,-0.209722669496051,-0.207467030398307,-0.207467030398307,-0.0743663948083838,0.0931596403017558,0.207666114226128,0.207467030398307,0.209722669496051,0.209722669496051,0.150319574506816,0.150319574506816,0.305237399221609
