"","SNAIL1","ZEB1","MIR340","HAS2","GRHL2","CD24","TGFB","MIR200","HA","CD44s","MIR190","MIR1199","ESRP1","MIR34","TWIST1","MIR129"
"MIR190",-0.26623222650187,-0.251828431253064,0.256884129624958,0.256884129624958,0.256884129624958,0.262899167218943,-0.243296372584878,0.322582111508935,-0.262899167218943,-0.262899167218943,-0.256884129624958,-0.256884129624958,-0.256884129624958,0.0587284707727925,0.0824071327698938,0.237698179260689
"TGFB",-0.263725262713569,-0.248576996796686,0.251828431253064,0.251828431253064,0.251828431253064,0.256884129624958,-0.335283096150549,0.316690516850647,-0.256884129624958,-0.256884129624958,-0.251828431253064,-0.251828431253064,-0.251828431253064,0.0590165042894199,0.0816592225191239,0.231670902533896
"MIR34",-0.263725262713569,-0.248576996796686,0.251828431253064,0.251828431253064,0.251828431253064,0.256884129624958,-0.335283096150549,0.316690516850647,-0.256884129624958,-0.256884129624958,-0.251828431253064,-0.251828431253064,-0.251828431253064,0.0590165042894199,0.0816592225191239,0.231670902533896
"TWIST1",-0.151543613773901,-0.225617854439686,0.226522516930988,0.226522516930988,0.226522516930988,0.22900309823893,-0.20877098629317,0.195034613606971,-0.22900309823893,-0.22900309823893,-0.226522516930988,-0.226522516930988,-0.226522516930988,-0.0355103636069971,-0.0309729386818371,0.192213658548421
"GRHL2",0.305984089662874,-0.135944874467924,0.13488620662496,0.13488620662496,0.13488620662496,0.236797034650438,-0.0949233944866337,0.0664319223150189,-0.136797034650438,-0.136797034650438,-0.13488620662496,-0.13488620662496,-0.13488620662496,-0.24983538584602,-0.175087290124154,-0.301822451053141
"ZEB1",-0.275311175808688,-0.0596040556890594,-0.0384503397474283,-0.0384503397474283,-0.0384503397474283,-0.0368119721573181,-0.00509119669379425,0.0287863552093564,0.0368119721573181,0.0368119721573181,0.0384503397474283,0.0384503397474283,0.0384503397474283,0.149120157113662,0.150309264310547,0.271224342775724
"MIR1199",0.27954432462015,-0.0384503397474283,0.0368119721573181,0.0368119721573181,0.0368119721573181,0.0374067045277514,0.00616436742550157,-0.0321678211205244,-0.0374067045277514,-0.0374067045277514,-0.0368119721573181,-0.0368119721573181,-0.0368119721573181,-0.150491021672243,-0.152397142154112,-0.2764284562067
"HA",0.27954432462015,-0.0384503397474283,0.0368119721573181,0.0368119721573181,0.0368119721573181,0.0374067045277514,0.00616436742550157,-0.0321678211205244,-0.0374067045277514,-0.0374067045277514,-0.0368119721573181,-0.0368119721573181,-0.0368119721573181,-0.150491021672243,-0.152397142154112,-0.2764284562067
"CD24",0.27954432462015,-0.0384503397474283,0.0368119721573181,0.0368119721573181,0.0368119721573181,0.0374067045277514,0.00616436742550157,-0.0321678211205244,-0.0374067045277514,-0.0374067045277514,-0.0368119721573181,-0.0368119721573181,-0.0368119721573181,-0.150491021672243,-0.152397142154112,-0.2764284562067
"MIR200",0.329932128285487,0.0191918232762854,-0.0222317108180179,-0.0222317108180179,-0.0222317108180179,-0.0243076601851065,0.050816130771791,-0.162214594768974,0.0243076601851065,0.0243076601851065,0.0222317108180179,0.0222317108180179,0.0222317108180179,-0.213468881508099,-0.150418761413658,-0.308933183446447
"HAS2",-0.285693804279563,0.0368119721573181,-0.0374067045277514,-0.0374067045277514,-0.0374067045277514,-0.0432591218305504,-0.00239625148347258,0.0342753026800607,-0.0567408781694496,0.0432591218305504,0.0374067045277514,0.0374067045277514,0.0374067045277514,0.153336121777617,0.155776137587902,0.282181880864234
"ESRP1",-0.285693804279563,0.0368119721573181,-0.0374067045277514,-0.0374067045277514,-0.0374067045277514,-0.0432591218305504,-0.00239625148347258,0.0342753026800607,0.0432591218305504,0.14325912183055,0.0374067045277514,0.0374067045277514,0.0374067045277514,0.153336121777617,0.155776137587902,0.282181880864234
"MIR340",-0.27954432462015,0.0384503397474283,-0.0368119721573181,-0.0368119721573181,-0.0368119721573181,-0.0374067045277514,-0.00616436742550157,0.0321678211205244,0.0374067045277514,0.0374067045277514,0.0368119721573181,0.0368119721573181,0.0368119721573181,0.150491021672243,0.152397142154112,0.2764284562067
"CD44s",-0.27954432462015,0.0384503397474283,-0.0368119721573181,-0.0368119721573181,-0.0368119721573181,-0.0374067045277514,-0.00616436742550157,0.0321678211205244,0.0374067045277514,0.0374067045277514,0.0368119721573181,0.0368119721573181,0.0368119721573181,0.150491021672243,0.152397142154112,0.2764284562067
"MIR129",0.150596722048911,0.226522516930988,-0.22900309823893,-0.22900309823893,-0.22900309823893,-0.233623068432671,0.213589244957582,-0.196974866147778,0.233623068432671,0.233623068432671,0.22900309823893,0.22900309823893,0.22900309823893,0.036619079344601,-0.068242542489711,-0.193024540055092
"SNAIL1",0.164164946141501,0.247162569639685,-0.248576996796686,-0.248576996796686,-0.248576996796686,-0.251828431253064,0.329708579654531,-0.313727887404452,0.251828431253064,0.251828431253064,0.248576996796686,0.248576996796686,0.248576996796686,-0.0600340639472317,-0.0820998850324197,-0.229771495149
