"","TWIST1","MIR34","CD24","MIR340","MIR1199","HAS2","GRHL2","ESRP1","MIR200","ZEB1","TGFB","MIR129","MIR190","HA","CD44s","SNAIL1"
"GRHL2",0.173519419979909,0.249064333257025,0.311603556032875,0.211348778962812,0.211348778962812,0.211348778962812,0.211348778962812,0.211348778962812,0.165610399866239,-0.211260556642565,-0.0239320592631289,-0.109678964891693,-0.211348778962812,-0.211603556032875,-0.211603556032875,-0.166164248440881
"TWIST1",-0.140835606477229,-0.00176131900632639,0.161004365662926,0.160428068995424,0.160428068995424,0.160428068995424,0.160428068995424,0.160428068995424,0.155270049923397,-0.160288890150609,0.0532367453945081,0.126740664400777,-0.160428068995424,-0.161004365662926,-0.161004365662926,0.148547828489254
"HAS2",0.151065162288692,0.143191809183471,0.11134817563389,0.111093722707681,0.111093722707681,0.111093722707681,0.111093722707681,0.111093722707681,0.0712514787104134,-0.110838837406067,-0.0210428516716549,-0.0894153062623651,-0.111093722707681,-0.21134817563389,-0.11134817563389,-0.141163829517378
"MIR340",0.152069728498737,0.143402557339425,0.111093722707681,0.110838837406067,0.110838837406067,0.110838837406067,0.110838837406067,0.110838837406067,0.0707246083205293,-0.110809048904429,-0.0211394700291428,-0.0898719272669313,-0.110838837406067,-0.111093722707681,-0.111093722707681,-0.141447651655504
"CD44s",0.152069728498737,0.143402557339425,0.111093722707681,0.110838837406067,0.110838837406067,0.110838837406067,0.110838837406067,0.110838837406067,0.0707246083205293,-0.110809048904429,-0.0211394700291428,-0.0898719272669313,-0.110838837406067,-0.111093722707681,-0.111093722707681,-0.141447651655504
"CD24",0.152069728498737,0.143402557339425,0.111093722707681,0.110838837406067,0.110838837406067,0.110838837406067,0.110838837406067,0.110838837406067,0.0707246083205293,-0.110809048904429,-0.0211394700291428,-0.0898719272669313,-0.110838837406067,-0.111093722707681,-0.111093722707681,-0.141447651655504
"SNAIL1",-0.189183645356091,-0.135024094837633,0.0409817765021594,0.0407022414131496,0.0407022414131496,0.0407022414131496,0.0407022414131496,0.0407022414131496,0.172602078300845,-0.0406719322597852,0.136308761450505,0.065773443562336,-0.0407022414131496,-0.0409817765021594,-0.0409817765021594,0.104300693985716
"ZEB1",-0.152412514413352,-0.143493948309997,-0.110838837406067,-0.110809048904429,-0.110809048904429,-0.110809048904429,-0.110809048904429,-0.110809048904429,-0.0705966609617284,0.0109210994290288,0.0213671123055656,0.0897161154875608,0.110809048904429,0.110838837406067,0.110838837406067,0.141415088972339
"TGFB",0.189776260460178,0.135051109695805,-0.0414959153196401,-0.0409817765021594,-0.0409817765021594,-0.0409817765021594,-0.0409817765021594,-0.0409817765021594,-0.172971281362529,0.0407022414131496,-0.136357518154552,-0.0659709819303652,0.0409817765021594,0.0414959153196401,0.0414959153196401,-0.204388630671302
"MIR34",0.189776260460178,0.135051109695805,-0.0414959153196401,-0.0409817765021594,-0.0409817765021594,-0.0409817765021594,-0.0409817765021594,-0.0409817765021594,-0.172971281362529,0.0407022414131496,-0.136357518154552,-0.0659709819303652,0.0409817765021594,0.0414959153196401,0.0414959153196401,-0.204388630671302
"MIR190",0.19017221294588,0.134815445909474,-0.0409946621868081,-0.0414959153196401,-0.0414959153196401,-0.0414959153196401,-0.0414959153196401,-0.0414959153196401,-0.173364054339748,0.0409817765021594,-0.0360256072963255,-0.0667188921811351,0.0414959153196401,0.0409946621868081,0.0409946621868081,-0.20489930848003
"MIR200",0.106597540231212,-0.0115584283576369,-0.103847796739145,-0.103898429650537,-0.103898429650537,-0.103898429650537,-0.103898429650537,-0.103898429650537,-0.199272838420229,0.1036699987948,0.00373651376597786,-0.0534392289858234,0.103898429650537,0.103847796739145,0.103847796739145,-0.082471086833714
"MIR1199",-0.152069728498737,-0.143402557339425,-0.111093722707681,-0.110838837406067,-0.110838837406067,-0.110838837406067,-0.110838837406067,-0.110838837406067,-0.0707246083205293,0.110809048904429,0.0211394700291428,0.0898719272669313,0.110838837406067,0.111093722707681,0.111093722707681,0.141447651655504
"HA",-0.152069728498737,-0.143402557339425,-0.111093722707681,-0.110838837406067,-0.110838837406067,-0.110838837406067,-0.110838837406067,-0.110838837406067,-0.0707246083205293,0.110809048904429,0.0211394700291428,0.0898719272669313,0.110838837406067,0.111093722707681,0.111093722707681,0.141447651655504
"ESRP1",-0.151065162288692,-0.143191809183471,-0.11134817563389,-0.111093722707681,-0.111093722707681,-0.111093722707681,-0.111093722707681,-0.111093722707681,-0.0712514787104134,0.110838837406067,0.0210428516716549,0.0894153062623651,0.111093722707681,0.11134817563389,0.0113481756338899,0.141163829517378
"MIR129",0.0418816315818315,0.0017305213469485,-0.161302428256071,-0.161004365662926,-0.161004365662926,-0.161004365662926,-0.161004365662926,-0.161004365662926,-0.155947598429711,0.160428068995424,-0.0532085684432542,-0.127342286163791,0.161004365662926,0.161302428256071,0.161302428256071,-0.14894579747512
