"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD44s","SNAIL1","MIR129","MIR34","MIR200","TWIST1","TGFB","ZEB1","HA","CD24","HAS2"
"GRHL2",0.600674870506564,0.600674870506564,0.600674870506564,0.600674870506564,0.600674870506564,0.57417805521994,0.442548307761358,0.394329745986672,0.340968045194421,0.340968045194421,-0.229156120596481,-0.429596477586156,-0.61783411179461,-0.57417805521994,-0.67417805521994,-0.600674870506564
"MIR340",0.462863849970323,0.462863849970323,0.462863849970323,0.462863849970323,0.462863849970323,0.434401657956729,0.421205375671137,0.373677148529687,0.211541176785064,0.211541176785064,-0.208502636874273,-0.292774919272847,-0.47606015619612,-0.434401657956729,-0.434401657956729,-0.462863849970323
"MIR1199",0.462863849970323,0.462863849970323,0.462863849970323,0.462863849970323,0.462863849970323,0.434401657956729,0.421205375671137,0.373677148529687,0.211541176785064,0.211541176785064,-0.208502636874273,-0.292774919272847,-0.47606015619612,-0.434401657956729,-0.434401657956729,-0.462863849970323
"MIR200",0.364942655448428,0.364942655448428,0.364942655448428,0.364942655448428,0.364942655448428,0.345043921271212,0.388644876568077,0.341696447764118,0.0719636171570051,0.0719636171570051,-0.172890988661892,-0.234404226375952,-0.372586303313478,-0.345043921271212,-0.345043921271212,-0.364942655448428
"SNAIL1",0.120084204438766,0.120084204438766,0.120084204438766,0.120084204438766,0.120084204438766,0.116567947266485,0.132443022212744,0.209400997094002,-0.101805564621974,-0.101805564621974,-0.0757351651215073,0.0627462560787518,-0.120296368512317,-0.116567947266485,-0.116567947266485,-0.120084204438766
"MIR34",0.116567947266485,0.116567947266485,0.116567947266485,0.116567947266485,0.116567947266485,0.116910706478138,0.231283856811833,0.207927056963323,-0.103255362010537,-0.103255362010537,-0.0753856741626864,0.061787374232498,-0.120084204438766,-0.116910706478138,-0.116910706478138,-0.116567947266485
"MIR190",0.116910706478138,0.116910706478138,0.116910706478138,0.116910706478138,0.116910706478138,0.109642536052073,0.229473271853616,0.205507347328479,-0.101919933887992,-0.101919933887992,-0.0745497744706495,-0.0335184579154395,-0.116567947266485,-0.109642536052073,-0.109642536052073,-0.116910706478138
"TWIST1",0.0929922123047947,0.0929922123047947,0.0929922123047947,0.0929922123047947,0.0929922123047947,0.0860515959179242,-0.0970851084412745,-0.150768655272882,0.117238000280463,0.117238000280463,-0.0479681362901406,-0.107897918987816,-0.094575371664572,-0.0860515959179242,-0.0860515959179242,-0.0929922123047947
"MIR129",0.0860515959179242,0.0860515959179242,0.0860515959179242,0.0860515959179242,0.0860515959179242,0.0844122516556291,-0.0996787683836377,-0.152939725113321,0.11406584136454,0.11406584136454,0.0530255875592318,-0.107531618621515,-0.0929922123047947,-0.0844122516556291,-0.0844122516556291,-0.0860515959179242
"TGFB",-0.116567947266485,-0.116567947266485,-0.116567947266485,-0.116567947266485,-0.116567947266485,-0.116910706478138,-0.231283856811833,-0.207927056963323,0.103255362010537,0.103255362010537,0.0753856741626864,-0.061787374232498,0.120084204438766,0.116910706478138,0.116910706478138,0.116567947266485
"ZEB1",-0.47606015619612,-0.47606015619612,-0.47606015619612,-0.47606015619612,-0.47606015619612,-0.462863849970323,-0.431983623798783,-0.384802109576742,-0.214191514931655,-0.214191514931655,0.212896529052521,0.3103033745574,0.391635179115545,0.462863849970323,0.462863849970323,0.47606015619612
"HAS2",-0.434401657956729,-0.434401657956729,-0.434401657956729,-0.434401657956729,-0.434401657956729,-0.413790970933828,-0.407108876144174,-0.359339248986308,-0.200793020831428,-0.200793020831428,0.203114509020391,0.283016465166567,0.462863849970323,0.513790970933828,0.413790970933828,0.434401657956729
"ESRP1",-0.434401657956729,-0.434401657956729,-0.434401657956729,-0.434401657956729,-0.434401657956729,-0.313790970933828,-0.407108876144174,-0.359339248986308,-0.200793020831428,-0.200793020831428,0.203114509020391,0.283016465166567,0.462863849970323,0.413790970933828,0.413790970933828,0.434401657956729
"HA",-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.434401657956729,-0.421205375671137,-0.373677148529687,-0.211541176785064,-0.211541176785064,0.208502636874273,0.292774919272847,0.47606015619612,0.434401657956729,0.434401657956729,0.462863849970323
"CD44s",-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.434401657956729,-0.421205375671137,-0.373677148529687,-0.211541176785064,-0.211541176785064,0.208502636874273,0.292774919272847,0.47606015619612,0.434401657956729,0.434401657956729,0.462863849970323
"CD24",-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.462863849970323,-0.434401657956729,-0.421205375671137,-0.373677148529687,-0.211541176785064,-0.211541176785064,0.208502636874273,0.292774919272847,0.47606015619612,0.434401657956729,0.434401657956729,0.462863849970323
