"","MIR340","MIR190","MIR1199","ESRP1","HA","MIR200","TWIST1","SNAIL1","TGFB","ZEB1","MIR129","MIR34","CD44s","CD24","HAS2","GRHL2"
"MIR340",0.171544902472653,0.171544902472653,0.171544902472653,0.171544902472653,0.172819328980725,0.166268644994077,0.123680603253851,0.0901584434562107,0.00476027994504051,-0.173123693059487,-0.123680603253851,-0.166268644994077,-0.172819328980725,-0.172819328980725,-0.171544902472653,-0.171544902472653
"MIR1199",0.171544902472653,0.171544902472653,0.171544902472653,0.171544902472653,0.172819328980725,0.166268644994077,0.123680603253851,0.0901584434562107,0.00476027994504051,-0.173123693059487,-0.123680603253851,-0.166268644994077,-0.172819328980725,-0.172819328980725,-0.171544902472653,-0.171544902472653
"CD44s",0.171544902472653,0.171544902472653,0.171544902472653,0.171544902472653,0.172819328980725,0.166268644994077,0.123680603253851,0.0901584434562107,0.00476027994504051,-0.173123693059487,-0.123680603253851,-0.166268644994077,-0.172819328980725,-0.172819328980725,-0.171544902472653,-0.171544902472653
"HAS2",0.172819328980725,0.172819328980725,0.172819328980725,0.172819328980725,0.0695114409400124,0.165952522760146,0.122310740240152,0.0912937320087178,0.0060163185923835,-0.171544902472653,-0.122310740240152,-0.165952522760146,-0.169511440940012,-0.169511440940012,-0.172819328980725,-0.172819328980725
"SNAIL1",0.100942664104638,0.100942664104638,0.100942664104638,0.100942664104638,0.100310032061089,0.111865331501428,0.116976257540721,-0.0828983255937781,0.0728223937913139,-0.100841633593423,-0.116976257540721,-0.111865331501428,-0.100310032061089,-0.100310032061089,-0.100942664104638,-0.100942664104638
"MIR190",0.101595379104791,0.101595379104791,0.101595379104791,0.101595379104791,0.0980866071749662,0.112448368589737,0.117101162169245,0.0166267146131132,-0.0272603700780496,-0.100310032061089,-0.117101162169245,-0.112448368589737,-0.0980866071749662,-0.0980866071749662,-0.101595379104791,-0.101595379104791
"TWIST1",0.0314081799214388,0.0314081799214388,0.0314081799214388,0.0314081799214388,0.0303307557169787,0.021386492003822,0.00949643613369191,-0.00480228134187729,-0.000626418981476812,-0.0312342063654193,-0.0320004443517424,-0.021386492003822,-0.0303307557169787,-0.0303307557169787,-0.0314081799214388,-0.0314081799214388
"MIR129",-0.0303307557169787,-0.0303307557169787,-0.0303307557169787,-0.0303307557169787,-0.0325662251655629,-0.0198158113755497,-0.108398109773859,0.00330646687776312,-0.000134358702377795,0.0314081799214388,0.0309279881655012,0.0198158113755497,0.0325662251655629,0.0325662251655629,0.0303307557169787,0.0303307557169787
"ZEB1",-0.173123693059487,-0.173123693059487,-0.173123693059487,-0.173123693059487,-0.171544902472653,-0.166798712623395,-0.123400142050984,-0.090614321020522,-0.0054432067743088,0.0723800850325948,0.123400142050984,0.166798712623395,0.171544902472653,0.171544902472653,0.173123693059487,0.173123693059487
"TGFB",-0.100310032061089,-0.100310032061089,-0.100310032061089,-0.100310032061089,-0.101595379104791,-0.110955831276305,-0.116353251918475,-0.0179730470179414,-0.0732612041277351,0.100942664104638,0.116353251918475,0.110955831276305,0.101595379104791,0.101595379104791,0.100310032061089,0.100310032061089
"MIR34",-0.100310032061089,-0.100310032061089,-0.100310032061089,-0.100310032061089,-0.101595379104791,-0.110955831276305,-0.116353251918475,-0.0179730470179414,-0.0732612041277351,0.100942664104638,0.116353251918475,0.110955831276305,0.101595379104791,0.101595379104791,0.100310032061089,0.100310032061089
"MIR200",-0.17009218896731,-0.17009218896731,-0.17009218896731,-0.17009218896731,-0.169433961119209,-0.252645717509061,-0.154690740621054,-0.103870148563857,-0.000365151015878079,0.170496335865922,0.154690740621054,0.252645717509061,0.169433961119209,0.169433961119209,0.17009218896731,0.17009218896731
"ESRP1",-0.172819328980725,-0.172819328980725,-0.172819328980725,-0.172819328980725,-0.169511440940012,-0.165952522760146,-0.122310740240152,-0.0912937320087178,-0.0060163185923835,0.171544902472653,0.122310740240152,0.165952522760146,0.0695114409400124,0.169511440940012,0.172819328980725,0.172819328980725
"HA",-0.171544902472653,-0.171544902472653,-0.171544902472653,-0.171544902472653,-0.172819328980725,-0.166268644994077,-0.123680603253851,-0.0901584434562107,-0.00476027994504051,0.173123693059487,0.123680603253851,0.166268644994077,0.172819328980725,0.172819328980725,0.171544902472653,0.171544902472653
"CD24",-0.171544902472653,-0.171544902472653,-0.171544902472653,-0.171544902472653,-0.172819328980725,-0.166268644994077,-0.123680603253851,-0.0901584434562107,-0.00476027994504051,0.173123693059487,0.123680603253851,0.166268644994077,0.172819328980725,0.172819328980725,0.171544902472653,0.171544902472653
"GRHL2",-0.298728192378141,-0.298728192378141,-0.298728192378141,-0.298728192378141,-0.298855580913173,-0.296786042025772,-0.143272315093971,-0.114489040228471,-0.0136728718524579,0.299566304420487,0.143272315093971,0.296786042025772,0.298855580913173,0.398855580913173,0.298728192378141,0.298728192378141
