"","MIR129","ZEB1","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR34","TGFB","MIR200","HA","CD44s","CD24","MIR1199","SNAIL1","TWIST1"
"TWIST1",0.0844125032480595,-0.193205841053995,0.19306666220918,0.19306666220918,0.19306666220918,0.19306666220918,0.19306666220918,-0.00686556678762582,-0.0689526037179179,0.00686556678762582,-0.192640703802765,-0.192640703802765,-0.192640703802765,-0.19306666220918,-0.21077891310536,-0.137584495765464
"MIR34",0.202300860232346,-0.0908237527901206,0.0908090404170148,0.0908090404170148,0.0908090404170148,0.0908090404170148,0.0908090404170148,-0.0775267663339664,-0.11345281849789,0.0775267663339664,-0.0907233506141013,-0.0907233506141013,-0.0907233506141013,-0.0908090404170148,-0.137064087390418,-0.202300860232346
"MIR190",0.202608823276781,-0.0908090404170148,0.0907233506141013,0.0907233506141013,0.0907233506141013,0.0907233506141013,0.0907233506141013,-0.077238732817339,-0.213974392703674,0.077238732817339,-0.088968964649189,-0.088968964649189,-0.088968964649189,-0.0907233506141013,-0.135903456006945,-0.202608823276781
"MIR200",0.220330326914663,-0.0900973781425247,0.0897635176610627,0.0897635176610627,0.0897635176610627,0.0897635176610627,0.0897635176610627,-0.020083302245566,-0.209615842776057,0.020083302245566,-0.0883964290534678,-0.0883964290534678,-0.0883964290534678,-0.0897635176610627,-0.16929058525034,-0.220330326914663
"ZEB1",-0.141804114410534,-0.0503997974138121,-0.0493659151256602,-0.0493659151256602,-0.0493659151256602,-0.0493659151256602,-0.0493659151256602,-0.0478944535913616,0.0136894729955072,0.0478944535913616,0.048859510597808,0.048859510597808,0.048859510597808,0.0493659151256602,0.103512596131023,0.141804114410534
"HA",0.14177295205466,-0.0493659151256602,0.048859510597808,0.048859510597808,0.048859510597808,0.048859510597808,0.048859510597808,0.0475471679031876,-0.0134618307190844,-0.0475471679031876,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.048859510597808,-0.103447470764693,-0.14177295205466
"CD44s",0.14177295205466,-0.0493659151256602,0.048859510597808,0.048859510597808,0.048859510597808,0.048859510597808,0.048859510597808,0.0475471679031876,-0.0134618307190844,-0.0475471679031876,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.048859510597808,-0.103447470764693,-0.14177295205466
"CD24",0.14177295205466,-0.0493659151256602,0.048859510597808,0.048859510597808,0.048859510597808,0.048859510597808,0.048859510597808,0.0475471679031876,-0.0134618307190844,-0.0475471679031876,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.048859510597808,-0.103447470764693,-0.14177295205466
"GRHL2",0.104308047822902,0.0168408278465061,-0.0169290501667532,-0.0169290501667532,-0.0169290501667532,-0.0169290501667532,-0.0169290501667532,-0.023258537899194,-0.00633413975661122,0.023258537899194,0.0182029355170716,0.0182029355170716,-0.0817970644829284,0.0169290501667532,-0.0764948715617969,-0.104308047822902
"HAS2",-0.141498979451921,0.048859510597808,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.0472310456692571,0.0131719756466207,0.0472310456692571,-0.0504638218923933,0.0495361781076067,0.0495361781076067,0.0477550076241461,0.103542078144068,0.141498979451921
"ESRP1",-0.141498979451921,0.048859510597808,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.0477550076241461,-0.0472310456692571,0.0131719756466207,0.0472310456692571,0.0495361781076067,-0.0504638218923933,0.0495361781076067,0.0477550076241461,0.103542078144068,0.141498979451921
"MIR340",-0.14177295205466,0.0493659151256602,-0.048859510597808,-0.048859510597808,-0.048859510597808,-0.048859510597808,-0.048859510597808,-0.0475471679031876,0.0134618307190844,0.0475471679031876,0.0477550076241461,0.0477550076241461,0.0477550076241461,0.048859510597808,0.103447470764693,0.14177295205466
"MIR1199",-0.14177295205466,0.0493659151256602,-0.048859510597808,-0.048859510597808,-0.048859510597808,-0.048859510597808,-0.048859510597808,-0.0475471679031876,0.0134618307190844,0.0475471679031876,0.0477550076241461,0.0477550076241461,0.0477550076241461,0.048859510597808,0.103447470764693,0.14177295205466
"TGFB",-0.202300860232346,0.0908237527901206,-0.0908090404170148,-0.0908090404170148,-0.0908090404170148,-0.0908090404170148,-0.0908090404170148,0.0775267663339664,0.11345281849789,-0.0775267663339664,0.0907233506141013,0.0907233506141013,0.0907233506141013,0.0908090404170148,0.137064087390418,0.202300860232346
"SNAIL1",-0.20295425637275,0.0909651955058207,-0.0908237527901206,-0.0908237527901206,-0.0908237527901206,-0.0908237527901206,-0.0908237527901206,0.0779680090174423,0.113664097548759,-0.0779680090174423,0.0908090404170148,0.0908090404170148,0.0908090404170148,0.0908237527901206,0.0373438859354652,0.20295425637275
"MIR129",-0.0848571802033302,0.19306666220918,-0.192640703802765,-0.192640703802765,-0.192640703802765,-0.192640703802765,-0.192640703802765,0.00698875742513737,0.0693189040842183,-0.00698875742513737,0.192789735099338,0.192789735099338,0.192789735099338,0.192640703802765,0.210298605708626,0.0380552070625355
