"","TWIST1","MIR200","MIR129","MIR340","MIR1199","HAS2","GRHL2","ESRP1","CD24","ZEB1","TGFB","HA","CD44s","MIR190","MIR34","SNAIL1"
"MIR190",0.532602227433982,0.547367716875963,0.2395991896533,0.369339496654031,0.369339496654031,0.369339496654031,0.369339496654031,0.369339496654031,0.348286865075084,-0.386306077630895,-0.348917486412433,-0.348286865075084,-0.348286865075084,-0.369339496654031,-0.547367716875963,-0.69836511404013
"TWIST1",0.334681425711604,0.39274134802132,0.123552051182907,0.320175767710153,0.320175767710153,0.320175767710153,0.320175767710153,0.320175767710153,0.310829739145883,-0.327882796241816,-0.136431213655986,-0.310829739145883,-0.310829739145883,-0.320175767710153,-0.39274134802132,-0.519651462746583
"MIR129",0.41658519140198,0.37817405513558,0.116149487751047,0.310829739145883,0.310829739145883,0.310829739145883,0.310829739145883,0.310829739145883,0.299205298013245,-0.320175767710153,-0.12969692230631,-0.299205298013245,-0.299205298013245,-0.310829739145883,-0.37817405513558,-0.501001812684829
"MIR200",0.418345350592846,0.418866899574644,0.214714949312643,0.227576225200825,0.227576225200825,0.227576225200825,0.227576225200825,0.227576225200825,0.216588883428673,-0.236590458200298,-0.279406025513999,-0.216588883428673,-0.216588883428673,-0.227576225200825,-0.418866899574644,-0.498591001520716
"MIR340",0.222499032742707,0.170066322197152,0.128576635719907,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0938124035179651,-0.101460784802687,-0.037718299769627,-0.0938124035179651,-0.0938124035179651,-0.0979755301109983,-0.170066322197152,-0.237841264683694
"HA",0.222499032742707,0.170066322197152,0.128576635719907,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0938124035179651,-0.101460784802687,-0.037718299769627,-0.0938124035179651,-0.0938124035179651,-0.0979755301109983,-0.170066322197152,-0.237841264683694
"CD44s",0.222499032742707,0.170066322197152,0.128576635719907,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0979755301109983,0.0938124035179651,-0.101460784802687,-0.037718299769627,-0.0938124035179651,-0.0938124035179651,-0.0979755301109983,-0.170066322197152,-0.237841264683694
"ZEB1",-0.230133809931863,-0.175860509731424,-0.131474734816199,-0.101460784802687,-0.101460784802687,-0.101460784802687,-0.101460784802687,-0.101460784802687,-0.0979755301109983,0.00497509671060212,0.0406126087127165,0.0979755301109983,0.0979755301109983,0.101460784802687,0.175860509731424,0.245656308643317
"HAS2",-0.21272734324499,-0.162795510816752,-0.124467046678811,-0.0938124035179651,-0.0938124035179651,-0.0938124035179651,-0.0938124035179651,-0.0938124035179651,-0.089486703772418,0.0979755301109983,0.0343366572575498,-0.0105132962275819,0.089486703772418,0.0938124035179651,0.162795510816752,0.228380526746135
"ESRP1",-0.21272734324499,-0.162795510816752,-0.124467046678811,-0.0938124035179651,-0.0938124035179651,-0.0938124035179651,-0.0938124035179651,-0.0938124035179651,-0.089486703772418,0.0979755301109983,0.0343366572575498,0.089486703772418,-0.0105132962275819,0.0938124035179651,0.162795510816752,0.228380526746135
"MIR1199",-0.222499032742707,-0.170066322197152,-0.128576635719907,-0.0979755301109983,-0.0979755301109983,-0.0979755301109983,-0.0979755301109983,-0.0979755301109983,-0.0938124035179651,0.101460784802687,0.037718299769627,0.0938124035179651,0.0938124035179651,0.0979755301109983,0.170066322197152,0.237841264683694
"CD24",-0.222499032742707,-0.170066322197152,-0.128576635719907,-0.0979755301109983,-0.0979755301109983,-0.0979755301109983,-0.0979755301109983,-0.0979755301109983,-0.0938124035179651,0.101460784802687,0.037718299769627,0.0938124035179651,0.0938124035179651,0.0979755301109983,0.170066322197152,0.237841264683694
"GRHL2",-0.242051406486679,-0.281323129507925,-0.147623178108574,-0.215388156615255,-0.215388156615255,-0.215388156615255,-0.215388156615255,-0.215388156615255,-0.111184334959204,0.219049382905506,0.0399142882594452,0.211184334959204,0.211184334959204,0.215388156615255,0.281323129507925,0.260280857415255
"TGFB",-0.563618505480616,-0.573055069586096,-0.252313663916389,-0.386306077630895,-0.386306077630895,-0.386306077630895,-0.386306077630895,-0.386306077630895,-0.369339496654031,0.399915022753743,0.260534366450366,0.369339496654031,0.369339496654031,0.386306077630895,0.573055069586096,0.730816367522024
"MIR34",-0.563618505480616,-0.573055069586096,-0.252313663916389,-0.386306077630895,-0.386306077630895,-0.386306077630895,-0.386306077630895,-0.386306077630895,-0.369339496654031,0.399915022753743,0.260534366450366,0.369339496654031,0.369339496654031,0.386306077630895,0.573055069586096,0.730816367522024
"SNAIL1",-0.589252907547172,-0.593973574763944,-0.262843978458252,-0.399915022753743,-0.399915022753743,-0.399915022753743,-0.399915022753743,-0.399915022753743,-0.386306077630895,0.410947554578354,0.270041923739493,0.386306077630895,0.386306077630895,0.399915022753743,0.593973574763944,0.65742920627812
