"","MIR129","HA","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR34","ZEB1","TGFB","MIR200","ESRP1","SNAIL1","TWIST1"
"MIR190",-0.15860412108693,0.0983270913284938,0.0983270913284938,0.0983270913284938,0.101334610125486,0.101334610125486,0.101334610125486,0.101334610125486,0.101334610125486,0.149614210794538,-0.102277197957534,-0.00104251555538444,-0.149614210794538,-0.101334610125486,0.0935235188277862,0.15860412108693
"SNAIL1",-0.15783354162211,0.102277197957534,0.102277197957534,0.102277197957534,0.101644565913986,0.101644565913986,0.101644565913986,0.101644565913986,0.101644565913986,0.146851475264859,-0.100806012670906,0.100712032238323,-0.146851475264859,-0.101644565913986,-0.0141767679777843,0.15783354162211
"MIR200",-0.106860077996112,0.0916917260472396,0.0916917260472396,0.0916917260472396,0.0925524855409105,0.0925524855409105,0.0925524855409105,0.0925524855409105,0.0925524855409105,0.174365626795319,-0.0923240546851734,-0.0119775251388121,-0.174365626795319,-0.0925524855409105,0.0567395496549693,0.106860077996112
"HAS2",0.118199110693228,0.163605442176871,0.0636054421768707,0.0636054421768707,0.064877706807914,0.064877706807914,0.064877706807914,0.064877706807914,0.064877706807914,0.0534341679316715,-0.0642829744374807,-0.00807150928854783,-0.0534341679316715,-0.064877706807914,-0.0860615353469932,-0.118199110693228
"ESRP1",0.118199110693228,0.0636054421768707,-0.0363945578231293,0.0636054421768707,0.064877706807914,0.064877706807914,0.064877706807914,0.064877706807914,0.064877706807914,0.0534341679316715,-0.0642829744374807,-0.00807150928854783,-0.0534341679316715,-0.064877706807914,-0.0860615353469932,-0.118199110693228
"MIR1199",0.121943402930671,0.064877706807914,0.064877706807914,0.064877706807914,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0513266863721351,-0.0632403768801378,-0.00971402136584251,-0.0513266863721351,-0.0642829744374807,-0.0867237870026223,-0.121943402930671
"HA",0.121943402930671,0.064877706807914,0.064877706807914,0.064877706807914,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0513266863721351,-0.0632403768801378,-0.00971402136584251,-0.0513266863721351,-0.0642829744374807,-0.0867237870026223,-0.121943402930671
"CD24",0.121943402930671,0.064877706807914,0.064877706807914,0.064877706807914,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0642829744374807,0.0513266863721351,-0.0632403768801378,-0.00971402136584251,-0.0513266863721351,-0.0642829744374807,-0.0867237870026223,-0.121943402930671
"ZEB1",-0.123657332503747,-0.0642829744374807,-0.0642829744374807,-0.0642829744374807,-0.0632403768801378,-0.0632403768801378,-0.0632403768801378,-0.0632403768801378,-0.0632403768801378,-0.0504310548605285,-0.036790182353844,0.0107871920975498,0.0504310548605285,0.0632403768801378,0.0853561543096884,0.123657332503747
"GRHL2",-0.0946801058214742,0.0170278337136976,0.0170278337136976,0.117027833713698,0.0177921649238887,0.0177921649238887,0.0177921649238887,0.0177921649238887,0.0177921649238887,0.0282322806448242,-0.0184097211656178,0.00476790826112911,-0.0282322806448242,-0.0177921649238887,0.0678984710138789,0.0946801058214742
"MIR129",-0.0432909508328359,0.00717991169977925,0.00717991169977925,0.00717991169977925,0.00837216207235749,0.00837216207235749,0.00837216207235749,0.00837216207235749,0.00837216207235749,0.0922207345400906,-0.00919902250833845,0.0564079089536528,-0.0922207345400906,-0.00837216207235749,0.171176253607421,-0.00417078369110348
"TWIST1",0.0458282252246748,-0.00837216207235749,-0.00837216207235749,-0.00837216207235749,-0.00919902250833845,-0.00919902250833845,-0.00919902250833845,-0.00919902250833845,-0.00919902250833845,-0.0931138666620494,0.00926861193074624,-0.0581267029801391,0.0931138666620494,0.00919902250833845,-0.169104070267226,-0.0983396765599426
"MIR340",-0.121943402930671,-0.064877706807914,-0.064877706807914,-0.064877706807914,-0.0642829744374807,-0.0642829744374807,-0.0642829744374807,-0.0642829744374807,-0.0642829744374807,-0.0513266863721351,0.0632403768801378,0.00971402136584251,0.0513266863721351,0.0642829744374807,0.0867237870026223,0.121943402930671
"CD44s",-0.121943402930671,-0.064877706807914,-0.064877706807914,-0.064877706807914,-0.0642829744374807,-0.0642829744374807,-0.0642829744374807,-0.0642829744374807,-0.0642829744374807,-0.0513266863721351,0.0632403768801378,0.00971402136584251,0.0513266863721351,0.0642829744374807,0.0867237870026223,0.121943402930671
"TGFB",0.160583883515439,-0.101334610125486,-0.101334610125486,-0.101334610125486,-0.102277197957534,-0.102277197957534,-0.102277197957534,-0.102277197957534,-0.102277197957534,-0.149273807547615,0.101644565913986,-0.101280860452202,0.149273807547615,0.102277197957534,-0.08827746497449,-0.160583883515439
"MIR34",0.160583883515439,-0.101334610125486,-0.101334610125486,-0.101334610125486,-0.102277197957534,-0.102277197957534,-0.102277197957534,-0.102277197957534,-0.102277197957534,-0.149273807547615,0.101644565913986,-0.101280860452202,0.149273807547615,0.102277197957534,-0.08827746497449,-0.160583883515439
