"","SNAIL1","TGFB","MIR129","CD24","MIR340","HAS2","GRHL2","ESRP1","ZEB1","MIR190","MIR1199","HA","CD44s","MIR34","MIR200","TWIST1"
"SNAIL1",0.239197735545128,0.305106853796069,0.114010450294929,0.19605289549637,0.198274463835343,0.198274463835343,0.198274463835343,0.198274463835343,-0.198577555368986,-0.198274463835343,-0.198274463835343,-0.19605289549637,-0.19605289549637,-0.313311483147689,-0.313311483147689,-0.289780606419645
"TGFB",0.336871410499161,0.303205342338244,0.112961977418467,0.195024617861408,0.19605289549637,0.19605289549637,0.19605289549637,0.19605289549637,-0.198274463835343,-0.19605289549637,-0.19605289549637,-0.195024617861408,-0.195024617861408,-0.310655022094109,-0.310655022094109,-0.287182217117107
"MIR340",0.315162537154615,0.200297669621243,0.16611872822316,0.13964461565334,0.147715983537792,0.147715983537792,0.147715983537792,0.147715983537792,-0.145779730931298,-0.147715983537792,-0.147715983537792,-0.13964461565334,-0.13964461565334,-0.244830395363924,-0.244830395363924,-0.295299125371003
"HA",0.315162537154615,0.200297669621243,0.16611872822316,0.13964461565334,0.147715983537792,0.147715983537792,0.147715983537792,0.147715983537792,-0.145779730931298,-0.147715983537792,-0.147715983537792,-0.13964461565334,-0.13964461565334,-0.244830395363924,-0.244830395363924,-0.295299125371003
"CD44s",0.315162537154615,0.200297669621243,0.16611872822316,0.13964461565334,0.147715983537792,0.147715983537792,0.147715983537792,0.147715983537792,-0.145779730931298,-0.147715983537792,-0.147715983537792,-0.13964461565334,-0.13964461565334,-0.244830395363924,-0.244830395363924,-0.295299125371003
"MIR200",-0.0466800792077762,-0.0932451334611024,-0.0392328646376911,0.084800097322705,0.0872811099809328,0.0872811099809328,0.0872811099809328,0.0872811099809328,-0.0857172371993478,-0.0872811099809328,-0.0872811099809328,-0.084800097322705,-0.084800097322705,-0.020189705742447,-0.020189705742447,0.0783625602288572
"GRHL2",0.184333113602584,0.0545548193326393,0.117049089957316,0.127835891469399,0.0349696494311828,0.0349696494311828,0.0349696494311828,0.0349696494311828,-0.0314407566213019,-0.0349696494311828,-0.0349696494311828,-0.0278358914693993,-0.0278358914693993,-0.0783785063604852,-0.0783785063604852,-0.187323328711232
"TWIST1",0.182412237437812,0.0823475704272473,0.138888010030355,0.0295674432414471,0.028239455268508,0.028239455268508,0.028239455268508,0.028239455268508,-0.0296486410722659,-0.028239455268508,-0.028239455268508,-0.0295674432414471,-0.0295674432414471,-0.107281397635734,-0.107281397635734,-0.165916568369612
"MIR129",-0.181877037767166,-0.0792199288380673,-0.138704907754656,-0.0255435982339956,-0.0295674432414471,-0.0295674432414471,-0.0295674432414471,-0.0295674432414471,0.028239455268508,0.0295674432414471,0.0295674432414471,0.0255435982339956,0.0255435982339956,0.108020541460803,0.108020541460803,0.0661780746457629
"ZEB1",-0.317995490589978,-0.208200108645633,-0.167209410678754,-0.147715983537792,-0.145779730931298,-0.145779730931298,-0.145779730931298,-0.145779730931298,0.0494162797751402,0.145779730931298,0.145779730931298,0.147715983537792,0.147715983537792,0.245506688546157,0.245506688546157,0.299256744567014
"MIR1199",-0.315162537154615,-0.200297669621243,-0.16611872822316,-0.13964461565334,-0.147715983537792,-0.147715983537792,-0.147715983537792,-0.147715983537792,0.145779730931298,0.147715983537792,0.147715983537792,0.13964461565334,0.13964461565334,0.244830395363924,0.244830395363924,0.295299125371003
"CD24",-0.315162537154615,-0.200297669621243,-0.16611872822316,-0.13964461565334,-0.147715983537792,-0.147715983537792,-0.147715983537792,-0.147715983537792,0.145779730931298,0.147715983537792,0.147715983537792,0.13964461565334,0.13964461565334,0.244830395363924,0.244830395363924,0.295299125371003
"HAS2",-0.31033756080646,-0.201167234838634,-0.163835623200329,-0.143970315398887,-0.13964461565334,-0.13964461565334,-0.13964461565334,-0.13964461565334,0.147715983537792,0.13964461565334,0.13964461565334,0.0439703153988868,0.143970315398887,0.237032713593639,0.237032713593639,0.289180403909816
"ESRP1",-0.31033756080646,-0.201167234838634,-0.163835623200329,-0.143970315398887,-0.13964461565334,-0.13964461565334,-0.13964461565334,-0.13964461565334,0.147715983537792,0.13964461565334,0.13964461565334,0.143970315398887,0.0439703153988868,0.237032713593639,0.237032713593639,0.289180403909816
"MIR190",-0.33352879211476,-0.397088699379496,-0.111774119961362,-0.189260206833839,-0.195024617861408,-0.195024617861408,-0.195024617861408,-0.195024617861408,0.19605289549637,0.195024617861408,0.195024617861408,0.189260206833839,0.189260206833839,0.308219829635351,0.308219829635351,0.283882613069593
"MIR34",-0.336871410499161,-0.303205342338244,-0.112961977418467,-0.195024617861408,-0.19605289549637,-0.19605289549637,-0.19605289549637,-0.19605289549637,0.198274463835343,0.19605289549637,0.19605289549637,0.195024617861408,0.195024617861408,0.310655022094109,0.310655022094109,0.287182217117107
