"","MIR129","SNAIL1","MIR340","MIR190","MIR1199","HAS2","ESRP1","TGFB","ZEB1","HA","CD44s","CD24","GRHL2","MIR34","MIR200","TWIST1"
"MIR129",0.763149975824622,0.682864282390261,0.44010924849406,0.44010924849406,0.44010924849406,0.44010924849406,0.44010924849406,0.163193505866537,-0.462534705772938,-0.413581677704194,-0.413581677704194,-0.413581677704194,-0.44010924849406,-0.518034303172433,-0.518034303172433,-0.762819476770176
"SNAIL1",0.807543301002566,0.717234772148512,0.385755255706605,0.385755255706605,0.385755255706605,0.385755255706605,0.385755255706605,0.278924976745134,-0.405112701655281,-0.363495435197557,-0.363495435197557,-0.363495435197557,-0.385755255706605,-0.611153781045808,-0.611153781045808,-0.807543301002566
"TGFB",0.759632649125951,0.778806440547265,0.363495435197557,0.363495435197557,0.363495435197557,0.363495435197557,0.363495435197557,0.266654539560021,-0.385755255706605,-0.337788494323521,-0.337788494323521,-0.337788494323521,-0.363495435197557,-0.580401867493354,-0.580401867493354,-0.759632649125951
"MIR340",0.345142795641103,0.340427527728877,0.297797567923639,0.297797567923639,0.297797567923639,0.297797567923639,0.297797567923639,0.0543463356762589,-0.309385295060964,-0.284628494006902,-0.284628494006902,-0.284628494006902,-0.297797567923639,-0.3310014072917,-0.3310014072917,-0.345142795641103
"MIR1199",0.345142795641103,0.340427527728877,0.297797567923639,0.297797567923639,0.297797567923639,0.297797567923639,0.297797567923639,0.0543463356762589,-0.309385295060964,-0.284628494006902,-0.284628494006902,-0.284628494006902,-0.297797567923639,-0.3310014072917,-0.3310014072917,-0.345142795641103
"HA",0.345142795641103,0.340427527728877,0.297797567923639,0.297797567923639,0.297797567923639,0.297797567923639,0.297797567923639,0.0543463356762589,-0.309385295060964,-0.284628494006902,-0.284628494006902,-0.284628494006902,-0.297797567923639,-0.3310014072917,-0.3310014072917,-0.345142795641103
"ESRP1",0.316923617558912,0.31781636405811,0.284628494006902,0.284628494006902,0.284628494006902,0.284628494006902,0.284628494006902,0.0470999588646647,-0.297797567923639,-0.268089053803339,-0.36808905380334,-0.268089053803339,-0.284628494006902,-0.312982439957664,-0.312982439957664,-0.316923617558912
"MIR200",-0.242528322642997,-0.204652345664559,0.116919859836313,0.116919859836313,0.116919859836313,0.116919859836313,0.116919859836313,-0.222774385427493,-0.113212251331656,-0.120919859836313,-0.120919859836313,-0.120919859836313,-0.116919859836313,0.0283495259522123,0.0283495259522123,0.242528322642997
"ZEB1",-0.369667569714023,-0.360030262994263,-0.309385295060964,-0.309385295060964,-0.309385295060964,-0.309385295060964,-0.309385295060964,-0.0604276364892671,0.219317046105072,0.297797567923639,0.297797567923639,0.297797567923639,0.309385295060964,0.346848601588904,0.346848601588904,0.369667569714023
"HAS2",-0.316923617558912,-0.31781636405811,-0.284628494006902,-0.284628494006902,-0.284628494006902,-0.284628494006902,-0.284628494006902,-0.0470999588646647,0.297797567923639,0.16808905380334,0.268089053803339,0.268089053803339,0.284628494006902,0.312982439957664,0.312982439957664,0.316923617558912
"CD44s",-0.345142795641103,-0.340427527728877,-0.297797567923639,-0.297797567923639,-0.297797567923639,-0.297797567923639,-0.297797567923639,-0.0543463356762589,0.309385295060964,0.284628494006902,0.284628494006902,0.284628494006902,0.297797567923639,0.3310014072917,0.3310014072917,0.345142795641103
"CD24",-0.345142795641103,-0.340427527728877,-0.297797567923639,-0.297797567923639,-0.297797567923639,-0.297797567923639,-0.297797567923639,-0.0543463356762589,0.309385295060964,0.284628494006902,0.284628494006902,0.284628494006902,0.297797567923639,0.3310014072917,0.3310014072917,0.345142795641103
"MIR190",-0.704595253613413,-0.734656022719967,-0.337788494323521,-0.337788494323521,-0.337788494323521,-0.337788494323521,-0.337788494323521,-0.352477204330054,0.363495435197557,0.308465186052844,0.308465186052844,0.308465186052844,0.337788494323521,0.544921375217889,0.544921375217889,0.704595253613413
"MIR34",-0.759632649125951,-0.778806440547265,-0.363495435197557,-0.363495435197557,-0.363495435197557,-0.363495435197557,-0.363495435197557,-0.266654539560021,0.385755255706605,0.337788494323521,0.337788494323521,0.337788494323521,0.363495435197557,0.580401867493354,0.580401867493354,0.759632649125951
"GRHL2",-0.360525299946509,-0.359611949478807,-0.404204979422707,-0.404204979422707,-0.404204979422707,-0.404204979422707,-0.404204979422707,-0.0557749450751466,0.416203214976302,0.390192240569204,0.390192240569204,0.490192240569204,0.404204979422707,0.443810595715491,0.443810595715491,0.360525299946509
"TWIST1",-0.811515134077303,-0.721604504703971,-0.462534705772938,-0.462534705772938,-0.462534705772938,-0.462534705772938,-0.462534705772938,-0.175675895272003,0.482176320247537,0.44010924849406,0.44010924849406,0.44010924849406,0.462534705772938,0.549016748506588,0.549016748506588,0.711198137858043
