"","MIR129","MIR34","MIR190","MIR1199","HAS2","TWIST1","HA","CD44s","CD24","MIR200","TGFB","ZEB1","MIR340","GRHL2","ESRP1","SNAIL1"
"TWIST1",0.339433766484592,0.263841039857412,0.215016336943095,0.215016336943095,0.215016336943095,0.0373360668621011,0.214740716797768,0.214740716797768,0.214740716797768,-0.0462366166093461,0.100649111975224,-0.215207707854717,-0.215016336943095,-0.215016336943095,-0.215016336943095,-0.338864605462274
"MIR34",0.355079605060126,0.337638640166244,0.164505739352965,0.164505739352965,0.164505739352965,0.142761861381704,0.163991600535485,0.163991600535485,0.163991600535485,-0.168743409833483,0.19958656113948,-0.164814699188187,-0.164505739352965,-0.164505739352965,-0.164505739352965,-0.428107563377628
"MIR200",0.321431596240997,0.324799207879497,0.15191461289906,0.15191461289906,0.15191461289906,0.160504528849309,0.151256385050959,0.151256385050959,0.151256385050959,-0.0587030103089439,0.0556984862194366,-0.152283616589097,-0.15191461289906,-0.15191461289906,-0.15191461289906,-0.355224912577365
"MIR340",0.193144448567817,0.160869523215379,0.111005875496443,0.111005875496443,0.111005875496443,0.111083688055163,0.110750990194829,0.110750990194829,0.110750990194829,0.0533968623966565,0.03137480485042,-0.111273972011188,-0.111005875496443,-0.111005875496443,-0.111005875496443,-0.192552811914884
"MIR1199",0.193144448567817,0.160869523215379,0.111005875496443,0.111005875496443,0.111005875496443,0.111083688055163,0.110750990194829,0.110750990194829,0.110750990194829,0.0533968623966565,0.03137480485042,-0.111273972011188,-0.111005875496443,-0.111005875496443,-0.111005875496443,-0.192552811914884
"CD24",0.193144448567817,0.160869523215379,0.111005875496443,0.111005875496443,0.111005875496443,0.111083688055163,0.110750990194829,0.110750990194829,0.110750990194829,0.0533968623966565,0.03137480485042,-0.111273972011188,-0.111005875496443,-0.111005875496443,-0.111005875496443,-0.192552811914884
"ESRP1",0.191409288750465,0.159815782435611,0.110750990194829,0.110750990194829,0.110750990194829,0.110627067050596,0.109987631416203,0.00998763141620284,0.109987631416203,0.0541344809424942,0.0305052396330287,-0.111005875496443,-0.110750990194829,-0.110750990194829,-0.110750990194829,-0.191417523362377
"GRHL2",0.13097546058881,0.0308427571306684,0.00538527169940783,0.00538527169940783,0.00538527169940783,0.0858643980652231,0.00538527169940783,0.00538527169940783,-0.0946147283005922,-0.0236969545627178,0.0152882772214044,-0.00551760517977836,-0.00538527169940783,-0.00538527169940783,-0.00538527169940783,-0.121912160724938
"ZEB1",-0.194048156888166,-0.161472703621155,-0.111273972011188,-0.111273972011188,-0.111273972011188,-0.111239499834533,-0.111005875496443,-0.111005875496443,-0.111005875496443,-0.0531226894849401,-0.0319276503788753,0.011365649713134,0.111273972011188,0.111273972011188,0.111273972011188,0.193204065578186
"HAS2",-0.191409288750465,-0.159815782435611,-0.110750990194829,-0.110750990194829,-0.110750990194829,-0.110627067050596,-0.00998763141620284,-0.109987631416203,-0.109987631416203,-0.0541344809424942,-0.0305052396330287,0.111005875496443,0.110750990194829,0.110750990194829,0.110750990194829,0.191417523362377
"HA",-0.193144448567817,-0.160869523215379,-0.111005875496443,-0.111005875496443,-0.111005875496443,-0.111083688055163,-0.110750990194829,-0.110750990194829,-0.110750990194829,-0.0533968623966565,-0.03137480485042,0.111273972011188,0.111005875496443,0.111005875496443,0.111005875496443,0.192552811914884
"CD44s",-0.193144448567817,-0.160869523215379,-0.111005875496443,-0.111005875496443,-0.111005875496443,-0.111083688055163,-0.110750990194829,-0.110750990194829,-0.110750990194829,-0.0533968623966565,-0.03137480485042,0.111273972011188,0.111005875496443,0.111005875496443,0.111005875496443,0.192552811914884
"MIR190",-0.352571905984015,-0.336041363392219,-0.163991600535485,-0.163991600535485,-0.163991600535485,-0.142189930013469,-0.162738467703405,-0.162738467703405,-0.162738467703405,0.167774569823009,-0.0981166701959048,0.164505739352965,0.163991600535485,0.163991600535485,0.163991600535485,0.42629697841941
"TGFB",-0.355079605060126,-0.337638640166244,-0.164505739352965,-0.164505739352965,-0.164505739352965,-0.142761861381704,-0.163991600535485,-0.163991600535485,-0.163991600535485,0.168743409833483,-0.19958656113948,0.164814699188187,0.164505739352965,0.164505739352965,0.164505739352965,0.428107563377628
"SNAIL1",-0.35646237363633,-0.33853013048592,-0.164814699188187,-0.164814699188187,-0.164814699188187,-0.143080961822367,-0.164505739352965,-0.164505739352965,-0.164505739352965,0.169256692138751,-0.200382920638911,0.16497634800613,0.164814699188187,0.164814699188187,0.164814699188187,0.329074866919078
"MIR129",-0.337995105746952,-0.262947907735453,-0.214740716797768,-0.214740716797768,-0.214740716797768,-0.13702225933072,-0.214144591611479,-0.214144591611479,-0.214144591611479,0.0456822587405441,-0.0998319803888618,0.215016336943095,0.214740716797768,0.214740716797768,0.214740716797768,0.337862821463372
