"","MIR129","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","TWIST1","ZEB1","TGFB","SNAIL1","HA","CD24","MIR200"
"MIR340",0.101673781925837,0.0980707615244194,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0949024439755083,0.0628782549172558,-0.0947809615559126,-0.00427898213240836,-0.0865832052473567,-0.0949024439755083,-0.0949024439755083,-0.0980707615244194
"HA",0.101673781925837,0.0980707615244194,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0949024439755083,0.0628782549172558,-0.0947809615559126,-0.00427898213240836,-0.0865832052473567,-0.0949024439755083,-0.0949024439755083,-0.0980707615244194
"CD24",0.101673781925837,0.0980707615244194,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0937979410018465,0.0949024439755083,0.0628782549172558,-0.0947809615559126,-0.00427898213240836,-0.0865832052473567,-0.0949024439755083,-0.0949024439755083,-0.0980707615244194
"MIR190",0.0840798751199086,-0.0447417717218402,0.0367021123852895,0.0367021123852895,0.0367021123852895,0.0367021123852895,0.0367021123852895,0.0367021123852895,0.0349477264203772,0.023689154218015,-0.0370448715969433,-0.174579004669289,-0.0250565234060398,-0.0349477264203772,-0.0349477264203772,0.0447417717218402
"MIR34",0.083859901516741,-0.0431444949478156,0.0370448715969433,0.0370448715969433,0.0370448715969433,0.0370448715969433,0.0370448715969433,0.0370448715969433,0.0367021123852895,0.02100547625937,-0.0362356910761253,-0.0764282223079803,-0.0262635800448513,-0.0367021123852895,-0.0367021123852895,0.0431444949478156
"MIR129",-0.134931096403252,0.00708450069870336,0.0100221244032991,0.0100221244032991,0.0100221244032991,0.0100221244032991,0.0100221244032991,0.0100221244032991,0.00972406181015452,-0.0184564979768178,-0.00929548947470976,-0.00197220352351617,-0.0108356997025494,-0.00972406181015452,-0.00972406181015452,-0.00708450069870336
"GRHL2",0.080886643086439,0.00184291089455825,0.00516623718331125,0.00516623718331125,0.00516623718331125,0.00516623718331125,0.00516623718331125,0.00516623718331125,0.00631273399859787,0.0587038636949355,-0.00618079386615201,-0.00397525239346735,-0.0687370179371336,-0.00631273399859787,-0.106312733998598,-0.00184291089455825
"ZEB1",-0.102016567840452,-0.0984911599890511,-0.0947809615559126,-0.0947809615559126,-0.0947809615559126,-0.0947809615559126,-0.0947809615559126,-0.0947809615559126,-0.0937979410018465,-0.0633456902553673,-0.00555519001788795,0.00431150245761161,0.0860947649998803,0.0937979410018465,0.0937979410018465,0.0984911599890511
"TWIST1",0.135114198678951,-0.00616057091736674,-0.00929548947470976,-0.00929548947470976,-0.00929548947470976,-0.00929548947470976,-0.00929548947470976,-0.00929548947470976,-0.0100221244032991,-0.0823803221068642,0.0100261784099916,0.00109871803464607,0.0106847459492901,0.0100221244032991,0.0100221244032991,0.00616057091736674
"TGFB",-0.083859901516741,0.0431444949478156,-0.0370448715969433,-0.0370448715969433,-0.0370448715969433,-0.0370448715969433,-0.0370448715969433,-0.0370448715969433,-0.0367021123852895,-0.02100547625937,0.0362356910761253,0.0764282223079803,0.0262635800448513,0.0367021123852895,0.0367021123852895,-0.0431444949478156
"SNAIL1",-0.0837231441850285,0.0441080248892834,-0.0362356910761253,-0.0362356910761253,-0.0362356910761253,-0.0362356910761253,-0.0362356910761253,-0.0362356910761253,-0.0370448715969433,-0.0218716060268825,0.036942904654626,0.0755668538698201,-0.0738403451290235,0.0370448715969433,0.0370448715969433,-0.0441080248892834
"HAS2",-0.102130402930403,-0.0988083800702571,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,-0.0936301793444651,-0.0627869307163425,0.0937979410018465,0.00495531063482382,0.0861101683504788,-0.00636982065553494,0.0936301793444651,0.0988083800702571
"ESRP1",-0.102130402930403,-0.0988083800702571,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,-0.0949024439755083,0.00636982065553494,-0.0627869307163425,0.0937979410018465,0.00495531063482382,0.0861101683504788,0.0936301793444651,0.0936301793444651,0.0988083800702571
"MIR1199",-0.101673781925837,-0.0980707615244194,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0949024439755083,-0.0628782549172558,0.0947809615559126,0.00427898213240836,0.0865832052473567,0.0949024439755083,0.0949024439755083,0.0980707615244194
"CD44s",-0.101673781925837,-0.0980707615244194,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0937979410018465,-0.0949024439755083,-0.0628782549172558,0.0947809615559126,0.00427898213240836,0.0865832052473567,0.0949024439755083,0.0949024439755083,0.0980707615244194
"MIR200",0.0571640966953172,-0.196331973546644,-0.121776739562013,-0.121776739562013,-0.121776739562013,-0.121776739562013,-0.121776739562013,-0.121776739562013,-0.123143828169608,0.0291872674142222,0.122216029669199,-0.190190514707437,-0.0198223106788487,0.123143828169608,0.123143828169608,0.196331973546644
