"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","MIR129","TWIST1","CD44s","MIR190"
"TWIST1",0.164334853268561,0.164334853268561,0.164334853268561,0.164334853268561,0.164334853268561,0.165963517763675,0.165963517763675,0.0752178064813926,0.0752178064813926,0.00318143935219322,0.00216141799031463,-0.164404442690969,-0.111680408620044,-0.0680009033023551,-0.165963517763675,-0.164334853268561
"MIR129",0.165963517763675,0.165963517763675,0.165963517763675,0.165963517763675,0.165963517763675,0.16298289183223,0.16298289183223,0.0760801409439734,0.0760801409439734,0.00201497853155372,0.00280948786915374,-0.164334853268561,-0.112020455703486,0.0309007703378123,-0.16298289183223,-0.165963517763675
"MIR1199",0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138871579166018,0.138871579166018,0.11305866096891,0.11305866096891,0.066724924289587,0.00252357024559159,-0.140195484451237,-0.0553952693559462,-0.0864734339525637,-0.138871579166018,-0.138616693864403
"HA",0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138871579166018,0.138871579166018,0.11305866096891,0.11305866096891,0.066724924289587,0.00252357024559159,-0.140195484451237,-0.0553952693559462,-0.0864734339525637,-0.138871579166018,-0.138616693864403
"CD44s",0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138871579166018,0.138871579166018,0.11305866096891,0.11305866096891,0.066724924289587,0.00252357024559159,-0.140195484451237,-0.0553952693559462,-0.0864734339525637,-0.138871579166018,-0.138616693864403
"CD24",0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138616693864403,0.138871579166018,0.138871579166018,0.11305866096891,0.11305866096891,0.066724924289587,0.00252357024559159,-0.140195484451237,-0.0553952693559462,-0.0864734339525637,-0.138871579166018,-0.138616693864403
"HAS2",0.138871579166018,0.138871579166018,0.138871579166018,0.138871579166018,0.138871579166018,0.243197278911565,0.143197278911565,0.114428523982609,0.114428523982609,0.0679548202214697,0.0030066620330312,-0.138616693864403,-0.0520162739221563,-0.085103570938865,-0.143197278911565,-0.138871579166018
"MIR200",0.135830820004997,0.135830820004997,0.135830820004997,0.135830820004997,0.135830820004997,0.138109301017656,0.138109301017656,0.190306153420817,0.190306153420817,-0.0145807781777861,-0.186652910075015,-0.137886697706632,0.0253374365087553,0.0522855817166195,-0.138109301017656,-0.135830820004997
"SNAIL1",0.0151634879972446,0.0151634879972446,0.0151634879972446,0.0151634879972446,0.0151634879972446,0.0152370498627735,0.0152370498627735,-0.0394921064574697,-0.0394921064574697,-0.101802722994475,0.0647000205695924,-0.0161333809049027,-0.0141536812417803,-0.0642433138595508,-0.0152370498627735,-0.0151634879972446
"TGFB",0.0152370498627735,0.0152370498627735,0.0152370498627735,0.0152370498627735,0.0152370498627735,0.017979123556004,0.017979123556004,-0.0386546458541378,-0.0386546458541378,-0.000915361894466729,0.0649438040898264,-0.0151634879972446,-0.0121023212660928,-0.063255622019405,-0.017979123556004,-0.0152370498627735
"MIR34",0.0152370498627735,0.0152370498627735,0.0152370498627735,0.0152370498627735,0.0152370498627735,0.017979123556004,0.017979123556004,-0.0386546458541378,-0.0386546458541378,-0.000915361894466729,0.0649438040898264,-0.0151634879972446,-0.0121023212660928,-0.063255622019405,-0.017979123556004,-0.0152370498627735
"GRHL2",-0.0110810814790873,-0.0110810814790873,-0.0110810814790873,-0.0110810814790873,-0.0110810814790873,-0.0101893617338644,0.0898106382661356,-7.57012532293148e-05,-7.57012532293148e-05,-0.058019105132055,-0.00265824818456397,0.0123161939625456,0.0553300577608961,0.0730487299439068,0.0101893617338644,0.0110810814790873
"MIR190",-0.017979123556004,-0.017979123556004,-0.017979123556004,-0.017979123556004,-0.017979123556004,-0.0127159656612672,-0.0127159656612672,0.0373715874618885,0.0373715874618885,0.00295807312937852,-0.165939536664506,0.0152370498627735,0.0131141998406638,0.0653233738891806,0.0127159656612672,0.017979123556004
"ZEB1",-0.140195484451237,-0.140195484451237,-0.140195484451237,-0.140195484451237,-0.140195484451237,-0.138616693864403,-0.138616693864403,-0.114502638303949,-0.114502638303949,-0.0663992974579361,-0.00327153772526638,0.0393703851337263,0.054117612765108,0.0868162198671788,0.138616693864403,0.140195484451237
"ESRP1",-0.138871579166018,-0.138871579166018,-0.138871579166018,-0.138871579166018,-0.138871579166018,-0.143197278911565,-0.143197278911565,-0.114428523982609,-0.114428523982609,-0.0679548202214697,-0.0030066620330312,0.138616693864403,0.0520162739221563,0.085103570938865,0.0431972789115646,0.138871579166018
"MIR340",-0.138616693864403,-0.138616693864403,-0.138616693864403,-0.138616693864403,-0.138616693864403,-0.138871579166018,-0.138871579166018,-0.11305866096891,-0.11305866096891,-0.066724924289587,-0.00252357024559159,0.140195484451237,0.0553952693559462,0.0864734339525637,0.138871579166018,0.138616693864403
