"","MIR1199","HAS2","ESRP1","CD24","MIR200","SNAIL1","TWIST1","TGFB","MIR129","ZEB1","MIR34","HA","CD44s","MIR340","MIR190","GRHL2"
"MIR1199",0.249916661846563,0.249916661846563,0.249916661846563,0.248302388269673,0.18530709088373,0.0995032115009128,0.0683575674392757,0.00709859796551745,-0.11215320677174,-0.252269953475994,-0.18530709088373,-0.248302388269673,-0.248302388269673,-0.249916661846563,-0.249916661846563,-0.249916661846563
"CD44s",0.249916661846563,0.249916661846563,0.249916661846563,0.248302388269673,0.18530709088373,0.0995032115009128,0.0683575674392757,0.00709859796551745,-0.11215320677174,-0.252269953475994,-0.18530709088373,-0.248302388269673,-0.248302388269673,-0.249916661846563,-0.249916661846563,-0.249916661846563
"CD24",0.249916661846563,0.249916661846563,0.249916661846563,0.248302388269673,0.18530709088373,0.0995032115009128,0.0683575674392757,0.00709859796551745,-0.11215320677174,-0.252269953475994,-0.18530709088373,-0.248302388269673,-0.248302388269673,-0.249916661846563,-0.249916661846563,-0.249916661846563
"HAS2",0.248302388269673,0.248302388269673,0.248302388269673,0.240414347557205,0.184780220493846,0.0989355672246593,0.068083594836536,0.00719521632300537,-0.111696585767174,-0.249916661846563,-0.184780220493846,-0.340414347557205,-0.240414347557205,-0.248302388269673,-0.248302388269673,-0.248302388269673
"SNAIL1",0.107696553355898,0.107696553355898,0.107696553355898,0.107593566744158,-0.00427775398755287,-0.0795746370313662,0.0202821263715402,0.0736407653900243,-0.0798758038182094,-0.108090572349635,0.00427775398755287,-0.107593566744158,-0.107593566744158,-0.107696553355898,-0.107696553355898,-0.107696553355898
"MIR190",0.106822358517937,0.106822358517937,0.106822358517937,0.105318599119441,-0.00493474062478307,0.0198808747772903,0.0203798225951138,-0.0264473619479683,-0.0799558379764565,-0.107593566744158,0.00493474062478307,-0.105318599119441,-0.105318599119441,-0.106822358517937,-0.106822358517937,-0.106822358517937
"MIR129",-0.0285956720061323,-0.0285956720061323,-0.0285956720061323,-0.0274034216335541,-0.0112648731990287,-0.0184283941519801,0.0147426967879999,-0.00424332731413081,-0.130037559315551,0.0285706156292844,0.0112648731990287,0.0274034216335541,0.0274034216335541,0.0285956720061323,0.0285956720061323,0.0285956720061323
"TWIST1",-0.0285706156292844,-0.0285706156292844,-0.0285706156292844,-0.0285956720061323,-0.0110184919240056,-0.0182225481248084,-0.0853619057224603,-0.00415879646036919,-0.129906771975765,0.029057741586139,0.0110184919240056,0.0285956720061323,0.0285956720061323,0.0285706156292844,0.0285706156292844,0.0285706156292844
"TGFB",-0.107593566744158,-0.107593566744158,-0.107593566744158,-0.106822358517937,0.00407064007490091,-0.0205772536073739,-0.019719901785611,-0.0738845489102583,0.0796478749320219,0.107696553355898,-0.00407064007490091,0.106822358517937,0.106822358517937,0.107593566744158,0.107593566744158,0.107593566744158
"MIR34",-0.107593566744158,-0.107593566744158,-0.107593566744158,-0.106822358517937,0.00407064007490091,-0.0205772536073739,-0.019719901785611,-0.0738845489102583,0.0796478749320219,0.107696553355898,-0.00407064007490091,0.106822358517937,0.106822358517937,0.107593566744158,0.107593566744158,0.107593566744158
"ZEB1",-0.252269953475994,-0.252269953475994,-0.252269953475994,-0.249916661846563,-0.186531729889397,-0.0995357741840779,-0.0685757039303945,-0.00739128089234671,0.112620642109852,0.153156171261468,0.186531729889397,0.249916661846563,0.249916661846563,0.252269953475994,0.252269953475994,0.252269953475994
"MIR200",-0.180868674797892,-0.180868674797892,-0.180868674797892,-0.180514244418145,-0.226870247465673,0.00913073935102398,0.0241402084449151,-0.0113676371031902,-0.0487187339055526,0.181940542659428,0.226870247465673,0.180514244418145,0.180514244418145,0.180868674797892,0.180868674797892,0.180868674797892
"ESRP1",-0.248302388269673,-0.248302388269673,-0.248302388269673,-0.240414347557205,-0.184780220493846,-0.0989355672246593,-0.068083594836536,-0.00719521632300537,0.111696585767174,0.249916661846563,0.184780220493846,0.240414347557205,0.140414347557205,0.248302388269673,0.248302388269673,0.248302388269673
"MIR340",-0.249916661846563,-0.249916661846563,-0.249916661846563,-0.248302388269673,-0.18530709088373,-0.0995032115009128,-0.0683575674392757,-0.00709859796551745,0.11215320677174,0.252269953475994,0.18530709088373,0.248302388269673,0.248302388269673,0.249916661846563,0.249916661846563,0.249916661846563
"HA",-0.249916661846563,-0.249916661846563,-0.249916661846563,-0.248302388269673,-0.18530709088373,-0.0995032115009128,-0.0683575674392757,-0.00709859796551745,0.11215320677174,0.252269953475994,0.18530709088373,0.248302388269673,0.248302388269673,0.249916661846563,0.249916661846563,0.249916661846563
"GRHL2",-0.357704783183824,-0.357704783183824,-0.357704783183824,-0.454520069808028,-0.28278707398061,-0.12361080716254,-0.0863937071940321,-0.0155715633403846,0.132049357872826,0.359866230029876,0.28278707398061,0.354520069808028,0.354520069808028,0.357704783183824,0.357704783183824,0.357704783183824
