"","CD44s","CD24","MIR190","HAS2","ESRP1","MIR200","TWIST1","SNAIL1","ZEB1","MIR129","MIR34","MIR340","MIR1199","GRHL2","TGFB","HA"
"TWIST1",0.22226363077085,0.22226363077085,0.217728426561379,0.217728426561379,0.217728426561379,0.104499132565892,-0.00156205779071567,-0.0120378723968418,-0.22139926859339,-0.0206975214875311,-0.104499132565892,-0.217728426561379,-0.217728426561379,-0.217728426561379,-0.147633132109602,-0.22226363077085
"ESRP1",0.234384662956092,0.134384662956092,0.11021163496627,0.11021163496627,0.11021163496627,0.100648191367856,0.0521636559518912,0.0421997649917027,-0.129158109052931,-0.0521636559518912,-0.100648191367856,-0.11021163496627,-0.11021163496627,-0.11021163496627,-0.128529167474401,-0.134384662956092
"MIR340",0.11021163496627,0.11021163496627,0.129158109052931,0.129158109052931,0.129158109052931,0.121301510651313,0.0628485874587406,0.0233728964959601,-0.113519145692788,-0.0628485874587406,-0.121301510651313,-0.129158109052931,-0.129158109052931,-0.129158109052931,-0.103118539455077,-0.11021163496627
"HA",0.11021163496627,0.11021163496627,0.129158109052931,0.129158109052931,0.129158109052931,0.121301510651313,0.0628485874587406,0.0233728964959601,-0.113519145692788,-0.0628485874587406,-0.121301510651313,-0.129158109052931,-0.129158109052931,-0.129158109052931,-0.103118539455077,-0.11021163496627
"CD44s",0.11021163496627,0.11021163496627,0.129158109052931,0.129158109052931,0.129158109052931,0.121301510651313,0.0628485874587406,0.0233728964959601,-0.113519145692788,-0.0628485874587406,-0.121301510651313,-0.129158109052931,-0.129158109052931,-0.129158109052931,-0.103118539455077,-0.11021163496627
"MIR200",0.0960859140381343,0.0960859140381343,0.115275787455856,0.115275787455856,0.115275787455856,0.0331217381849247,-0.085409352468769,-0.0464985382662827,-0.0995140584099939,0.085409352468769,-0.0331217381849247,-0.115275787455856,-0.115275787455856,-0.115275787455856,-0.105690494675012,-0.0960859140381343
"MIR34",0.0227734456434538,0.0227734456434538,0.00683514230155145,0.00683514230155145,0.00683514230155145,-0.0555589029247306,-0.111939686505624,-0.00149763036127178,-0.0196496192766875,0.111939686505624,0.0555589029247306,-0.00683514230155145,-0.00683514230155145,-0.00683514230155145,0.0515062541601737,-0.0227734456434538
"MIR190",0.00322457346300264,0.00322457346300264,0.0227734456434538,0.0227734456434538,0.0227734456434538,-0.038407816252827,-0.10327272654082,-0.0168643898784491,-0.00683514230155145,0.10327272654082,0.038407816252827,-0.0227734456434538,-0.0227734456434538,-0.0227734456434538,-0.0279626884666637,-0.00322457346300264
"SNAIL1",-0.00683514230155145,-0.00683514230155145,-0.0196496192766875,-0.0196496192766875,-0.0196496192766875,0.0417543103988414,0.104873891033812,-0.0860873084827605,0.00933440408169865,-0.104873891033812,-0.0417543103988414,0.0196496192766875,0.0196496192766875,0.0196496192766875,-0.0681972991788638,0.00683514230155145
"GRHL2",-0.0101962082904491,-0.110196208290449,-0.0304509853605128,-0.0304509853605128,-0.0304509853605128,-0.0307947535171557,-0.0612134415827427,-0.0322071123031775,0.0139534114743196,0.0612134415827427,0.0307947535171557,0.0304509853605128,0.0304509853605128,0.0304509853605128,0.00882137233743885,0.0101962082904491
"TGFB",-0.0227734456434538,-0.0227734456434538,-0.00683514230155145,-0.00683514230155145,-0.00683514230155145,0.0555589029247306,0.111939686505624,0.00149763036127178,0.0196496192766875,-0.111939686505624,-0.0555589029247306,0.00683514230155145,0.00683514230155145,0.00683514230155145,-0.0515062541601737,0.0227734456434538
"ZEB1",-0.129158109052931,-0.129158109052931,-0.113519145692788,-0.113519145692788,-0.113519145692788,-0.104430737483702,-0.0540919654581173,-0.0386122322172235,0.0259974995687172,0.0540919654581173,0.104430737483702,0.113519145692788,0.113519145692788,0.113519145692788,0.123118539455077,0.129158109052931
"MIR1199",-0.11021163496627,-0.11021163496627,-0.129158109052931,-0.129158109052931,-0.129158109052931,-0.121301510651313,-0.0628485874587406,-0.0233728964959601,0.113519145692788,0.0628485874587406,0.121301510651313,0.129158109052931,0.129158109052931,0.129158109052931,0.103118539455077,0.11021163496627
"CD24",-0.11021163496627,-0.11021163496627,-0.129158109052931,-0.129158109052931,-0.129158109052931,-0.121301510651313,-0.0628485874587406,-0.0233728964959601,0.113519145692788,0.0628485874587406,0.121301510651313,0.129158109052931,0.129158109052931,0.129158109052931,0.103118539455077,0.11021163496627
"HAS2",-0.134384662956092,-0.134384662956092,-0.11021163496627,-0.11021163496627,-0.11021163496627,-0.100648191367856,-0.0521636559518912,-0.0421997649917027,0.129158109052931,0.0521636559518912,0.100648191367856,0.11021163496627,0.11021163496627,0.11021163496627,0.128529167474401,0.0343846629560915
"MIR129",-0.216600441501104,-0.216600441501104,-0.22226363077085,-0.22226363077085,-0.22226363077085,-0.109426758066354,-0.10100070371556,0.0164704235152719,0.217728426561379,0.0232871108152842,0.109426758066354,0.22226363077085,0.22226363077085,0.22226363077085,0.141687795395035,0.216600441501104
