"","HA","CD44s","CD24","MIR340","MIR190","HAS2","MIR34","TWIST1","ZEB1","MIR129","SNAIL1","MIR1199","GRHL2","ESRP1","MIR200","TGFB"
"MIR200",0.137004955594779,0.137004955594779,0.137004955594779,0.138979639139083,0.138979639139083,0.138979639139083,0.225775022700605,0.0617081635290948,-0.137345479940348,-0.121542440558256,-0.100584272515715,-0.138979639139083,-0.138979639139083,-0.138979639139083,-0.0242751267931981,0.0709781325662115
"HAS2",0.234817563388992,0.134817563388992,0.134817563388992,0.100466418350824,0.100466418350824,0.100466418350824,0.0927060287914824,0.0234166617696029,-0.129948151570875,-0.0510898591604474,-0.0601274548350431,-0.100466418350824,-0.100466418350824,-0.100466418350824,-0.141126605707882,-0.145103713055032
"ESRP1",0.134817563388992,0.034817563388992,0.134817563388992,0.100466418350824,0.100466418350824,0.100466418350824,0.0927060287914824,0.0234166617696029,-0.129948151570875,-0.0510898591604474,-0.0601274548350431,-0.100466418350824,-0.100466418350824,-0.100466418350824,-0.141126605707882,-0.145103713055032
"MIR340",0.100466418350824,0.100466418350824,0.100466418350824,0.129948151570875,0.129948151570875,0.129948151570875,0.126425733744064,0.0558367530938039,-0.103883212637303,-0.0650624619001734,-0.0246496875691964,-0.129948151570875,-0.129948151570875,-0.129948151570875,-0.143971705813256,-0.130321104359379
"HA",0.100466418350824,0.100466418350824,0.100466418350824,0.129948151570875,0.129948151570875,0.129948151570875,0.126425733744064,0.0558367530938039,-0.103883212637303,-0.0650624619001734,-0.0246496875691964,-0.129948151570875,-0.129948151570875,-0.129948151570875,-0.143971705813256,-0.130321104359379
"SNAIL1",0.0316530244293987,0.0316530244293987,0.0316530244293987,0.0608865097905875,0.0608865097905875,0.0608865097905875,-0.0422806961103791,-0.0194223562435399,-0.0354066148623191,0.105408749366937,-0.0195158484908118,-0.0608865097905875,-0.0608865097905875,-0.0608865097905875,-0.109970183377191,-0.115419304066793
"MIR190",0.0265612461404888,0.0265612461404888,0.0265612461404888,0.065157737368559,0.065157737368559,0.065157737368559,-0.037451697663197,-0.0150233120273415,-0.0316530244293987,0.10347518774595,0.0854215585074401,-0.065157737368559,-0.065157737368559,-0.065157737368559,-0.110308631896225,-0.213227263685423
"MIR129",0.0225938189845475,0.0225938189845475,0.0225938189845475,-0.00602018995733033,-0.00602018995733033,-0.00602018995733033,-0.00273212437518743,0.0104587417911868,-0.0184598902230756,-0.165600384313766,-0.0380540510588034,0.00602018995733033,0.00602018995733033,0.00602018995733033,-0.00547369663197434,-0.0153275446672424
"TWIST1",-0.00602018995733033,-0.00602018995733033,-0.00602018995733033,0.0184598902230756,0.0184598902230756,0.0184598902230756,0.0251397573618006,-0.06323372682806,0.00309543336773861,-0.17703119781102,-0.00900231509064093,-0.0184598902230756,-0.0184598902230756,-0.0184598902230756,-0.00769112810718222,-0.00295786306679153
"GRHL2",-0.00346644590623648,-0.00346644590623648,-0.103466445906236,-0.0341670828489116,-0.0341670828489116,-0.0341670828489116,-0.037317757055565,-0.060832972093642,0.00721516401344627,0.0631376186463672,0.0287378749020432,0.0341670828489116,0.0341670828489116,0.0341670828489116,0.0230440808747624,0.0156103663935635
"ZEB1",-0.129948151570875,-0.129948151570875,-0.129948151570875,-0.103883212637303,-0.103883212637303,-0.103883212637303,-0.0967236683081292,-0.0276971457394879,0.0265683506631768,0.0527533313299023,0.0555516738928695,0.103883212637303,0.103883212637303,0.103883212637303,0.141686931548953,0.143361754765883
"TGFB",-0.065157737368559,-0.065157737368559,-0.065157737368559,-0.0316530244293987,-0.0316530244293987,-0.0316530244293987,0.0754459369928645,0.0505270515785954,0.0608865097905875,-0.118917334688317,-0.0460529419800492,0.0316530244293987,0.0316530244293987,0.0316530244293987,0.107349742134507,0.129965054107424
"MIR34",-0.065157737368559,-0.065157737368559,-0.065157737368559,-0.0316530244293987,-0.0316530244293987,-0.0316530244293987,0.0754459369928645,0.0505270515785954,0.0608865097905875,-0.118917334688317,-0.0460529419800492,0.0316530244293987,0.0316530244293987,0.0316530244293987,0.107349742134507,0.129965054107424
"MIR1199",-0.100466418350824,-0.100466418350824,-0.100466418350824,-0.129948151570875,-0.129948151570875,-0.129948151570875,-0.126425733744064,-0.0558367530938039,0.103883212637303,0.0650624619001734,0.0246496875691964,0.129948151570875,0.129948151570875,0.129948151570875,0.143971705813256,0.130321104359379
"CD44s",-0.100466418350824,-0.100466418350824,-0.100466418350824,-0.129948151570875,-0.129948151570875,-0.129948151570875,-0.126425733744064,-0.0558367530938039,0.103883212637303,0.0650624619001734,0.0246496875691964,0.129948151570875,0.129948151570875,0.129948151570875,0.143971705813256,0.130321104359379
"CD24",-0.100466418350824,-0.100466418350824,-0.100466418350824,-0.129948151570875,-0.129948151570875,-0.129948151570875,-0.126425733744064,-0.0558367530938039,0.103883212637303,0.0650624619001734,0.0246496875691964,0.129948151570875,0.129948151570875,0.129948151570875,0.143971705813256,0.130321104359379
