"","TWIST1","MIR129","ZEB1","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","HA","CD44s","CD24","MIR200","SNAIL1"
"TWIST1",0.0312533785520901,0.0566500893376788,-0.150750363699248,0.0612936720696559,0.147653634402101,0.147653634402101,0.147653634402101,0.147653634402101,0.147653634402101,0.147653634402101,0.0892736924436331,0.147929254547428,-0.147929254547428,-0.147929254547428,-0.0612936720696559,-0.0139059912184169
"MIR129",0.130782667255019,0.0562054123824081,-0.147653634402101,0.0608625048383655,0.147929254547428,0.147929254547428,0.147929254547428,0.147929254547428,0.147929254547428,0.147929254547428,0.0961770455008323,0.15523178807947,-0.15523178807947,-0.15523178807947,-0.0608625048383655,-0.0168838970781671
"ZEB1",-0.117955315002071,-0.117955315002071,-0.0588150502117328,-0.0398998446224126,-0.0393412093380278,-0.0393412093380278,-0.0393412093380278,-0.0393412093380278,-0.0393412093380278,-0.0393412093380278,-0.0337379599003995,-0.032877104482502,0.032877104482502,0.032877104482502,0.0398998446224126,0.0781015793132423
"CD24",0.121788284774586,0.121788284774586,-0.0393412093380278,0.0335207548764795,0.032877104482502,0.032877104482502,0.032877104482502,0.032877104482502,0.032877104482502,0.032877104482502,0.0331200737215377,0.0331319897841163,-0.0331319897841163,-0.0331319897841163,-0.0335207548764795,-0.0781341419964073
"MIR200",-0.0484059422059548,-0.0484059422059548,-0.0365189188814722,0.129355708143473,0.0325653079167912,0.0325653079167912,0.0325653079167912,0.0325653079167912,0.0325653079167912,0.0325653079167912,0.0344165420793364,0.0358564471572975,-0.0358564471572975,-0.0358564471572975,-0.129355708143473,0.00267529102158348
"ESRP1",0.120966366966367,0.120966366966367,-0.032877104482502,0.0323616400187345,0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0473229722722623,0.0481447124304267,-0.148144712430427,-0.0481447124304267,-0.0323616400187345,-0.0843782290351964
"SNAIL1",-0.0850204636672443,-0.0850204636672443,-0.00765990947094704,0.0457606161339872,0.00692238673908202,0.00692238673908202,0.00692238673908202,0.00692238673908202,0.00692238673908202,0.00692238673908202,0.0626666706019555,0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.0457606161339872,-0.114832354434823
"MIR190",0.0830434889303485,0.0830434889303485,0.00343555431301169,-0.0412938294720222,-0.00309279510135788,-0.00309279510135788,-0.00309279510135788,-0.00309279510135788,-0.00309279510135788,-0.00309279510135788,0.0309075703227435,-0.0108622186602551,0.0108622186602551,0.0108622186602551,0.0412938294720222,0.017758978927213
"TGFB",0.082999494209715,0.082999494209715,0.00692238673908202,-0.0424197786733838,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.0618378066331598,-0.00309279510135788,0.00309279510135788,0.00309279510135788,0.0424197786733838,0.0146484868195064
"MIR34",0.082999494209715,0.082999494209715,0.00692238673908202,-0.0424197786733838,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.00343555431301169,-0.0618378066331598,-0.00309279510135788,0.00309279510135788,0.00309279510135788,0.0424197786733838,0.0146484868195064
"GRHL2",0.0933915426024022,0.0933915426024022,0.0217126336838592,-0.0333271608089762,-0.0265648612974454,-0.0265648612974454,-0.0265648612974454,-0.0265648612974454,-0.0265648612974454,-0.0265648612974454,-0.0342803988428204,-0.0301317402783371,0.0301317402783371,-0.0698682597216629,0.0333271608089762,-0.0615494449296669
"HAS2",-0.120966366966367,-0.120966366966367,0.032877104482502,-0.0323616400187345,-0.0331319897841163,-0.0331319897841163,-0.0331319897841163,-0.0331319897841163,-0.0331319897841163,-0.0331319897841163,-0.0473229722722623,0.0518552875695733,0.0481447124304267,0.0481447124304267,0.0323616400187345,0.0843782290351964
"MIR340",-0.121788284774586,-0.121788284774586,0.0393412093380278,-0.0335207548764795,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.0331200737215377,-0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0335207548764795,0.0781341419964073
"MIR1199",-0.121788284774586,-0.121788284774586,0.0393412093380278,-0.0335207548764795,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.0331200737215377,-0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0335207548764795,0.0781341419964073
"HA",-0.121788284774586,-0.121788284774586,0.0393412093380278,-0.0335207548764795,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.0331200737215377,-0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0335207548764795,0.0781341419964073
"CD44s",-0.121788284774586,-0.121788284774586,0.0393412093380278,-0.0335207548764795,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.032877104482502,-0.0331200737215377,-0.0331319897841163,0.0331319897841163,0.0331319897841163,0.0335207548764795,0.0781341419964073
