"","TGFB","MIR200","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR129","SNAIL1","ZEB1","TWIST1","ESRP1","HA","MIR34"
"GRHL2",0.183935137003429,0.180383914370813,0.187355469041333,0.287355469041333,0.18786502318146,0.18786502318146,0.18786502318146,0.18786502318146,0.18786502318146,0.0710361869404216,0.0747402058027849,-0.187820912021337,-0.0710361869404216,-0.18786502318146,-0.187355469041333,-0.180383914370813
"ESRP1",0.0927146326740647,0.0925982018775348,-0.0104205318491033,0.0895794681508967,0.0903428269295227,0.0903428269295227,0.0903428269295227,0.0903428269295227,0.0903428269295227,0.0531999216469805,0.0495589448840686,-0.0907676357655465,-0.0531999216469805,-0.0903428269295227,-0.0895794681508967,-0.0925982018775348
"HA",0.0930044877465285,0.0929143241114652,0.0903428269295227,0.0903428269295227,0.0907676357655465,0.0907676357655465,0.0907676357655465,0.0907676357655465,0.0907676357655465,0.0527433006424143,0.0496535522634442,-0.0905591162540779,-0.0527433006424143,-0.0907676357655465,-0.0903428269295227,-0.0929143241114652
"CD24",0.0930044877465285,0.0929143241114652,0.0903428269295227,0.0903428269295227,0.0907676357655465,0.0907676357655465,0.0907676357655465,0.0907676357655465,0.0907676357655465,0.0527433006424143,0.0496535522634442,-0.0905591162540779,-0.0527433006424143,-0.0907676357655465,-0.0903428269295227,-0.0929143241114652
"MIR200",0.304085197065968,0.213779606572101,0.0890267049727166,0.0890267049727166,0.0893811353524634,0.0893811353524634,0.0893811353524634,0.0893811353524634,0.0893811353524634,-0.102808047776859,-0.156673907875574,-0.0891878477053012,0.102808047776859,-0.0893811353524634,-0.0890267049727166,-0.213779606572101
"SNAIL1",-0.111758510819117,-0.149264247347257,0.0622866013098875,0.0622866013098875,0.0622718889367817,0.0622718889367817,0.0622718889367817,0.0622718889367817,0.0622718889367817,0.128276704533969,0.164054378414526,-0.0622314767322959,-0.128276704533969,-0.0622718889367817,-0.0622866013098875,0.149264247347257
"TWIST1",0.100298538447367,0.141489715038271,0.0200828801531765,0.0200828801531765,0.0200077110226328,0.0200077110226328,0.0200077110226328,0.0200077110226328,0.0200077110226328,0.00591774656099196,-0.269653848899888,-0.0200251083782348,0.146720331705662,-0.0200077110226328,-0.0200828801531765,-0.141489715038271
"MIR129",0.0996504685685275,0.141274131422625,0.0194867549668874,0.0194867549668874,0.0200828801531765,0.0200828801531765,0.0200828801531765,0.0200828801531765,0.0200828801531765,0.00615316377260588,-0.269530341283585,-0.0200077110226328,0.246458825429512,-0.0200828801531765,-0.0194867549668874,-0.141274131422625
"ZEB1",-0.0933622113237643,-0.0927498203644355,-0.0907676357655465,-0.0907676357655465,-0.0905591162540779,-0.0905591162540779,-0.0905591162540779,-0.0905591162540779,-0.0905591162540779,-0.052961437133533,-0.0496535522634442,-0.00938995168928566,0.052961437133533,0.0905591162540779,0.0907676357655465,0.0927498203644355
"TGFB",0.111742258584435,0.149219222583637,-0.0621152217040606,-0.0621152217040606,-0.0622866013098875,-0.0622866013098875,-0.0622866013098875,-0.0622866013098875,-0.0622866013098875,-0.128291899793049,-0.26396644172894,0.0622718889367817,0.128291899793049,0.0622866013098875,0.0621152217040606,-0.149219222583637
"MIR34",0.111742258584435,0.149219222583637,-0.0621152217040606,-0.0621152217040606,-0.0622866013098875,-0.0622866013098875,-0.0622866013098875,-0.0622866013098875,-0.0622866013098875,-0.128291899793049,-0.26396644172894,0.0622718889367817,0.128291899793049,0.0622866013098875,0.0621152217040606,-0.149219222583637
"MIR190",0.211410347726208,0.149088298257897,-0.0623658482704766,-0.0623658482704766,-0.0621152217040606,-0.0621152217040606,-0.0621152217040606,-0.0621152217040606,-0.0621152217040606,-0.128071926189881,-0.263873591218262,0.0622866013098875,0.128071926189881,0.0621152217040606,0.0623658482704766,-0.149088298257897
"MIR340",-0.0930044877465285,-0.0929143241114652,-0.0903428269295227,-0.0903428269295227,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0527433006424143,-0.0496535522634442,0.0905591162540779,0.0527433006424143,0.0907676357655465,0.0903428269295227,0.0929143241114652
"MIR1199",-0.0930044877465285,-0.0929143241114652,-0.0903428269295227,-0.0903428269295227,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0527433006424143,-0.0496535522634442,0.0905591162540779,0.0527433006424143,0.0907676357655465,0.0903428269295227,0.0929143241114652
"CD44s",-0.0930044877465285,-0.0929143241114652,-0.0903428269295227,-0.0903428269295227,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0907676357655465,-0.0527433006424143,-0.0496535522634442,0.0905591162540779,0.0527433006424143,0.0907676357655465,0.0903428269295227,0.0929143241114652
"HAS2",-0.0927146326740647,-0.0925982018775348,-0.0895794681508967,-0.0895794681508967,-0.0903428269295227,-0.0903428269295227,-0.0903428269295227,-0.0903428269295227,-0.0903428269295227,-0.0531999216469805,-0.0495589448840686,0.0907676357655465,0.0531999216469805,0.0903428269295227,-0.0104205318491033,0.0925982018775348
