"","HA","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","TGFB","TWIST1","MIR129","ZEB1","MIR34","MIR200","SNAIL1","ESRP1","CD24"
"GRHL2",0.306485658030161,0.306485658030161,0.308014320450543,0.308014320450543,0.308014320450543,0.308014320450543,0.308014320450543,0.265790399666562,0.121508566494399,0.121508566494399,-0.308190765091037,-0.237380669487556,-0.237380669487556,-0.162234728790768,-0.308014320450543,-0.406485658030161
"MIR129",0.261227924944812,0.261227924944812,0.262122112724246,0.262122112724246,0.262122112724246,0.262122112724246,0.262122112724246,0.164436132829132,-0.172659583365779,0.219192179755932,-0.262848747652835,-0.11408447417183,-0.11408447417183,-0.0545581603070053,-0.262122112724246,-0.261227924944812
"ESRP1",0.178107606679035,0.0781076066790353,0.176326436195575,0.176326436195575,0.176326436195575,0.176326436195575,0.176326436195575,0.145928941466467,0.101031501831502,0.101031501831502,-0.178960250978922,-0.122278217293497,-0.122278217293497,-0.136473382490057,-0.176326436195575,-0.178107606679035
"MIR340",0.176326436195575,0.176326436195575,0.178960250978922,0.178960250978922,0.178960250978922,0.178960250978922,0.178960250978922,0.144672902819124,0.101488122836068,0.101488122836068,-0.17827511544124,-0.123648080307195,-0.123648080307195,-0.137041026766311,-0.178960250978922,-0.176326436195575
"MIR1199",0.176326436195575,0.176326436195575,0.178960250978922,0.178960250978922,0.178960250978922,0.178960250978922,0.178960250978922,0.144672902819124,0.101488122836068,0.101488122836068,-0.17827511544124,-0.123648080307195,-0.123648080307195,-0.137041026766311,-0.178960250978922,-0.176326436195575
"MIR200",0.146095190383488,0.146095190383488,0.146955949877159,0.146955949877159,0.146955949877159,0.146955949877159,0.146955949877159,0.112605067031095,-0.0161922498952302,-0.0161922498952302,-0.146832948647147,-0.191551456237872,-0.191551456237872,-0.0172087576233701,-0.146955949877159,-0.146095190383488
"TGFB",0.0877115704354207,0.0877115704354207,0.0870260520121131,0.0870260520121131,0.0870260520121131,0.0870260520121131,0.0870260520121131,-0.00752560232627467,0.0317040054212943,0.0317040054212943,-0.0875115603246039,0.00624202980882181,0.00624202980882181,-0.00596909357097376,-0.0870260520121131,-0.0877115704354207
"MIR190",0.0859571844705085,0.0859571844705085,0.0877115704354207,0.0877115704354207,0.0877115704354207,0.0877115704354207,0.0877115704354207,0.0910045067301502,0.0315720212593937,0.0315720212593937,-0.0870260520121131,0.0060587357527862,0.0060587357527862,-0.00555126627292363,-0.0877115704354207,-0.0859571844705085
"ZEB1",-0.178960250978922,-0.178960250978922,-0.17827511544124,-0.17827511544124,-0.17827511544124,-0.17827511544124,-0.17827511544124,-0.146526561355709,-0.101706259327187,-0.101706259327187,0.0791002147587502,0.123008343513191,0.123008343513191,0.136975901399981,0.17827511544124,0.178960250978922
"SNAIL1",-0.0870260520121131,-0.0870260520121131,-0.0875115603246039,-0.0875115603246039,-0.0875115603246039,-0.0875115603246039,-0.0875115603246039,0.00789940372396685,-0.0319319343074818,-0.0319319343074818,0.0873094993021751,-0.00610695551796184,-0.00610695551796184,-0.0940069236965936,0.0875115603246039,0.0870260520121131
"MIR34",-0.0877115704354207,-0.0877115704354207,-0.0870260520121131,-0.0870260520121131,-0.0870260520121131,-0.0870260520121131,-0.0870260520121131,0.00752560232627467,-0.0317040054212943,-0.0317040054212943,0.0875115603246039,-0.00624202980882181,-0.00624202980882181,0.00596909357097376,0.0870260520121131,0.0877115704354207
"HA",-0.176326436195575,-0.176326436195575,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.144672902819124,-0.101488122836068,-0.101488122836068,0.17827511544124,0.123648080307195,0.123648080307195,0.137041026766311,0.178960250978922,0.176326436195575
"CD44s",-0.176326436195575,-0.176326436195575,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.144672902819124,-0.101488122836068,-0.101488122836068,0.17827511544124,0.123648080307195,0.123648080307195,0.137041026766311,0.178960250978922,0.176326436195575
"CD24",-0.176326436195575,-0.176326436195575,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.178960250978922,-0.144672902819124,-0.101488122836068,-0.101488122836068,0.17827511544124,0.123648080307195,0.123648080307195,0.137041026766311,0.178960250978922,0.176326436195575
"HAS2",-0.0781076066790353,-0.178107606679035,-0.176326436195575,-0.176326436195575,-0.176326436195575,-0.176326436195575,-0.176326436195575,-0.145928941466467,-0.101031501831502,-0.101031501831502,0.178960250978922,0.122278217293497,0.122278217293497,0.136473382490057,0.176326436195575,0.178107606679035
"TWIST1",-0.262122112724246,-0.262122112724246,-0.262848747652835,-0.262848747652835,-0.262848747652835,-0.262848747652835,-0.262848747652835,-0.165140556610479,0.0723457758343985,-0.219532226839375,0.263040118564457,0.114423248424987,0.114423248424987,0.0549561292928706,0.262848747652835,0.262122112724246
