"","TWIST1","HA","CD44s","CD24","MIR190","MIR200","SNAIL1","ZEB1","TGFB","MIR34","MIR340","MIR1199","HAS2","GRHL2","ESRP1","MIR129"
"SNAIL1",0.753527839367971,0.375055304516751,0.375055304516751,0.375055304516751,0.389341018802465,-0.159488827243203,0.642920751668089,-0.400393756729319,0.00409953333170276,-0.583222643018143,-0.389341018802465,-0.389341018802465,-0.389341018802465,-0.389341018802465,-0.389341018802465,-0.753527839367971
"TGFB",0.718776281853915,0.357745964328233,0.357745964328233,0.357745964328233,0.375055304516751,-0.156346098742527,0.717507049533626,-0.389341018802465,0.00821134870631677,-0.562592296327463,-0.375055304516751,-0.375055304516751,-0.375055304516751,-0.375055304516751,-0.375055304516751,-0.718776281853915
"TWIST1",0.620598315070891,0.357414413925379,0.357414413925379,0.357414413925379,0.369767207711398,-0.0503059685850527,0.605276218526576,-0.3796141109821,-0.096106628527533,-0.453152736343053,-0.369767207711398,-0.369767207711398,-0.369767207711398,-0.369767207711398,-0.369767207711398,-0.721250512176112
"ESRP1",0.107431501831502,0.102226345083488,0.00222634508348794,0.102226345083488,0.110623291648373,0.087801192404511,0.0762353765661271,-0.111048100484397,-0.0900706235391834,-0.106689737597321,-0.110623291648373,-0.110623291648373,-0.110623291648373,-0.110623291648373,-0.110623291648373,-0.107431501831502
"MIR340",0.109166661648853,0.110623291648373,0.110623291648373,0.110623291648373,0.111048100484397,0.0870635738586733,0.0789789905680192,-0.109290578887734,-0.0971237636358017,-0.107954226533042,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.109166661648853
"HA",0.109166661648853,0.110623291648373,0.110623291648373,0.110623291648373,0.111048100484397,0.0870635738586733,0.0789789905680192,-0.109290578887734,-0.0971237636358017,-0.107954226533042,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.109166661648853
"CD24",0.109166661648853,0.110623291648373,0.110623291648373,0.110623291648373,0.111048100484397,0.0870635738586733,0.0789789905680192,-0.109290578887734,-0.0971237636358017,-0.107954226533042,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.109166661648853
"GRHL2",0.084895554592757,0.000607717665309288,0.000607717665309288,-0.0993922823346907,-0.00117572182513657,-0.015309725913143,0.0650477849525205,0.00258727894908893,0.00721567049188167,-0.00144096029005235,0.00117572182513657,0.00117572182513657,0.00117572182513657,0.00117572182513657,0.00117572182513657,-0.084895554592757
"ZEB1",-0.111566163051159,-0.111048100484397,-0.111048100484397,-0.111048100484397,-0.109290578887734,-0.084925025147286,-0.0794348681323305,0.010502761835681,0.0968310807089725,0.107935948338928,0.109290578887734,0.109290578887734,0.109290578887734,0.109290578887734,0.109290578887734,0.111566163051159
"MIR1199",-0.109166661648853,-0.110623291648373,-0.110623291648373,-0.110623291648373,-0.111048100484397,-0.0870635738586733,-0.0789789905680192,0.109290578887734,0.0971237636358017,0.107954226533042,0.111048100484397,0.111048100484397,0.111048100484397,0.111048100484397,0.111048100484397,0.109166661648853
"CD44s",-0.109166661648853,-0.110623291648373,-0.110623291648373,-0.110623291648373,-0.111048100484397,-0.0870635738586733,-0.0789789905680192,0.109290578887734,0.0971237636358017,0.107954226533042,0.111048100484397,0.111048100484397,0.111048100484397,0.111048100484397,0.111048100484397,0.109166661648853
"HAS2",-0.107431501831502,-0.202226345083488,-0.102226345083488,-0.102226345083488,-0.110623291648373,-0.087801192404511,-0.0762353765661271,0.111048100484397,0.0900706235391834,0.106689737597321,0.110623291648373,0.110623291648373,0.110623291648373,0.110623291648373,0.110623291648373,0.107431501831502
"MIR200",-0.431536317246102,-0.212210336322092,-0.212210336322092,-0.212210336322092,-0.220260969233485,0.037273395871604,-0.409145076124459,0.226323172712662,-0.078921483916965,0.371930936951536,0.220260969233485,0.220260969233485,0.220260969233485,0.220260969233485,0.220260969233485,0.431536317246102
"MIR129",-0.689165260677586,-0.341020971302428,-0.341020971302428,-0.341020971302428,-0.357414413925379,0.0471338096691304,-0.58242730951052,0.369767207711398,0.0917955549856902,0.434797331353832,0.357414413925379,0.357414413925379,0.357414413925379,0.357414413925379,0.357414413925379,0.689835393159633
"MIR190",-0.676233387001297,-0.338447718714198,-0.338447718714198,-0.338447718714198,-0.357745964328233,0.152392184105188,-0.686866381009949,0.375055304516751,-0.111388209777915,0.537481010650584,0.357745964328233,0.357745964328233,0.357745964328233,0.357745964328233,0.357745964328233,0.676233387001297
"MIR34",-0.718776281853915,-0.357745964328233,-0.357745964328233,-0.357745964328233,-0.375055304516751,0.156346098742527,-0.717507049533626,0.389341018802465,-0.00821134870631677,0.562592296327463,0.375055304516751,0.375055304516751,0.375055304516751,0.375055304516751,0.375055304516751,0.718776281853915
