"","HA","CD44s","MIR340","MIR190","MIR1199","GRHL2","ESRP1","SNAIL1","TWIST1","MIR129","MIR200","TGFB","ZEB1","MIR34","HAS2","CD24"
"TWIST1",0.295008352167863,0.295008352167863,0.29623611463341,0.29623611463341,0.29623611463341,0.29623611463341,0.29623611463341,0.30242831876253,0.160627514693152,0.012931045133228,0.0178616677656374,0.0914762734902261,-0.296253511989012,-0.0178616677656374,-0.29623611463341,-0.295008352167863
"MIR200",0.203338723023971,0.203338723023971,0.204705811631566,0.204705811631566,0.204705811631566,0.204705811631566,0.204705811631566,0.257785951746164,0.153779365662675,0.153779365662675,0.0171407099614595,0.0318210661604357,-0.204547667192978,-0.0171407099614595,-0.204705811631566,-0.203338723023971
"MIR340",0.180529158228177,0.180529158228177,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.177073876537036,0.123511140699215,0.123511140699215,0.113940503007538,0.0281687155873592,-0.182096028352587,-0.113940503007538,-0.182483278873886,-0.180529158228177
"MIR1199",0.180529158228177,0.180529158228177,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.177073876537036,0.123511140699215,0.123511140699215,0.113940503007538,0.0281687155873592,-0.182096028352587,-0.113940503007538,-0.182483278873886,-0.180529158228177
"HA",0.180529158228177,0.180529158228177,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.177073876537036,0.123511140699215,0.123511140699215,0.113940503007538,0.0281687155873592,-0.182096028352587,-0.113940503007538,-0.182483278873886,-0.180529158228177
"CD24",0.180529158228177,0.180529158228177,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.182483278873886,0.177073876537036,0.123511140699215,0.123511140699215,0.113940503007538,0.0281687155873592,-0.182096028352587,-0.113940503007538,-0.182483278873886,-0.180529158228177
"SNAIL1",0.159771985933384,0.159771985933384,0.159904397291336,0.159904397291336,0.159904397291336,0.159904397291336,0.159904397291336,0.135511246228688,0.115429594764781,0.115429594764781,-0.0858300070782592,0.144944196222447,-0.159944809495822,0.0858300070782592,-0.159904397291336,-0.159771985933384
"ZEB1",-0.182483278873886,-0.182483278873886,-0.182096028352587,-0.182096028352587,-0.182096028352587,-0.182096028352587,-0.182096028352587,-0.177529754101347,-0.12279440651411,-0.12279440651411,-0.113775999260508,-0.028526439164595,0.0826359081529338,0.113775999260508,0.182096028352587,0.182483278873886
"MIR190",-0.159099353194725,-0.159099353194725,-0.159600606327557,-0.159600606327557,-0.159600606327557,-0.159600606327557,-0.159600606327557,-0.235378424497289,-0.115224816420693,-0.115224816420693,0.0858488469767312,-0.0447206875383671,0.159771985933384,-0.0858488469767312,0.159600606327557,0.159099353194725
"TGFB",-0.159600606327557,-0.159600606327557,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.235471275007967,-0.11544479002386,-0.11544479002386,0.0858750318418792,-0.144862935049036,0.159904397291336,-0.0858750318418792,0.159771985933384,0.159600606327557
"MIR34",-0.159600606327557,-0.159600606327557,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.159771985933384,-0.235471275007967,-0.11544479002386,-0.11544479002386,0.0858750318418792,-0.144862935049036,0.159904397291336,-0.0858750318418792,0.159771985933384,0.159600606327557
"CD44s",-0.180529158228177,-0.180529158228177,-0.182483278873886,-0.182483278873886,-0.182483278873886,-0.182483278873886,-0.182483278873886,-0.177073876537036,-0.123511140699215,-0.123511140699215,-0.113940503007538,-0.0281687155873592,0.182096028352587,0.113940503007538,0.182483278873886,0.180529158228177
"HAS2",-0.281292517006803,-0.181292517006803,-0.180529158228177,-0.180529158228177,-0.180529158228177,-0.180529158228177,-0.180529158228177,-0.177263091295787,-0.121775980881863,-0.121775980881863,-0.113308258539677,-0.0282653339448471,0.182483278873886,0.113308258539677,0.180529158228177,0.181292517006803
"ESRP1",-0.181292517006803,-0.0812925170068027,-0.180529158228177,-0.180529158228177,-0.180529158228177,-0.180529158228177,-0.180529158228177,-0.177263091295787,-0.121775980881863,-0.121775980881863,-0.113308258539677,-0.0282653339448471,0.182483278873886,0.113308258539677,0.180529158228177,0.181292517006803
"MIR129",-0.294561258278146,-0.294561258278146,-0.295008352167863,-0.295008352167863,-0.295008352167863,-0.295008352167863,-0.295008352167863,-0.30235970342014,-0.259529188333319,-0.0118585889469868,-0.0175536911718585,-0.0913353887339568,0.29623611463341,0.0175536911718585,0.295008352167863,0.294561258278146
"GRHL2",-0.309932951477454,-0.309932951477454,-0.311206836827773,-0.311206836827773,-0.311206836827773,-0.311206836827773,-0.311206836827773,-0.201699452672357,-0.143007660529566,-0.143007660529566,-0.226176157889344,-0.0314415374130549,0.31142739262839,0.226176157889344,0.311206836827773,0.209932951477454
