"","TWIST1","MIR34","MIR200","HA","CD44s","CD24","MIR190","MIR1199","GRHL2","MIR129","TGFB","ZEB1","MIR340","HAS2","ESRP1","SNAIL1"
"MIR190",0.223184283401982,0.282791732807266,0.282791732807266,0.215817086139667,0.215817086139667,0.215817086139667,0.217070218971747,0.217070218971747,0.217070218971747,0.0811384941396978,-0.0487276561794821,-0.215956251533872,-0.217070218971747,-0.217070218971747,-0.217070218971747,-0.249751355848149
"TGFB",0.223052299240081,0.282241850639159,0.282241850639159,0.217070218971747,0.217070218971747,0.217070218971747,0.215956251533872,0.215956251533872,0.215956251533872,0.0817104255079336,-0.148585408668814,-0.215794415429709,-0.215956251533872,-0.215956251533872,-0.215956251533872,-0.250169183146199
"MIR34",0.223052299240081,0.282241850639159,0.282241850639159,0.217070218971747,0.217070218971747,0.217070218971747,0.215956251533872,0.215956251533872,0.215956251533872,0.0817104255079336,-0.148585408668814,-0.215794415429709,-0.215956251533872,-0.215956251533872,-0.215956251533872,-0.250169183146199
"HAS2",0.140527198291904,0.134775266499201,0.134775266499201,0.0140383426097712,0.114038342609771,0.114038342609771,0.117855136502901,0.117855136502901,0.117855136502901,0.0841230769230769,-0.0187127949805435,-0.121338568958296,-0.117855136502901,-0.117855136502901,-0.117855136502901,-0.125557808577399
"MIR340",0.139705280483685,0.13646125174683,0.13646125174683,0.117855136502901,0.117855136502901,0.117855136502901,0.121338568958296,0.121338568958296,0.121338568958296,0.0820226203020723,-0.0191958867679831,-0.120295971400953,-0.121338568958296,-0.121338568958296,-0.121338568958296,-0.125179379059897
"CD44s",0.139705280483685,0.13646125174683,0.13646125174683,0.117855136502901,0.117855136502901,0.117855136502901,0.121338568958296,0.121338568958296,0.121338568958296,0.0820226203020723,-0.0191958867679831,-0.120295971400953,-0.121338568958296,-0.121338568958296,-0.121338568958296,-0.125179379059897
"CD24",0.139705280483685,0.13646125174683,0.13646125174683,0.117855136502901,0.117855136502901,0.117855136502901,0.121338568958296,0.121338568958296,0.121338568958296,0.0820226203020723,-0.0191958867679831,-0.120295971400953,-0.121338568958296,-0.121338568958296,-0.121338568958296,-0.125179379059897
"MIR200",-0.12828298751681,-0.047983020902224,-0.047983020902224,0.0342338340114018,0.0342338340114018,0.0342338340114018,0.0358034542645664,0.0358034542645664,0.0358034542645664,-0.0644674495849595,0.00242729500489593,-0.0356453098259792,-0.0358034542645664,-0.0358034542645664,-0.0358034542645664,0.111219909708036
"GRHL2",-0.102525533547018,-0.0130244726918133,-0.0130244726918133,-0.00287331632881371,-0.00287331632881371,0.0971266836711863,-0.00452936728422772,-0.00452936728422772,-0.00452936728422772,-0.0698274100272515,0.00909987955828363,0.0028531431995343,0.00452936728422772,0.00452936728422772,0.00452936728422772,0.0872824505900107
"ZEB1",-0.138739247451588,-0.13567528939991,-0.13567528939991,-0.121338568958296,-0.121338568958296,-0.121338568958296,-0.120295971400953,-0.120295971400953,-0.120295971400953,-0.0820537826579465,0.0189032038411538,0.0193486351475152,0.120295971400953,0.120295971400953,0.120295971400953,0.125635256624208
"MIR129",-0.0621976690864099,-0.123461382416648,-0.123461382416648,-0.0545612582781457,-0.0545612582781457,-0.0545612582781457,-0.0538161017952843,-0.0538161017952843,-0.0538161017952843,-0.136172305072938,0.0608784733048854,0.0509847312114707,0.0538161017952843,0.0538161017952843,0.0538161017952843,0.177988547754304
"TWIST1",-0.162459175362561,-0.122044690085265,-0.122044690085265,-0.0538161017952843,-0.0538161017952843,-0.0538161017952843,-0.0509847312114707,-0.0509847312114707,-0.0509847312114707,-0.137715595682407,0.0604558190360773,0.0512804862567038,0.0509847312114707,0.0509847312114707,0.0509847312114707,0.178551193561906
"MIR1199",-0.139705280483685,-0.13646125174683,-0.13646125174683,-0.117855136502901,-0.117855136502901,-0.117855136502901,-0.121338568958296,-0.121338568958296,-0.121338568958296,-0.0820226203020723,0.0191958867679831,0.120295971400953,0.121338568958296,0.121338568958296,0.121338568958296,0.125179379059897
"HA",-0.139705280483685,-0.13646125174683,-0.13646125174683,-0.117855136502901,-0.117855136502901,-0.117855136502901,-0.121338568958296,-0.121338568958296,-0.121338568958296,-0.0820226203020723,0.0191958867679831,0.120295971400953,0.121338568958296,0.121338568958296,0.121338568958296,0.125179379059897
"ESRP1",-0.140527198291904,-0.134775266499201,-0.134775266499201,-0.114038342609771,-0.214038342609771,-0.114038342609771,-0.117855136502901,-0.117855136502901,-0.117855136502901,-0.0841230769230769,0.0187127949805435,0.121338568958296,0.117855136502901,0.117855136502901,0.117855136502901,0.125557808577399
"SNAIL1",-0.223523352271535,-0.282304885308227,-0.282304885308227,-0.215956251533872,-0.215956251533872,-0.215956251533872,-0.215794415429709,-0.215794415429709,-0.215794415429709,-0.0820295259485961,0.148666669842225,0.216208640525688,0.215794415429709,0.215794415429709,0.215794415429709,0.150193165878632
