"","MIR340","MIR190","HAS2","GRHL2","ESRP1","HA","CD24","MIR200","MIR34","MIR129","TGFB","ZEB1","SNAIL1","TWIST1","CD44s","MIR1199"
"TWIST1",0.209560641806972,0.209560641806972,0.209560641806972,0.209560641806972,0.209560641806972,0.209635810937515,0.209635810937515,0.113061758597962,0.0979950039317839,-0.0173008850827644,-0.0046691238123831,-0.209525847095768,-0.0197210696993043,-0.00564945313073479,-0.209635810937515,-0.209560641806972
"HA",0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.14383954831065,0.14383954831065,0.1296880875503,0.118396583776511,0.0970740509557593,-0.00187517649374956,-0.143402565923829,-0.0637530129019233,-0.0970740509557593,-0.14383954831065,-0.143074892405807
"HAS2",0.14383954831065,0.14383954831065,0.14383954831065,0.14383954831065,0.14383954831065,0.244094001236858,0.144094001236858,0.129793461628277,0.119239576400325,0.0968000783530195,-0.00235826828118917,-0.143074892405807,-0.0636584055225477,-0.0968000783530195,-0.144094001236858,-0.14383954831065
"ESRP1",0.14383954831065,0.14383954831065,0.14383954831065,0.14383954831065,0.14383954831065,0.144094001236858,0.144094001236858,0.129793461628277,0.119239576400325,0.0968000783530195,-0.00235826828118917,-0.143074892405807,-0.0636584055225477,-0.0968000783530195,-0.244094001236858,-0.14383954831065
"MIR200",0.121649740081309,0.121649740081309,0.121649740081309,0.121649740081309,0.121649740081309,0.122409233752195,0.122409233752195,0.0330747426024102,0.183505025400518,-0.06097088291657,-0.0143316222075863,-0.121737598102746,0.0111181081461338,0.06097088291657,-0.122409233752195,-0.121649740081309
"MIR190",0.0545318631566509,0.0545318631566509,0.0545318631566509,0.0545318631566509,0.0545318631566509,0.0537799834574028,0.0537799834574028,0.0697509518135234,-0.0161746337046279,0.0883279176211303,0.0383751173739046,-0.0547889325653913,0.0126937006444265,-0.0883279176211303,-0.0537799834574028,-0.0545318631566509
"TGFB",0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0545318631566509,0.0545318631566509,0.0696200274877836,-0.0157294909971128,0.0880199545766956,-0.061767130136764,-0.0545093974763814,0.0125544248784098,-0.0880199545766956,-0.0545318631566509,-0.0547889325653913
"MIR34",0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0545318631566509,0.0545318631566509,0.0696200274877836,-0.0157294909971128,0.0880199545766956,-0.061767130136764,-0.0545093974763814,0.0125544248784098,-0.0880199545766956,-0.0545318631566509,-0.0547889325653913
"ZEB1",-0.143402565923829,-0.143402565923829,-0.143402565923829,-0.143402565923829,-0.143402565923829,-0.143074892405807,-0.143074892405807,-0.129925704073787,-0.11856108752354,-0.0972298627351298,0.00210281877017232,0.0434534979804654,0.0634925114366026,0.0972298627351298,0.143074892405807,0.143402565923829
"SNAIL1",-0.0545093974763814,-0.0545093974763814,-0.0545093974763814,-0.0545093974763814,-0.0545093974763814,-0.0547889325653913,-0.0547889325653913,-0.0695029631023717,0.0159546148152128,-0.0880047593176164,0.061588355555259,0.0545498096808672,-0.112434511216247,0.0880047593176164,0.0547889325653913,0.0545093974763814
"MIR340",-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.14383954831065,-0.14383954831065,-0.1296880875503,-0.118396583776511,-0.0970740509557593,0.00187517649374956,0.143402565923829,0.0637530129019233,0.0970740509557593,0.14383954831065,0.143074892405807
"MIR1199",-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.14383954831065,-0.14383954831065,-0.1296880875503,-0.118396583776511,-0.0970740509557593,0.00187517649374956,0.143402565923829,0.0637530129019233,0.0970740509557593,0.14383954831065,0.143074892405807
"CD44s",-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.14383954831065,-0.14383954831065,-0.1296880875503,-0.118396583776511,-0.0970740509557593,0.00187517649374956,0.143402565923829,0.0637530129019233,0.0970740509557593,0.14383954831065,0.143074892405807
"CD24",-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.14383954831065,-0.14383954831065,-0.1296880875503,-0.118396583776511,-0.0970740509557593,0.00187517649374956,0.143402565923829,0.0637530129019233,0.0970740509557593,0.14383954831065,0.143074892405807
"MIR129",-0.209635810937515,-0.209635810937515,-0.209635810937515,-0.209635810937515,-0.209635810937515,-0.209337748344371,-0.209337748344371,-0.113123353916718,-0.0980258015911618,0.0172747276148073,0.00475365466614472,0.209560641806972,0.0196524543569137,-0.0942982456140351,0.209337748344371,0.209635810937515
"GRHL2",-0.226059094078469,-0.226059094078469,-0.226059094078469,-0.226059094078469,-0.226059094078469,-0.226696036753628,-0.126696036753628,-0.234098936765971,-0.20092478689198,-0.117062960138424,0.00905570997109928,0.226103205238593,0.0890986224825925,0.117062960138424,0.226696036753628,0.226059094078469
