"","MIR34","MIR200","TWIST1","MIR129","MIR340","HAS2","ESRP1","CD44s","CD24","ZEB1","HA","MIR190","MIR1199","GRHL2","TGFB","SNAIL1"
"TWIST1",0.153058592784322,0.153058592784322,0.0850761817105175,-0.0185287377800183,0.22196614208804,0.22196614208804,0.22196614208804,0.224045821366416,0.224045821366416,-0.223688480292633,-0.224045821366416,-0.22196614208804,-0.22196614208804,-0.22196614208804,-0.172413921132482,-0.106362041145508
"MIR340",0.14479439719252,0.14479439719252,0.110379466142238,0.110379466142238,0.105781591564162,0.105781591564162,0.105781591564162,0.105696629796957,0.105696629796957,-0.105870957069077,-0.105696629796957,-0.105781591564162,-0.105781591564162,-0.105781591564162,-0.128555189017311,-0.152785050970574
"MIR1199",0.14479439719252,0.14479439719252,0.110379466142238,0.110379466142238,0.105781591564162,0.105781591564162,0.105781591564162,0.105696629796957,0.105696629796957,-0.105870957069077,-0.105696629796957,-0.105781591564162,-0.105781591564162,-0.105781591564162,-0.128555189017311,-0.152785050970574
"HA",0.14479439719252,0.14479439719252,0.110379466142238,0.110379466142238,0.105781591564162,0.105781591564162,0.105781591564162,0.105696629796957,0.105696629796957,-0.105870957069077,-0.105696629796957,-0.105781591564162,-0.105781591564162,-0.105781591564162,-0.128555189017311,-0.152785050970574
"CD44s",0.14479439719252,0.14479439719252,0.110379466142238,0.110379466142238,0.105781591564162,0.105781591564162,0.105781591564162,0.105696629796957,0.105696629796957,-0.105870957069077,-0.105696629796957,-0.105781591564162,-0.105781591564162,-0.105781591564162,-0.128555189017311,-0.152785050970574
"ESRP1",0.144372900880613,0.144372900880613,0.109557548334019,0.109557548334019,0.105696629796957,0.105696629796957,0.105696629796957,0.205442176870748,0.105442176870748,-0.105781591564162,-0.105442176870748,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.128265333944847,-0.152879658349949
"MIR34",0.137269041731687,0.137269041731687,0.0746436305646841,0.0746436305646841,0.0815375923212508,0.0815375923212508,0.0815375923212508,0.0844510456203082,0.0844510456203082,-0.0837297359140123,-0.0844510456203082,-0.0815375923212508,-0.0815375923212508,-0.0815375923212508,-0.150527396939074,-0.0826151839197835
"GRHL2",-0.0227287906004717,-0.0227287906004717,-0.0856073830140179,-0.0856073830140179,-0.00298509867096255,-0.00298509867096255,-0.00298509867096255,-0.00298509867096255,-0.102985098670963,0.00302920983108606,0.00298509867096255,0.00298509867096255,0.00298509867096255,0.00298509867096255,0.013814514911948,0.101484401030731
"ZEB1",-0.144812675386635,-0.144812675386635,-0.110036680227623,-0.110036680227623,-0.105870957069077,-0.105870957069077,-0.105870957069077,-0.105781591564162,-0.105781591564162,0.00586077065774952,0.105781591564162,0.105870957069077,0.105870957069077,0.105870957069077,0.12884787194414,0.15314324048539
"MIR190",-0.133053278442868,-0.133053278442868,-0.0558578848541693,-0.0558578848541693,-0.0844510456203082,-0.0844510456203082,-0.0844510456203082,-0.0801903939912355,-0.0801903939912355,0.0815375923212508,0.0801903939912355,0.0844510456203082,0.0844510456203082,0.0844510456203082,0.252186951230207,0.0936179694351038
"SNAIL1",-0.134342432096388,-0.134342432096388,-0.0609527021343543,-0.0609527021343543,-0.0837297359140123,-0.0837297359140123,-0.0837297359140123,-0.0815375923212508,-0.0815375923212508,0.0821637629901893,0.0815375923212508,0.0837297359140123,0.0837297359140123,0.0837297359140123,0.152038854764525,-0.00917472734410655
"TGFB",-0.137269041731687,-0.137269041731687,-0.0746436305646841,-0.0746436305646841,-0.0815375923212508,-0.0815375923212508,-0.0815375923212508,-0.0844510456203082,-0.0844510456203082,0.0837297359140123,0.0844510456203082,0.0815375923212508,0.0815375923212508,0.0815375923212508,0.150527396939074,0.0826151839197835
"MIR200",-0.0124623391884398,-0.0124623391884398,0.0275989984010903,0.0275989984010903,-0.0928625538676674,-0.0928625538676674,-0.0928625538676674,-0.0945334399436168,-0.0945334399436168,0.0941101377720779,0.0945334399436168,0.0928625538676674,0.0928625538676674,0.0928625538676674,-0.0980046029357206,-0.0176969597621947
"HAS2",-0.144372900880613,-0.144372900880613,-0.109557548334019,-0.109557548334019,-0.105696629796957,-0.105696629796957,-0.105696629796957,-0.105442176870748,-0.105442176870748,0.105781591564162,0.0054421768707483,0.105696629796957,0.105696629796957,0.105696629796957,0.128265333944847,0.152879658349949
"CD24",-0.14479439719252,-0.14479439719252,-0.110379466142238,-0.110379466142238,-0.105781591564162,-0.105781591564162,-0.105781591564162,-0.105696629796957,-0.105696629796957,0.105870957069077,0.105696629796957,0.105781591564162,0.105781591564162,0.105781591564162,0.128555189017311,0.152785050970574
"MIR129",-0.149578457274621,-0.149578457274621,-0.170327227735622,0.0332553922398666,-0.224045821366416,-0.224045821366416,-0.224045821366416,-0.220618101545254,-0.220618101545254,0.22196614208804,0.220618101545254,0.224045821366416,0.224045821366416,0.224045821366416,0.173400114426367,0.114637051437809
