"","MIR200","TWIST1","TGFB","CD44s","MIR340","MIR1199","HAS2","ESRP1","SNAIL1","ZEB1","MIR190","GRHL2","HA","CD24","MIR34","MIR129"
"GRHL2",0.17784464749293,0.100554207348044,0.18109102704838,0.183334213391805,0.182824659251678,0.182824659251678,0.182824659251678,0.182824659251678,0.0721422781849622,-0.182692325771307,-0.182824659251678,-0.182824659251678,-0.183334213391805,-0.083334213391805,-0.199109366075897,-0.100554207348044
"TWIST1",0.204590316301291,-0.177234580123603,0.193063582300471,0.172505296697295,0.172129451044577,0.172129451044577,0.172129451044577,0.172129451044577,-0.250518828402136,-0.172025066910965,-0.172129451044577,-0.172129451044577,-0.172505296697295,-0.172505296697295,0.0364641493735986,0.123678125028161
"ESRP1",0.081599575689961,0.0809143640673052,0.0787015103445124,0.166326530612245,0.0630186425715324,0.0630186425715324,0.0630186425715324,0.0630186425715324,0.0477590627787666,-0.0634434514075562,-0.0630186425715324,-0.0630186425715324,-0.0663265306122449,-0.0663265306122449,-0.0798164185825956,-0.0809143640673052
"MIR340",0.0818103238459147,0.0806403914645655,0.0764792881222901,0.0630186425715324,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0470968111231375,-0.0631157778895342,-0.0634434514075562,-0.0634434514075562,-0.0630186425715324,-0.0630186425715324,-0.080132540816526,-0.0806403914645655
"MIR1199",0.0818103238459147,0.0806403914645655,0.0764792881222901,0.0630186425715324,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0470968111231375,-0.0631157778895342,-0.0634434514075562,-0.0634434514075562,-0.0630186425715324,-0.0630186425715324,-0.080132540816526,-0.0806403914645655
"HA",0.0818103238459147,0.0806403914645655,0.0764792881222901,0.0630186425715324,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0470968111231375,-0.0631157778895342,-0.0634434514075562,-0.0634434514075562,-0.0630186425715324,-0.0630186425715324,-0.080132540816526,-0.0806403914645655
"CD44s",0.0818103238459147,0.0806403914645655,0.0764792881222901,0.0630186425715324,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0470968111231375,-0.0631157778895342,-0.0634434514075562,-0.0634434514075562,-0.0630186425715324,-0.0630186425715324,-0.080132540816526,-0.0806403914645655
"CD24",0.0818103238459147,0.0806403914645655,0.0764792881222901,0.0630186425715324,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0634434514075562,0.0470968111231375,-0.0631157778895342,-0.0634434514075562,-0.0634434514075562,-0.0630186425715324,-0.0630186425715324,-0.080132540816526,-0.0806403914645655
"ZEB1",-0.081865158428258,-0.0801106314147057,-0.0767719710491194,-0.0634434514075562,-0.0631157778895342,-0.0631157778895342,-0.0631157778895342,-0.0631157778895342,-0.0473898752716233,-0.0366295618272836,0.0631157778895342,0.0631157778895342,0.0634434514075562,0.0634434514075562,0.0796755859636655,0.0801106314147057
"TGFB",0.179567954219635,-0.300897485532105,0.162521005614928,0.0284555060106843,0.0277699875873767,0.0277699875873767,0.0277699875873767,0.0277699875873767,-0.236716615725592,-0.028020097930175,-0.0277699875873767,-0.0277699875873767,-0.0284555060106843,-0.0284555060106843,0.157351755491042,0.300897485532105
"MIR34",0.179567954219635,-0.300897485532105,0.162521005614928,0.0284555060106843,0.0277699875873767,0.0277699875873767,0.0277699875873767,0.0277699875873767,-0.236716615725592,-0.028020097930175,-0.0277699875873767,-0.0277699875873767,-0.0284555060106843,-0.0284555060106843,0.157351755491042,0.300897485532105
"MIR190",-0.180379685039221,0.30208534298921,-0.263421906515829,-0.0287061325771003,-0.0284555060106843,-0.0284555060106843,-0.0284555060106843,-0.0284555060106843,0.237366569300336,0.0277699875873767,0.0284555060106843,0.0284555060106843,0.0287061325771003,0.0287061325771003,-0.157325570625894,-0.30208534298921
"SNAIL1",-0.179468899739671,0.300061746282751,-0.161757150584862,-0.0277699875873767,-0.028020097930175,-0.028020097930175,-0.028020097930175,-0.028020097930175,0.136564725086852,0.0281009223391465,0.028020097930175,0.028020097930175,0.0277699875873767,0.0277699875873767,-0.156946532618462,-0.300061746282751
"HAS2",-0.081599575689961,-0.0809143640673052,-0.0787015103445124,-0.0663265306122449,-0.0630186425715324,-0.0630186425715324,-0.0630186425715324,-0.0630186425715324,-0.0477590627787666,0.0634434514075562,0.0630186425715324,0.0630186425715324,-0.0336734693877551,0.0663265306122449,0.0798164185825956,0.0809143640673052
"MIR200",0.0329076102391667,-0.243175459752865,0.124080460269043,-0.0885640135633387,-0.0889184439430856,-0.0889184439430856,-0.0889184439430856,-0.0889184439430856,-0.191114566811759,0.0890063019645229,0.0889184439430856,0.0889184439430856,0.0885640135633387,0.0885640135633387,0.21825631960199,0.243175459752865
"MIR129",-0.205083078851337,0.0775483876549832,-0.194275191204388,-0.173846578366446,-0.172505296697295,-0.172505296697295,-0.172505296697295,-0.172505296697295,0.250807012840177,0.172129451044577,0.172505296697295,0.172505296697295,0.173846578366446,0.173846578366446,-0.0364949470329765,-0.12396585717569
