"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD44s","CD24","MIR34","MIR200","TGFB","TWIST1","MIR129","SNAIL1","ZEB1","HA","HAS2"
"TWIST1",0.511779796644408,0.511779796644408,0.511779796644408,0.511779796644408,0.511779796644408,0.488903324582268,0.488903324582268,0.481050026659484,0.481050026659484,-0.121388744616821,-0.096230472559914,-0.354674310581164,-0.445394584204957,-0.529142357535153,-0.488903324582268,-0.511779796644408
"MIR340",0.489781747042828,0.489781747042828,0.489781747042828,0.489781747042828,0.489781747042828,0.456391772531358,0.456391772531358,0.455129065353888,0.455129065353888,-0.0501740628383189,-0.185443780822991,-0.185443780822991,-0.309972768378374,-0.511616718743751,-0.456391772531358,-0.489781747042828
"MIR1199",0.489781747042828,0.489781747042828,0.489781747042828,0.489781747042828,0.489781747042828,0.456391772531358,0.456391772531358,0.455129065353888,0.455129065353888,-0.0501740628383189,-0.185443780822991,-0.185443780822991,-0.309972768378374,-0.511616718743751,-0.456391772531358,-0.489781747042828
"CD44s",0.489781747042828,0.489781747042828,0.489781747042828,0.489781747042828,0.489781747042828,0.456391772531358,0.456391772531358,0.455129065353888,0.455129065353888,-0.0501740628383189,-0.185443780822991,-0.185443780822991,-0.309972768378374,-0.511616718743751,-0.456391772531358,-0.489781747042828
"ESRP1",0.456391772531358,0.456391772531358,0.456391772531358,0.456391772531358,0.456391772531358,0.525602968460111,0.425602968460111,0.426678064300147,0.426678064300147,-0.0448600531764832,-0.174941497717968,-0.174941497717968,-0.294930195057655,-0.489781747042828,-0.425602968460111,-0.456391772531358
"MIR200",0.455027562029542,0.455027562029542,0.455027562029542,0.455027562029542,0.455027562029542,0.426521232915618,0.426521232915618,0.52662786843886,0.52662786843886,-0.256935108761644,-0.216346969412309,-0.216346969412309,-0.394677125776265,-0.474057609472874,-0.426521232915618,-0.455027562029542
"MIR34",0.315058895360441,0.315058895360441,0.315058895360441,0.315058895360441,0.315058895360441,0.300063179850587,0.300063179850587,0.398401100869412,0.398401100869412,-0.179074243611581,-0.181028089739836,-0.181028089739836,-0.383000027483125,-0.32849129200602,-0.300063179850587,-0.315058895360441
"GRHL2",0.19357825285544,0.19357825285544,0.19357825285544,0.19357825285544,0.19357825285544,0.176253412091108,0.276253412091108,0.187969892474647,0.187969892474647,-0.0255704039245068,-0.126424537721391,-0.126424537721391,-0.183881094748215,-0.201077150076437,-0.176253412091108,-0.19357825285544
"MIR190",-0.300063179850587,-0.300063179850587,-0.300063179850587,-0.300063179850587,-0.300063179850587,-0.278759921705223,-0.278759921705223,-0.3851777439697,-0.3851777439697,0.275707719192425,0.176496633514583,0.176496633514583,0.37431850473475,0.315058895360441,0.278759921705223,0.300063179850587
"TGFB",-0.315058895360441,-0.315058895360441,-0.315058895360441,-0.315058895360441,-0.315058895360441,-0.300063179850587,-0.300063179850587,-0.398401100869412,-0.398401100869412,0.179074243611581,0.181028089739836,0.181028089739836,0.383000027483125,0.32849129200602,0.300063179850587,0.315058895360441
"SNAIL1",-0.32849129200602,-0.32849129200602,-0.32849129200602,-0.32849129200602,-0.32849129200602,-0.315058895360441,-0.315058895360441,-0.409990475025197,-0.409990475025197,0.181593339987332,0.18514600495029,0.18514600495029,0.289771152273276,0.338574137025216,0.315058895360441,0.32849129200602
"ZEB1",-0.511616718743751,-0.511616718743751,-0.511616718743751,-0.511616718743751,-0.511616718743751,-0.489781747042828,-0.489781747042828,-0.474339447368145,-0.474339447368145,0.054954550643197,0.191769739065434,0.191769739065434,0.322965278961246,0.432427557085404,0.489781747042828,0.511616718743751
"HAS2",-0.456391772531358,-0.456391772531358,-0.456391772531358,-0.456391772531358,-0.456391772531358,-0.425602968460111,-0.425602968460111,-0.426678064300147,-0.426678064300147,0.0448600531764832,0.174941497717968,0.174941497717968,0.294930195057655,0.489781747042828,0.525602968460111,0.456391772531358
"HA",-0.489781747042828,-0.489781747042828,-0.489781747042828,-0.489781747042828,-0.489781747042828,-0.456391772531358,-0.456391772531358,-0.455129065353888,-0.455129065353888,0.0501740628383189,0.185443780822991,0.185443780822991,0.309972768378374,0.511616718743751,0.456391772531358,0.489781747042828
"CD24",-0.489781747042828,-0.489781747042828,-0.489781747042828,-0.489781747042828,-0.489781747042828,-0.456391772531358,-0.456391772531358,-0.455129065353888,-0.455129065353888,0.0501740628383189,0.185443780822991,0.185443780822991,0.309972768378374,0.511616718743751,0.456391772531358,0.489781747042828
"MIR129",-0.488903324582268,-0.488903324582268,-0.488903324582268,-0.488903324582268,-0.488903324582268,-0.462822847682119,-0.462822847682119,-0.461247131679502,-0.461247131679502,0.117021317172471,-0.0108301968961529,0.347585636764789,0.433771145203996,0.511779796644408,0.462822847682119,0.488903324582268
