"","CD44s","CD24","MIR340","MIR190","TGFB","MIR34","MIR200","MIR129","SNAIL1","ZEB1","TWIST1","MIR1199","HAS2","GRHL2","ESRP1","HA"
"HAS2",0.143661100803958,0.143661100803958,0.139335401058411,0.139335401058411,0.143543092021794,0.134082465324025,0.134082465324025,0.0573975279622339,0.0282464978763396,-0.14145944523853,-0.0573975279622339,-0.139335401058411,-0.139335401058411,-0.139335401058411,-0.139335401058411,-0.043661100803958
"MIR340",0.139335401058411,0.139335401058411,0.14145944523853,0.14145944523853,0.137842608930006,0.136506069117492,0.136506069117492,0.0567582585558412,0.0268273871857058,-0.141310502730338,-0.0567582585558412,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.139335401058411
"HA",0.139335401058411,0.139335401058411,0.14145944523853,0.14145944523853,0.137842608930006,0.136506069117492,0.136506069117492,0.0567582585558412,0.0268273871857058,-0.141310502730338,-0.0567582585558412,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.139335401058411
"CD44s",0.139335401058411,0.139335401058411,0.14145944523853,0.14145944523853,0.137842608930006,0.136506069117492,0.136506069117492,0.0567582585558412,0.0268273871857058,-0.141310502730338,-0.0567582585558412,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.139335401058411
"CD24",0.139335401058411,0.139335401058411,0.14145944523853,0.14145944523853,0.137842608930006,0.136506069117492,0.136506069117492,0.0567582585558412,0.0268273871857058,-0.141310502730338,-0.0567582585558412,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.14145944523853,-0.139335401058411
"MIR34",0.070713789544527,0.070713789544527,0.0691713730920848,0.0691713730920848,-0.0331745778603558,-0.0377890493002265,-0.0377890493002265,0.143489476744754,0.044501760987812,-0.0700982525977491,-0.143489476744754,-0.0691713730920848,-0.0691713730920848,-0.0691713730920848,-0.0691713730920848,-0.070713789544527
"SNAIL1",0.0691713730920848,0.0691713730920848,0.0700982525977491,0.0700982525977491,-0.0353361250730975,-0.0366094004933827,-0.0366094004933827,0.143139985785933,-0.0556021641860628,-0.0698557793708346,-0.143139985785933,-0.0700982525977491,-0.0700982525977491,-0.0700982525977491,-0.0700982525977491,-0.0691713730920848
"TWIST1",0.0302896117290591,0.0302896117290591,0.0316677124556941,0.0316677124556941,0.0342714342775539,0.0383656500921579,0.0383656500921579,-0.282201815117654,-0.0433491294709649,-0.0309892155872181,0.157354440172345,-0.0316677124556941,-0.0316677124556941,-0.0316677124556941,-0.0316677124556941,-0.0302896117290591
"GRHL2",0.0101889142465059,-0.0898110857534941,0.0128640734821747,0.0128640734821747,0.00846651197570074,0.00926078081540998,0.00926078081540998,0.0552612856366468,0.0386228968790958,-0.012202406080322,-0.0552612856366468,-0.0128640734821747,-0.0128640734821747,-0.0128640734821747,-0.0128640734821747,-0.0101889142465059
"MIR129",-0.0310347682119205,-0.0310347682119205,-0.0302896117290591,-0.0302896117290591,-0.0357648126940092,-0.0362098139357058,-0.0362098139357058,0.280501579700443,0.0443234673329108,0.0316677124556941,-0.255628498749751,0.0302896117290591,0.0302896117290591,0.0302896117290591,0.0302896117290591,0.0310347682119205
"ZEB1",-0.14145944523853,-0.14145944523853,-0.141310502730338,-0.141310502730338,-0.140151552019437,-0.136963023970353,-0.136963023970353,-0.0556052513884993,-0.0289113989082717,0.0406891316393733,0.0556052513884993,0.141310502730338,0.141310502730338,0.141310502730338,0.141310502730338,0.14145944523853
"MIR190",-0.0702125364116949,-0.0702125364116949,-0.070713789544527,-0.070713789544527,0.134549637130152,0.0352491173808759,0.0352491173808759,-0.141509714316245,-0.0460802196693347,0.0691713730920848,0.141509714316245,0.070713789544527,0.070713789544527,0.070713789544527,0.070713789544527,0.0702125364116949
"TGFB",-0.070713789544527,-0.070713789544527,-0.0691713730920848,-0.0691713730920848,0.0331745778603558,0.0377890493002265,0.0377890493002265,-0.143489476744754,-0.044501760987812,0.0700982525977491,0.143489476744754,0.0691713730920848,0.0691713730920848,0.0691713730920848,0.0691713730920848,0.070713789544527
"MIR200",-0.128518229970518,-0.128518229970518,-0.129986584400897,-0.129986584400897,0.0727208091089113,-0.0278257927247916,-0.0278257927247916,-0.136212460275216,-0.0870497458834166,0.129266148625111,0.136212460275216,0.129986584400897,0.129986584400897,0.129986584400897,0.129986584400897,0.128518229970518
"MIR1199",-0.139335401058411,-0.139335401058411,-0.14145944523853,-0.14145944523853,-0.137842608930006,-0.136506069117492,-0.136506069117492,-0.0567582585558412,-0.0268273871857058,0.141310502730338,0.0567582585558412,0.14145944523853,0.14145944523853,0.14145944523853,0.14145944523853,0.139335401058411
"ESRP1",-0.243661100803958,-0.143661100803958,-0.139335401058411,-0.139335401058411,-0.143543092021794,-0.134082465324025,-0.134082465324025,-0.0573975279622339,-0.0282464978763396,0.14145944523853,0.0573975279622339,0.139335401058411,0.139335401058411,0.139335401058411,0.139335401058411,0.143661100803958
