"","MIR340","ESRP1","HA","MIR34","MIR200","SNAIL1","TGFB","MIR129","TWIST1","ZEB1","CD44s","CD24","MIR190","MIR1199","HAS2","GRHL2"
"GRHL2",0.356518478995219,0.356518478995219,0.35384331975955,0.338007996394216,0.281531956776337,0.124859203902283,0.0158347785804896,-0.0869258558168403,-0.133110815624444,-0.358812259321642,-0.35384331975955,-0.25384331975955,-0.356518478995219,-0.356518478995219,-0.356518478995219,-0.356518478995219
"MIR340",0.248554388127254,0.248554388127254,0.24795965575682,0.214924158739959,0.183865699666159,0.100665564986647,0.0072426285143456,-0.0690838829717154,-0.113218447413451,-0.251443872786175,-0.24795965575682,-0.24795965575682,-0.248554388127254,-0.248554388127254,-0.248554388127254,-0.248554388127254
"HA",0.248554388127254,0.248554388127254,0.24795965575682,0.214924158739959,0.183865699666159,0.100665564986647,0.0072426285143456,-0.0690838829717154,-0.113218447413451,-0.251443872786175,-0.24795965575682,-0.24795965575682,-0.248554388127254,-0.248554388127254,-0.248554388127254,-0.248554388127254
"CD24",0.248554388127254,0.248554388127254,0.24795965575682,0.214924158739959,0.183865699666159,0.100665564986647,0.0072426285143456,-0.0690838829717154,-0.113218447413451,-0.251443872786175,-0.24795965575682,-0.24795965575682,-0.248554388127254,-0.248554388127254,-0.248554388127254,-0.248554388127254
"ESRP1",0.24795965575682,0.24795965575682,0.239053803339518,0.213765043882214,0.184287195978067,0.100570957607272,0.00772572030178521,-0.0680793167616697,-0.112761826408885,-0.248554388127254,-0.339053803339518,-0.239053803339518,-0.24795965575682,-0.24795965575682,-0.24795965575682,-0.24795965575682
"MIR200",0.215282700898355,0.215282700898355,0.21371308064519,0.28115546155736,0.0715487282418474,0.112875077775186,0.00260267831209351,-0.0653543128308424,-0.129833380239782,-0.21684657367994,-0.21371308064519,-0.21371308064519,-0.215282700898355,-0.215282700898355,-0.215282700898355,-0.215282700898355
"SNAIL1",0.103405252524386,0.103405252524386,0.102949168958107,0.116008665083782,-0.00837151727931443,-0.0761274623174569,0.0746448036040013,-0.0215837756637639,-0.0826959787231318,-0.103647725751301,-0.102949168958107,-0.102949168958107,-0.103405252524386,-0.103405252524386,-0.103405252524386,-0.103405252524386
"MIR34",0.102949168958107,0.102949168958107,0.103291928169761,0.11544135306217,-0.00836251232659043,0.0242802441338982,0.0747260647774127,-0.0211431131504681,-0.0822857067279943,-0.103405252524386,-0.103291928169761,-0.103291928169761,-0.102949168958107,-0.102949168958107,-0.102949168958107,-0.102949168958107
"MIR190",0.103291928169761,0.103291928169761,0.100284409372768,0.115781756309094,-0.0082839577311466,0.0235374400484757,-0.0254161827332559,-0.0213630867536357,-0.0821537225660937,-0.102949168958107,-0.100284409372768,-0.100284409372768,-0.103291928169761,-0.103291928169761,-0.103291928169761,-0.103291928169761
"MIR129",-0.0298152694571379,-0.0298152694571379,-0.0289210816777042,-0.0251669385333657,-0.012539333823883,-0.0167275943246058,-0.0041080393427251,-0.106468579007393,0.046132059146716,0.030040776848769,0.0289210816777042,0.0289210816777042,0.0298152694571379,0.0298152694571379,0.0298152694571379,0.0298152694571379
"TWIST1",-0.030040776848769,-0.030040776848769,-0.0298152694571379,-0.0254441174677667,-0.012539333823883,-0.0164119637496092,-0.00391080068394798,-0.106442421539436,-0.0542340496398948,0.0305105054500217,0.0298152694571379,0.0298152694571379,0.030040776848769,0.030040776848769,0.030040776848769,0.030040776848769
"TGFB",-0.102949168958107,-0.102949168958107,-0.103291928169761,-0.11544135306217,0.00836251232659043,-0.0242802441338982,-0.0747260647774127,0.0211431131504681,0.0822857067279943,0.103405252524386,0.103291928169761,0.103291928169761,0.102949168958107,0.102949168958107,0.102949168958107,0.102949168958107
"ZEB1",-0.251443872786175,-0.251443872786175,-0.248554388127254,-0.216733699957287,-0.18560212810703,-0.100991191818298,-0.00773043339239438,0.0689903959040931,0.113623558039815,0.151861515650594,0.248554388127254,0.248554388127254,0.251443872786175,0.251443872786175,0.251443872786175,0.251443872786175
"HAS2",-0.24795965575682,-0.24795965575682,-0.339053803339518,-0.213765043882214,-0.184287195978067,-0.100570957607272,-0.00772572030178521,0.0680793167616697,0.112761826408885,0.248554388127254,0.239053803339518,0.239053803339518,0.24795965575682,0.24795965575682,0.24795965575682,0.24795965575682
"MIR1199",-0.248554388127254,-0.248554388127254,-0.24795965575682,-0.214924158739959,-0.183865699666159,-0.100665564986647,-0.0072426285143456,0.0690838829717154,0.113218447413451,0.251443872786175,0.24795965575682,0.24795965575682,0.248554388127254,0.248554388127254,0.248554388127254,0.248554388127254
"CD44s",-0.248554388127254,-0.248554388127254,-0.24795965575682,-0.214924158739959,-0.183865699666159,-0.100665564986647,-0.0072426285143456,0.0690838829717154,0.113218447413451,0.251443872786175,0.24795965575682,0.24795965575682,0.248554388127254,0.248554388127254,0.248554388127254,0.248554388127254
