"","MIR34","MIR200","MIR340","MIR190","MIR1199","GRHL2","ESRP1","CD24","TWIST1","SNAIL1","ZEB1","MIR129","HA","CD44s","HAS2","TGFB"
"SNAIL1",0.279182743538019,-0.129312474256195,0.147335534556339,0.147335534556339,0.147335534556339,0.147335534556339,0.147335534556339,0.147232547944598,0.154756609047851,0.22173007637696,-0.147527492527646,-0.154756609047851,-0.147232547944598,-0.147232547944598,-0.147335534556339,0.0688644446047235
"TGFB",0.278651451327303,-0.128907251383615,0.147232547944598,0.147232547944598,0.147232547944598,0.147232547944598,0.147232547944598,0.146804098930031,0.154194384461921,0.321242427484163,-0.147335534556339,-0.154194384461921,-0.146804098930031,-0.146804098930031,-0.147232547944598,0.0688806968394058
"MIR34",0.278651451327303,-0.128907251383615,0.147232547944598,0.147232547944598,0.147232547944598,0.147232547944598,0.147232547944598,0.146804098930031,0.154194384461921,0.321242427484163,-0.147335534556339,-0.154194384461921,-0.146804098930031,-0.146804098930031,-0.147232547944598,0.0688806968394058
"MIR340",0.0969539247506217,0.0924686986628619,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0919700982405453,0.0557489286968739,0.0544049986883184,-0.0920340789815324,-0.0557489286968739,-0.0919700982405453,-0.0919700982405453,-0.0918851364733406,-0.0938429222246137
"HA",0.0969539247506217,0.0924686986628619,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0919700982405453,0.0557489286968739,0.0544049986883184,-0.0920340789815324,-0.0557489286968739,-0.0919700982405453,-0.0919700982405453,-0.0918851364733406,-0.0938429222246137
"CD44s",0.0969539247506217,0.0924686986628619,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0919700982405453,0.0557489286968739,0.0544049986883184,-0.0920340789815324,-0.0557489286968739,-0.0919700982405453,-0.0919700982405453,-0.0918851364733406,-0.0938429222246137
"CD24",0.0969539247506217,0.0924686986628619,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0918851364733406,0.0919700982405453,0.0557489286968739,0.0544049986883184,-0.0920340789815324,-0.0557489286968739,-0.0919700982405453,-0.0919700982405453,-0.0918851364733406,-0.0938429222246137
"HAS2",0.0967431765946681,0.0927848208967923,0.0919700982405453,0.0919700982405453,0.0919700982405453,0.0919700982405453,0.0919700982405453,0.0927334570191713,0.0552923076923077,0.0548780355851963,-0.0918851364733406,-0.0552923076923077,0.0072665429808287,-0.0927334570191713,-0.0919700982405453,-0.0941327772970775
"MIR200",-0.0603500706600398,0.203394183138319,0.0550826600119301,0.0550826600119301,0.0550826600119301,0.0550826600119301,0.0550826600119301,0.0556396220372466,-0.113335520203392,-0.179052453978928,-0.0549948019904927,0.113335520203392,-0.0556396220372466,-0.0556396220372466,-0.0550826600119301,-0.285604491765087
"ZEB1",-0.0968625337800496,-0.0927428715745782,-0.0920340789815324,-0.0920340789815324,-0.0920340789815324,-0.0920340789815324,-0.0920340789815324,-0.0918851364733406,-0.0552814933587623,-0.054274747955658,-0.0080372258977586,0.0552814933587623,0.0918851364733406,0.0918851364733406,0.0920340789815324,0.093615279948191
"GRHL2",-0.00163716481324489,0.00690265423249273,0.00390438306742038,0.00390438306742038,0.00390438306742038,0.00390438306742038,0.00390438306742038,0.104031771602452,-0.0549740398215332,-0.051987371062249,-0.00377204958704985,0.0549740398215332,-0.00403177160245223,-0.00403177160245223,-0.00390438306742038,-0.00473372020345091
"MIR129",-0.154803181449451,0.132979458781154,-0.0184025399472962,-0.0184025399472962,-0.0184025399472962,-0.0184025399472962,-0.0184025399472962,-0.0170612582781457,0.0646416530393879,-0.307748251900327,0.018728272846319,0.289378413044732,0.0170612582781457,0.0170612582781457,0.0184025399472962,-0.080934951491833
"TWIST1",-0.155573122933898,0.133349030693688,-0.018728272846319,-0.018728272846319,-0.018728272846319,-0.018728272846319,-0.018728272846319,-0.0184025399472962,-0.0359859620233736,-0.308969604994879,0.0189022464023385,0.29003234974366,0.0184025399472962,0.0184025399472962,0.018728272846319,-0.0806813589305481
"ESRP1",-0.0967431765946681,-0.0927848208967923,-0.0919700982405453,-0.0919700982405453,-0.0919700982405453,-0.0919700982405453,-0.0919700982405453,-0.0927334570191713,-0.0552923076923077,-0.0548780355851963,0.0918851364733406,0.0552923076923077,0.0927334570191713,-0.0072665429808287,0.0919700982405453,0.0941327772970775
"MIR1199",-0.0969539247506217,-0.0924686986628619,-0.0918851364733406,-0.0918851364733406,-0.0918851364733406,-0.0918851364733406,-0.0918851364733406,-0.0919700982405453,-0.0557489286968739,-0.0544049986883184,0.0920340789815324,0.0557489286968739,0.0919700982405453,0.0919700982405453,0.0918851364733406,0.0938429222246137
"MIR190",-0.277892090238012,0.128671587597284,-0.146804098930031,-0.146804098930031,-0.146804098930031,-0.146804098930031,-0.146804098930031,-0.145550966097951,-0.153534463652419,-0.320035370845352,0.147232547944598,0.153534463652419,0.145550966097951,0.145550966097951,0.146804098930031,-0.169117776023853
