"","SNAIL1","MIR34","TWIST1","MIR129","HA","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","ZEB1","TGFB","CD44s"
"MIR200",0.259824146777959,0.278851630101269,0.154543544285842,0.154543544285842,0.139263264112502,0.139263264112502,0.139313897023894,0.139313897023894,0.139313897023894,0.139313897023894,0.139313897023894,0.139313897023894,-0.0285584598461748,-0.139296325419606,-0.0326087647151963,-0.139263264112502
"TGFB",0.272035916222693,0.252171174087499,0.131988009468772,0.131988009468772,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,-0.114620796868461,-0.136910727778141,-0.155104921029147,-0.136925440151247
"SNAIL1",0.172027921978548,0.252162169134775,0.131972814209693,0.131972814209693,0.136925440151247,0.136925440151247,0.136910727778141,0.136910727778141,0.136910727778141,0.136910727778141,0.136910727778141,0.136910727778141,-0.114629801821185,-0.136910727778141,-0.15512117326383,-0.136925440151247
"MIR34",0.272035916222693,0.252171174087499,0.131988009468772,0.131988009468772,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,0.136925440151247,-0.114620796868461,-0.136910727778141,-0.155104921029147,-0.136925440151247
"MIR1199",0.149637842264526,0.143297183261448,0.108583631893221,0.108583631893221,0.10518772394454,0.10518772394454,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.0640328962208363,-0.105242897210106,-0.0233793757173244,-0.10518772394454
"CD44s",0.149637842264526,0.143297183261448,0.108583631893221,0.108583631893221,0.10518772394454,0.10518772394454,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.0640328962208363,-0.105242897210106,-0.0233793757173244,-0.10518772394454
"CD24",0.149637842264526,0.143297183261448,0.108583631893221,0.108583631893221,0.10518772394454,0.10518772394454,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.105272685711744,0.0640328962208363,-0.105242897210106,-0.0233793757173244,-0.10518772394454
"MIR129",0.246611621573388,0.123074207552839,-0.0933195041689379,0.261770902791142,0.00732891832229581,0.00732891832229581,0.00747794961886809,0.00747794961886809,0.00747794961886809,0.00747794961886809,0.00747794961886809,0.00747794961886809,-0.114698157066324,-0.00745289324202018,-0.0784519316977551,-0.00732891832229581
"GRHL2",-0.0999647266313933,-0.0219112442789104,-0.084530646236002,-0.084530646236002,-0.00261472830059218,0.0973852716994078,-0.00274211683562402,-0.00274211683562402,-0.00274211683562402,-0.00274211683562402,-0.00274211683562402,-0.00274211683562402,0.0180887557210896,0.00269800567550051,0.0111111111111111,0.00261472830059218
"ZEB1",-0.149637842264526,-0.143278905067333,-0.108552469537347,-0.108552469537347,-0.105272685711744,-0.105272685711744,-0.105242897210106,-0.105242897210106,-0.105242897210106,-0.105242897210106,-0.105242897210106,-0.105242897210106,-0.0640146180267219,0.00525308362143333,0.0234118960425276,0.105272685711744
"TWIST1",-0.246652790778822,-0.123105005212217,-0.00668049583106212,-0.261797060259099,-0.00747794961886809,-0.00747794961886809,-0.00745289324202018,-0.00745289324202018,-0.00745289324202018,-0.00745289324202018,-0.00745289324202018,-0.00745289324202018,0.11475975238508,0.00747029059762213,0.0785364625515167,0.00747794961886809
"MIR340",-0.149637842264526,-0.143297183261448,-0.108583631893221,-0.108583631893221,-0.10518772394454,-0.10518772394454,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.0640328962208363,0.105242897210106,0.0233793757173244,0.10518772394454
"HA",-0.149637842264526,-0.143297183261448,-0.108583631893221,-0.108583631893221,-0.10518772394454,-0.10518772394454,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.105272685711744,-0.0640328962208363,0.105242897210106,0.0233793757173244,0.10518772394454
"HAS2",-0.149637842264526,-0.143191809183471,-0.108492307692308,-0.108492307692308,-0.0054421768707483,-0.105442176870748,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.0640328962208363,0.105272685711744,0.0232827573598365,0.105442176870748
"ESRP1",-0.149637842264526,-0.143191809183471,-0.108492307692308,-0.108492307692308,-0.105442176870748,-0.105442176870748,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.10518772394454,-0.0640328962208363,0.105272685711744,0.0232827573598365,0.0054421768707483
"MIR190",-0.272035916222693,-0.252144989222351,-0.131944014748138,-0.131944014748138,-0.136925440151247,-0.136925440151247,-0.136925440151247,-0.136925440151247,-0.136925440151247,-0.136925440151247,-0.136925440151247,-0.136925440151247,0.114594612003313,0.136925440151247,0.0550575051922579,0.136925440151247
