"","MIR1199","GRHL2","ESRP1","HA","CD24","MIR200","MIR129","TGFB","TWIST1","SNAIL1","MIR34","ZEB1","CD44s","MIR340","MIR190","HAS2"
"GRHL2",0.584605309119232,0.584605309119232,0.584605309119232,0.563840977909041,0.663840977909041,0.504910730383823,0.116745040304224,-0.0216313778891634,-0.116745040304224,-0.160715799980591,-0.424362482515816,-0.603484885652095,-0.563840977909041,-0.584605309119232,-0.584605309119232,-0.584605309119232
"MIR1199",0.447280630036264,0.447280630036264,0.447280630036264,0.429523620690469,0.429523620690469,0.363950705214809,0.102247694287984,-0.0120089029939987,-0.102247694287984,-0.136789233070688,-0.308805087805717,-0.466553790596287,-0.429523620690469,-0.447280630036264,-0.447280630036264,-0.447280630036264
"HA",0.447280630036264,0.447280630036264,0.447280630036264,0.429523620690469,0.429523620690469,0.363950705214809,0.102247694287984,-0.0120089029939987,-0.102247694287984,-0.136789233070688,-0.308805087805717,-0.466553790596287,-0.429523620690469,-0.447280630036264,-0.447280630036264,-0.447280630036264
"CD44s",0.447280630036264,0.447280630036264,0.447280630036264,0.429523620690469,0.429523620690469,0.363950705214809,0.102247694287984,-0.0120089029939987,-0.102247694287984,-0.136789233070688,-0.308805087805717,-0.466553790596287,-0.429523620690469,-0.447280630036264,-0.447280630036264,-0.447280630036264
"CD24",0.447280630036264,0.447280630036264,0.447280630036264,0.429523620690469,0.429523620690469,0.363950705214809,0.102247694287984,-0.0120089029939987,-0.102247694287984,-0.136789233070688,-0.308805087805717,-0.466553790596287,-0.429523620690469,-0.447280630036264,-0.447280630036264,-0.447280630036264
"MIR200",0.301908704691294,0.301908704691294,0.301908704691294,0.297604907222939,0.297604907222939,0.154747669227306,-0.0185872867808474,-0.0139824961301788,0.0185872867808474,-0.00901235303465879,-0.299336898186404,-0.31471840421686,-0.297604907222939,-0.301908704691294,-0.301908704691294,-0.301908704691294
"TGFB",0.138097571733183,0.138097571733183,0.138097571733183,0.141610853652634,0.141610853652634,0.136400670493356,0.0394417951201457,-0.0755712979140096,-0.0394417951201457,-0.0284991429635249,-0.0112408365166385,-0.144703427257679,-0.141610853652634,-0.138097571733183,-0.138097571733183,-0.138097571733183
"TWIST1",0.108717732831811,0.108717732831811,0.108717732831811,0.0986200129621039,0.0986200129621039,0.0723418688754292,0.0862196311281352,-0.000493891419783348,0.0271773382821736,-0.00179892826004095,-0.0669416804633694,-0.11023130276918,-0.0986200129621039,-0.108717732831811,-0.108717732831811,-0.108717732831811
"MIR129",0.0986200129621039,0.0986200129621039,0.0986200129621039,0.100408388520971,0.100408388520971,0.0639649055246439,0.0812235547483287,-0.0014237308111612,0.132145957529036,-0.00458471116109762,-0.0629071870848662,-0.108717732831811,-0.100408388520971,-0.0986200129621039,-0.0986200129621039,-0.0986200129621039
"MIR190",-0.141610853652634,-0.141610853652634,-0.141610853652634,-0.12607200653484,-0.12607200653484,-0.139359560255073,-0.0408936209010519,-0.0251399396393332,0.0408936209010519,0.0252493750898016,0.0125762646391837,0.138097571733183,0.12607200653484,0.141610853652634,0.141610853652634,0.141610853652634
"SNAIL1",-0.144703427257679,-0.144703427257679,-0.144703427257679,-0.138097571733183,-0.138097571733183,-0.14170458764779,-0.0420705749408416,0.0750674786388593,0.0420705749408416,-0.0734114813869427,0.014023366908354,0.144390232672914,0.138097571733183,0.144703427257679,0.144703427257679,0.144703427257679
"MIR34",-0.138097571733183,-0.138097571733183,-0.138097571733183,-0.141610853652634,-0.141610853652634,-0.136400670493356,-0.0394417951201457,0.0755712979140096,0.0394417951201457,0.0284991429635249,0.0112408365166385,0.144703427257679,0.141610853652634,0.138097571733183,0.138097571733183,0.138097571733183
"ZEB1",-0.466553790596287,-0.466553790596287,-0.466553790596287,-0.447280630036264,-0.447280630036264,-0.375228350983407,-0.0969189314335125,0.0149032119370881,0.0969189314335125,0.141803886278113,0.32117942522118,0.375426154862356,0.447280630036264,0.466553790596287,0.466553790596287,0.466553790596287
"HAS2",-0.429523620690469,-0.429523620690469,-0.429523620690469,-0.499752628324057,-0.399752628324057,-0.348249967596263,-0.0893709819592172,0.0136514150712934,0.0893709819592172,0.138208343761322,0.302482643127108,0.447280630036264,0.399752628324057,0.429523620690469,0.429523620690469,0.429523620690469
"ESRP1",-0.429523620690469,-0.429523620690469,-0.429523620690469,-0.399752628324057,-0.399752628324057,-0.348249967596263,-0.0893709819592172,0.0136514150712934,0.0893709819592172,0.138208343761322,0.302482643127108,0.447280630036264,0.299752628324057,0.429523620690469,0.429523620690469,0.429523620690469
"MIR340",-0.447280630036264,-0.447280630036264,-0.447280630036264,-0.429523620690469,-0.429523620690469,-0.363950705214809,-0.102247694287984,0.0120089029939987,0.102247694287984,0.136789233070688,0.308805087805717,0.466553790596287,0.429523620690469,0.447280630036264,0.447280630036264,0.447280630036264
