"","MIR129","HA","CD44s","MIR340","GRHL2","ESRP1","ZEB1","TGFB","MIR34","MIR200","MIR190","MIR1199","HAS2","CD24","SNAIL1","TWIST1"
"MIR340",0.282411805760718,0.0651198855669957,0.0651198855669957,0.0646950767309719,0.0646950767309719,0.0646950767309719,-0.0638312101834592,0.030285031623774,0.00520091387407825,0.00520091387407825,-0.0646950767309719,-0.0646950767309719,-0.0646950767309719,-0.0651198855669957,-0.241800027699539,-0.282411805760718
"MIR1199",0.282411805760718,0.0651198855669957,0.0651198855669957,0.0646950767309719,0.0646950767309719,0.0646950767309719,-0.0638312101834592,0.030285031623774,0.00520091387407825,0.00520091387407825,-0.0646950767309719,-0.0646950767309719,-0.0646950767309719,-0.0651198855669957,-0.241800027699539,-0.282411805760718
"HA",0.282411805760718,0.0651198855669957,0.0651198855669957,0.0646950767309719,0.0646950767309719,0.0646950767309719,-0.0638312101834592,0.030285031623774,0.00520091387407825,0.00520091387407825,-0.0646950767309719,-0.0646950767309719,-0.0646950767309719,-0.0651198855669957,-0.241800027699539,-0.282411805760718
"CD24",0.282411805760718,0.0651198855669957,0.0651198855669957,0.0646950767309719,0.0646950767309719,0.0646950767309719,-0.0638312101834592,0.030285031623774,0.00520091387407825,0.00520091387407825,-0.0646950767309719,-0.0646950767309719,-0.0646950767309719,-0.0651198855669957,-0.241800027699539,-0.282411805760718
"ZEB1",-0.285808502550995,-0.0646950767309719,-0.0646950767309719,-0.0638312101834592,-0.0638312101834592,-0.0638312101834592,-0.0363623316317592,-0.0290167389408472,-0.00335481626852168,-0.00335481626852168,0.0638312101834592,0.0638312101834592,0.0638312101834592,0.0646950767309719,0.243395599174628,0.285808502550995
"MIR129",0.483203622681005,0.034144591611479,0.034144591611479,0.0348897480943404,0.0348897480943404,0.0348897480943404,-0.0353157065007549,-0.0723525724400824,-0.131407816008353,-0.131407816008353,-0.0348897480943404,-0.0348897480943404,-0.0348897480943404,-0.034144591611479,-0.336579769622885,-0.485043073737278
"MIR190",-0.318359097179967,0.0301952231966257,0.0301952231966257,0.0311977294622899,0.0311977294622899,0.0311977294622899,-0.0307692804477226,0.0673788241434111,0.190279491169233,0.190279491169233,-0.0311977294622899,-0.0311977294622899,-0.0311977294622899,-0.0301952231966257,0.261912763133648,0.318359097179967
"SNAIL1",-0.324377221988731,0.0307692804477226,0.0307692804477226,0.0298424009420584,0.0298424009420584,0.0298424009420584,-0.0292766300792578,0.169945983671232,0.190600929547144,0.190600929547144,-0.0298424009420584,-0.0298424009420584,-0.0298424009420584,-0.0307692804477226,0.162892020927832,0.324377221988731
"GRHL2",0.18024416792352,-0.00927240047135335,-0.00927240047135335,-0.01041889728664,-0.01041889728664,-0.01041889728664,0.0109482312081221,-0.0272403658797749,-0.0423951501503698,-0.0423951501503698,0.01041889728664,0.01041889728664,0.01041889728664,-0.0907275995286466,-0.147169809670719,-0.18024416792352
"TGFB",0.322538595640152,-0.0311977294622899,-0.0311977294622899,-0.0307692804477226,-0.0307692804477226,-0.0307692804477226,0.0298424009420584,-0.169702200150998,-0.190934112797932,-0.190934112797932,0.0307692804477226,0.0307692804477226,0.0307692804477226,0.0311977294622899,-0.262516291453054,-0.322538595640152
"MIR34",0.322538595640152,-0.0311977294622899,-0.0311977294622899,-0.0307692804477226,-0.0307692804477226,-0.0307692804477226,0.0298424009420584,-0.169702200150998,-0.190934112797932,-0.190934112797932,0.0307692804477226,0.0307692804477226,0.0307692804477226,0.0311977294622899,-0.262516291453054,-0.322538595640152
"TWIST1",-0.487885809445327,-0.0348897480943404,-0.0348897480943404,-0.0353157065007549,-0.0353157065007549,-0.0353157065007549,0.0356984483239977,0.073113350123937,0.132454936427201,0.132454936427201,0.0353157065007549,0.0353157065007549,0.0353157065007549,0.0348897480943404,0.338569614552211,0.389750186707989
"CD44s",-0.282411805760718,-0.0651198855669957,-0.0651198855669957,-0.0646950767309719,-0.0646950767309719,-0.0646950767309719,0.0638312101834592,-0.030285031623774,-0.00520091387407825,-0.00520091387407825,0.0646950767309719,0.0646950767309719,0.0646950767309719,0.0651198855669957,0.241800027699539,0.282411805760718
"HAS2",-0.279032810326928,-0.161811997526283,-0.0618119975262832,-0.0651198855669957,-0.0651198855669957,-0.0651198855669957,0.0646950767309719,-0.0280628094015518,-0.00699227319968416,-0.00699227319968416,0.0651198855669957,0.0651198855669957,0.0651198855669957,0.0618119975262832,0.238394162042018,0.279032810326928
"ESRP1",-0.279032810326928,-0.0618119975262832,0.0381880024737168,-0.0651198855669957,-0.0651198855669957,-0.0651198855669957,0.0646950767309719,-0.0280628094015518,-0.00699227319968416,-0.00699227319968416,0.0651198855669957,0.0651198855669957,0.0651198855669957,0.0618119975262832,0.238394162042018,0.279032810326928
"MIR200",0.106294938164386,-0.0726004975339568,-0.0726004975339568,-0.072752396268134,-0.072752396268134,-0.072752396268134,0.0720671037009227,-0.0710149673134394,-0.169661723902741,-0.169661723902741,0.072752396268134,0.072752396268134,0.072752396268134,0.0726004975339568,-0.0560746864008559,-0.106294938164386
