"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD24","SNAIL1","TWIST1","MIR129","MIR34","TGFB","ZEB1","MIR200","HA","CD44s"
"GRHL2",0.226059094078469,0.226059094078469,0.226059094078469,0.226059094078469,0.226059094078469,0.226059094078469,0.326696036753628,0.153405971017655,0.117062960138424,0.117062960138424,0.179682543464068,-0.0219208277103014,-0.226103205238593,-0.179682543464068,-0.226696036753628,-0.226696036753628
"MIR129",0.209635810937515,0.209635810937515,0.209635810937515,0.209635810937515,0.209635810937515,0.209635810937515,0.209337748344371,0.244510065770449,-0.0942982456140351,0.260801201141281,-0.0125242029808388,-0.0779581045372612,-0.209560641806972,0.0125242029808388,-0.209337748344371,-0.209337748344371
"HA",0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.14383954831065,0.128319869900809,0.0970740509557593,0.0970740509557593,0.0909357206298532,-0.0196018376387016,-0.143402565923829,-0.0909357206298532,-0.14383954831065,-0.14383954831065
"CD24",0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.143074892405807,0.14383954831065,0.128319869900809,0.0970740509557593,0.0970740509557593,0.0909357206298532,-0.0196018376387016,-0.143402565923829,-0.0909357206298532,-0.14383954831065,-0.14383954831065
"ESRP1",0.14383954831065,0.14383954831065,0.14383954831065,0.14383954831065,0.14383954831065,0.14383954831065,0.144094001236858,0.127941440383307,0.0968000783530195,0.0968000783530195,0.0913572169417605,-0.0198916927111653,-0.143074892405807,-0.0913572169417605,-0.144094001236858,-0.244094001236858
"MIR190",0.0545318631566509,0.0545318631566509,0.0545318631566509,0.0545318631566509,0.0545318631566509,0.0545318631566509,0.0537799834574028,0.17218081246772,0.0883279176211303,0.0883279176211303,-0.108957987159042,-0.223513923379171,-0.0547889325653913,0.108957987159042,-0.0537799834574028,-0.0537799834574028
"SNAIL1",0.0545093974763814,0.0545093974763814,0.0545093974763814,0.0545093974763814,0.0545093974763814,0.0545093974763814,0.0547889325653913,0.0720990366202396,0.0880047593176164,0.0880047593176164,-0.108821377852675,-0.123702245859571,-0.0545498096808672,0.108821377852675,-0.0547889325653913,-0.0547889325653913
"MIR34",0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0547889325653913,0.0545318631566509,0.171995111446365,0.0880199545766956,0.0880199545766956,-0.108722323372711,-0.123751002563618,-0.0545093974763814,0.108722323372711,-0.0545318631566509,-0.0545318631566509
"ZEB1",-0.143402565923829,-0.143402565923829,-0.143402565923829,-0.143402565923829,-0.143402565923829,-0.143402565923829,-0.143074892405807,-0.128222181851314,-0.0972298627351298,-0.0972298627351298,-0.0909905552121965,0.0195693173134983,0.0434534979804654,0.0909905552121965,0.143074892405807,0.143074892405807
"TGFB",-0.0547889325653913,-0.0547889325653913,-0.0547889325653913,-0.0547889325653913,-0.0547889325653913,-0.0547889325653913,-0.0545318631566509,-0.171995111446365,-0.0880199545766956,-0.0880199545766956,0.108722323372711,0.123751002563618,0.0545093974763814,-0.108722323372711,0.0545318631566509,0.0545318631566509
"MIR200",-0.121649740081309,-0.121649740081309,-0.121649740081309,-0.121649740081309,-0.121649740081309,-0.121649740081309,-0.122409233752195,0.0714763033041732,0.06097088291657,0.06097088291657,-0.19475863485407,-0.191017617487552,0.121737598102746,0.19475863485407,0.122409233752195,0.122409233752195
"HAS2",-0.14383954831065,-0.14383954831065,-0.14383954831065,-0.14383954831065,-0.14383954831065,-0.14383954831065,-0.144094001236858,-0.127941440383307,-0.0968000783530195,-0.0968000783530195,-0.0913572169417605,0.0198916927111653,0.143074892405807,0.0913572169417605,0.0440940012368584,0.144094001236858
"MIR340",-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.14383954831065,-0.128319869900809,-0.0970740509557593,-0.0970740509557593,-0.0909357206298532,0.0196018376387016,0.143402565923829,0.0909357206298532,0.14383954831065,0.14383954831065
"MIR1199",-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.14383954831065,-0.128319869900809,-0.0970740509557593,-0.0970740509557593,-0.0909357206298532,0.0196018376387016,0.143402565923829,0.0909357206298532,0.14383954831065,0.14383954831065
"CD44s",-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.143074892405807,-0.14383954831065,-0.128319869900809,-0.0970740509557593,-0.0970740509557593,-0.0909357206298532,0.0196018376387016,0.143402565923829,0.0909357206298532,0.14383954831065,0.14383954831065
"TWIST1",-0.209560641806972,-0.209560641806972,-0.209560641806972,-0.209560641806972,-0.209560641806972,-0.209560641806972,-0.209635810937515,-0.244551234975883,-0.00564945313073479,-0.260775043673324,0.0125550006402167,0.0780426353910229,0.209525847095768,-0.0125550006402167,0.209635810937515,0.209635810937515
