"","TWIST1","SNAIL1","MIR340","MIR190","MIR1199","GRHL2","ZEB1","MIR34","HAS2","ESRP1","HA","CD44s","CD24","TGFB","MIR200","MIR129"
"GRHL2",0.226583197040352,0.190892898894351,0.283432313451689,0.283432313451689,0.283432313451689,0.283432313451689,-0.282285423288477,-0.211527409675847,-0.283432313451689,-0.283432313451689,-0.284069256126848,-0.284069256126848,-0.384069256126848,-0.301427523767159,-0.313603463975243,-0.226583197040352
"MIR200",-0.0379190562606857,0.0117550772921386,0.16397571489238,0.16397571489238,0.16397571489238,0.16397571489238,-0.163641854410918,-0.203965200359492,-0.16397571489238,-0.16397571489238,-0.163621284512633,-0.163621284512633,-0.163621284512633,0.0332991150290426,-0.0718339954768048,0.0379190562606857
"HAS2",0.203067857632564,0.16586954894682,0.154104292653911,0.154104292653911,0.154104292653911,0.154104292653911,-0.155208795627573,-0.0982995101933277,-0.154104292653911,-0.154104292653911,-0.0599567099567099,-0.15995670995671,-0.15995670995671,-0.179786632119289,-0.189663433184554,-0.203067857632564
"ESRP1",0.203067857632564,0.16586954894682,0.154104292653911,0.154104292653911,0.154104292653911,0.154104292653911,-0.155208795627573,-0.0982995101933277,-0.154104292653911,-0.154104292653911,-0.15995670995671,-0.0599567099567099,-0.15995670995671,-0.179786632119289,-0.189663433184554,-0.203067857632564
"MIR340",0.204985665851742,0.165585726808693,0.155208795627573,0.155208795627573,0.155208795627573,0.155208795627573,-0.153272543021079,-0.0986156324272582,-0.155208795627573,-0.155208795627573,-0.154104292653911,-0.154104292653911,-0.154104292653911,-0.175825279462284,-0.190717173964323,-0.204985665851742
"MIR1199",0.204985665851742,0.165585726808693,0.155208795627573,0.155208795627573,0.155208795627573,0.155208795627573,-0.153272543021079,-0.0986156324272582,-0.155208795627573,-0.155208795627573,-0.154104292653911,-0.154104292653911,-0.154104292653911,-0.175825279462284,-0.190717173964323,-0.204985665851742
"HA",0.204985665851742,0.165585726808693,0.155208795627573,0.155208795627573,0.155208795627573,0.155208795627573,-0.153272543021079,-0.0986156324272582,-0.155208795627573,-0.155208795627573,-0.154104292653911,-0.154104292653911,-0.154104292653911,-0.175825279462284,-0.190717173964323,-0.204985665851742
"CD44s",0.204985665851742,0.165585726808693,0.155208795627573,0.155208795627573,0.155208795627573,0.155208795627573,-0.153272543021079,-0.0986156324272582,-0.155208795627573,-0.155208795627573,-0.154104292653911,-0.154104292653911,-0.154104292653911,-0.175825279462284,-0.190717173964323,-0.204985665851742
"MIR129",-0.220420051855761,-0.00445721331481608,0.0647346058566339,0.0647346058566339,0.0647346058566339,0.0647346058566339,-0.0670147361497935,-0.0438903551661723,-0.0647346058566339,-0.0647346058566339,-0.0677152317880795,-0.0677152317880795,-0.0677152317880795,-0.0517933176167066,-0.0406641942657002,0.246392541133089
"SNAIL1",0.143373348918854,-0.055494131058522,0.016181006800657,0.016181006800657,0.016181006800657,0.016181006800657,-0.0154131749154276,0.0638916030765708,-0.016181006800657,-0.016181006800657,-0.0150775788177233,-0.0150775788177233,-0.0150775788177233,-0.0916197603117683,-0.0803842920811652,-0.143373348918854
"MIR190",0.143354095796924,0.0454371612707966,0.0170484442847328,0.0170484442847328,0.0170484442847328,0.0170484442847328,-0.0150775788177233,0.0630467173367823,-0.0170484442847328,-0.0170484442847328,-0.0162965645854846,-0.0162965645854846,-0.0162965645854846,-0.193105579832436,-0.0805976710263879,-0.143354095796924
"TGFB",-0.143662058841358,-0.0448336329513909,-0.0150775788177233,-0.0150775788177233,-0.0150775788177233,-0.0150775788177233,0.016181006800657,-0.0648011033016946,0.0150775788177233,0.0150775788177233,0.0170484442847328,0.0170484442847328,0.0170484442847328,0.0927736689742094,0.0799430493976893,0.143662058841358
"MIR34",-0.143662058841358,-0.0448336329513909,-0.0150775788177233,-0.0150775788177233,-0.0150775788177233,-0.0150775788177233,0.016181006800657,-0.0648011033016946,0.0150775788177233,0.0150775788177233,0.0170484442847328,0.0170484442847328,0.0170484442847328,0.0927736689742094,0.0799430493976893,0.143662058841358
"ZEB1",-0.205453101189853,-0.165455476076032,-0.153272543021079,-0.153272543021079,-0.153272543021079,-0.153272543021079,0.0534253391909883,0.0975372189745073,0.153272543021079,0.153272543021079,0.155208795627573,0.155208795627573,0.155208795627573,0.176898450193992,0.189419422182199,0.205453101189853
"TWIST1",0.11989703930346,0.00383967523330105,-0.0670147361497935,-0.0670147361497935,-0.0670147361497935,-0.0670147361497935,0.0654489741456181,0.0454610357944445,0.0670147361497935,0.0670147361497935,0.0647346058566339,0.0647346058566339,0.0647346058566339,0.0502435852977436,0.0418961006408157,-0.24584323430599
"CD24",-0.204985665851742,-0.165585726808693,-0.155208795627573,-0.155208795627573,-0.155208795627573,-0.155208795627573,0.153272543021079,0.0986156324272582,0.155208795627573,0.155208795627573,0.154104292653911,0.154104292653911,0.154104292653911,0.175825279462284,0.190717173964323,0.204985665851742
