"","MIR34","MIR200","MIR340","MIR190","ESRP1","HA","TGFB","ZEB1","TWIST1","CD44s","CD24","MIR1199","HAS2","GRHL2","SNAIL1","MIR129"
"GRHL2",0.241559699963843,0.241559699963843,0.194857710135931,0.194857710135931,0.194857710135931,0.194985098670963,0.0260738951122854,-0.194857710135931,-0.113030594918054,-0.194985098670963,-0.0949850986709625,-0.194857710135931,-0.194857710135931,-0.194857710135931,-0.174559407421289,-0.180869465999933
"SNAIL1",-0.101623975130032,-0.101623975130032,0.130373425072002,0.130373425072002,0.130373425072002,0.130388137445107,-0.144380776372873,-0.130383528123123,0.0756679000275224,-0.130388137445107,-0.130388137445107,-0.130373425072002,-0.130373425072002,-0.130373425072002,0.133079055736258,0.210474517639817
"TGFB",-0.101614970177308,-0.101614970177308,0.130388137445107,0.130388137445107,0.130388137445107,0.130473827248021,-0.144397028607555,-0.130373425072002,0.0756223142502849,-0.130473827248021,-0.130473827248021,-0.130388137445107,-0.130388137445107,-0.130388137445107,0.233071061492114,0.210459322380738
"MIR200",0.0226215089755551,0.0226215089755551,0.130094351631217,0.130094351631217,0.130094351631217,0.130144984542609,0.00198069934950989,-0.130076780026929,0.0566470669047696,-0.130144984542609,-0.130144984542609,-0.130094351631217,-0.130094351631217,-0.130094351631217,0.0910431554849474,0.112917809792613
"MIR340",0.136525142516804,0.136525142516804,0.0955789526535254,0.0955789526535254,0.0955789526535254,0.0956639144207301,0.0233793757173244,-0.0956087411551637,-0.0930163681067791,-0.0956639144207301,-0.0956639144207301,-0.0955789526535254,-0.0955789526535254,-0.0955789526535254,-0.149637842264526,-0.15911839125151
"MIR1199",0.136525142516804,0.136525142516804,0.0955789526535254,0.0955789526535254,0.0955789526535254,0.0956639144207301,0.0233793757173244,-0.0956087411551637,-0.0930163681067791,-0.0956639144207301,-0.0956639144207301,-0.0955789526535254,-0.0955789526535254,-0.0955789526535254,-0.149637842264526,-0.15911839125151
"HA",0.136525142516804,0.136525142516804,0.0955789526535254,0.0955789526535254,0.0955789526535254,0.0956639144207301,0.0233793757173244,-0.0956087411551637,-0.0930163681067791,-0.0956639144207301,-0.0956639144207301,-0.0955789526535254,-0.0955789526535254,-0.0955789526535254,-0.149637842264526,-0.15911839125151
"CD24",0.136525142516804,0.136525142516804,0.0955789526535254,0.0955789526535254,0.0955789526535254,0.0956639144207301,0.0233793757173244,-0.0956087411551637,-0.0930163681067791,-0.0956639144207301,-0.0956639144207301,-0.0955789526535254,-0.0955789526535254,-0.0955789526535254,-0.149637842264526,-0.15911839125151
"ESRP1",0.136525142516804,0.136525142516804,0.0956639144207301,0.0956639144207301,0.0956639144207301,0.0959183673469388,0.0232827573598365,-0.0955789526535254,-0.0931076923076923,-0.195918367346939,-0.0959183673469388,-0.0956639144207301,-0.0956639144207301,-0.0956639144207301,-0.149637842264526,-0.159027067050596
"MIR129",-0.0979207188399531,-0.0979207188399531,0.0160789183222958,0.0160789183222958,0.0160789183222958,0.0160789183222958,-0.0717550395036473,-0.0160037491917521,-0.0261675333327565,-0.0160789183222958,-0.0160789183222958,-0.0160789183222958,-0.0160789183222958,-0.0160789183222958,0.221152015129161,0.104786564898401
"ZEB1",-0.136543420710919,-0.136543420710919,-0.0956087411551637,-0.0956087411551637,-0.0956087411551637,-0.0955789526535254,-0.0234118960425276,-0.00438107243350898,0.092985205750905,0.0955789526535254,0.0955789526535254,0.0956087411551637,0.0956087411551637,0.0956087411551637,0.149637842264526,0.159087228895636
"TWIST1",0.097951516499331,0.097951516499331,-0.0160037491917521,-0.0160037491917521,-0.0160037491917521,-0.0160789183222958,0.0717268625523934,0.0159863518361501,-0.0738847679224736,0.0160789183222958,0.0160789183222958,0.0160037491917521,0.0160037491917521,0.0160037491917521,-0.221165738197639,-0.104655777558616
"HAS2",-0.136525142516804,-0.136525142516804,-0.0956639144207301,-0.0956639144207301,-0.0956639144207301,-0.195918367346939,-0.0232827573598365,0.0955789526535254,0.0931076923076923,0.0959183673469388,0.0959183673469388,0.0956639144207301,0.0956639144207301,0.0956639144207301,0.149637842264526,0.159027067050596
"CD44s",-0.136525142516804,-0.136525142516804,-0.0955789526535254,-0.0955789526535254,-0.0955789526535254,-0.0956639144207301,-0.0233793757173244,0.0956087411551637,0.0930163681067791,0.0956639144207301,0.0956639144207301,0.0955789526535254,0.0955789526535254,0.0955789526535254,0.149637842264526,0.15911839125151
"MIR34",0.101614970177308,0.101614970177308,-0.130388137445107,-0.130388137445107,-0.130388137445107,-0.130473827248021,0.144397028607555,0.130373425072002,-0.0756223142502849,0.130473827248021,0.130473827248021,0.130388137445107,0.130388137445107,0.130388137445107,-0.233071061492114,-0.210459322380738
"MIR190",0.10158878531216,0.10158878531216,-0.130473827248021,-0.130473827248021,-0.130473827248021,-0.130473827248021,0.0444444444444444,0.130388137445107,-0.0755783195296514,0.130473827248021,0.130473827248021,0.130473827248021,0.130473827248021,0.130473827248021,-0.233071061492114,-0.210591306542638
