"","MIR190","HAS2","GRHL2","ESRP1","CD44s","CD24","TWIST1","MIR200","SNAIL1","TGFB","ZEB1","MIR34","MIR129","HA","MIR340","MIR1199"
"GRHL2",0.368208137106326,0.368208137106326,0.368208137106326,0.368208137106326,0.362348264494861,0.462348264494861,0.201949104737042,0.274912623131638,0.169577027358876,-0.0236688440230238,-0.371428251795343,-0.274912623131638,-0.201949104737042,-0.362348264494861,-0.368208137106326,-0.368208137106326
"TWIST1",0.294185098286242,0.294185098286242,0.294185098286242,0.294185098286242,0.290952825672862,0.290952825672862,-0.0427760503967788,0.221412078148577,-0.112440743456562,0.0444341656978583,-0.295750860290417,-0.221412078148577,-0.0123836071967457,-0.290952825672862,-0.294185098286242,-0.294185098286242
"MIR340",0.260965741793614,0.260965741793614,0.260965741793614,0.260965741793614,0.256122921062943,0.256122921062943,0.180756748381889,0.170205843503478,0.145411548502733,-0.0209954394803147,-0.263616918439429,-0.170205843503478,-0.180756748381889,-0.256122921062943,-0.260965741793614,-0.260965741793614
"CD44s",0.260965741793614,0.260965741793614,0.260965741793614,0.260965741793614,0.256122921062943,0.256122921062943,0.180756748381889,0.170205843503478,0.145411548502733,-0.0209954394803147,-0.263616918439429,-0.170205843503478,-0.180756748381889,-0.256122921062943,-0.260965741793614,-0.260965741793614
"CD24",0.260965741793614,0.260965741793614,0.260965741793614,0.260965741793614,0.256122921062943,0.256122921062943,0.180756748381889,0.170205843503478,0.145411548502733,-0.0209954394803147,-0.263616918439429,-0.170205843503478,-0.180756748381889,-0.256122921062943,-0.260965741793614,-0.260965741793614
"HAS2",0.256122921062943,0.256122921062943,0.256122921062943,0.256122921062943,0.24721706864564,0.24721706864564,0.178108346555405,0.168519858255849,0.142857149259592,-0.0205123476928751,-0.260965741793614,-0.168519858255849,-0.178108346555405,-0.34721706864564,-0.256122921062943,-0.256122921062943
"ESRP1",0.256122921062943,0.256122921062943,0.256122921062943,0.256122921062943,0.34721706864564,0.24721706864564,0.178108346555405,0.168519858255849,0.142857149259592,-0.0205123476928751,-0.260965741793614,-0.168519858255849,-0.178108346555405,-0.24721706864564,-0.256122921062943,-0.256122921062943
"MIR200",0.176457502910517,0.176457502910517,0.176457502910517,0.176457502910517,0.174887882657352,0.174887882657352,0.217001641461348,0.030636840982548,0.17022443405668,-0.00823762329191243,-0.177142795477728,-0.030636840982548,-0.217001641461348,-0.174887882657352,-0.176457502910517,-0.176457502910517
"MIR34",0.123633466383206,0.123633466383206,0.123633466383206,0.123633466383206,0.121491221310369,0.121491221310369,-0.156966296969589,0.159812013929348,-0.0855763538973672,0.100105029481834,-0.123971850964639,-0.159812013929348,0.156966296969589,-0.121491221310369,-0.123633466383206,-0.123633466383206
"MIR190",0.121491221310369,0.121491221310369,0.121491221310369,0.121491221310369,0.118233075946961,0.118233075946961,-0.15410664012841,0.158843173918874,-0.0903117299419354,-0.00240800987331105,-0.123633466383206,-0.158843173918874,0.15410664012841,-0.118233075946961,-0.121491221310369,-0.121491221310369
"SNAIL1",-0.123971850964639,-0.123971850964639,-0.123971850964639,-0.123971850964639,-0.123633466383206,-0.123633466383206,0.154854155957585,-0.158182117486304,-0.0172935797504064,-0.0998937504309641,0.123446492306324,0.158182117486304,-0.154854155957585,0.123633466383206,0.123971850964639,0.123971850964639
"TGFB",-0.123633466383206,-0.123633466383206,-0.123633466383206,-0.123633466383206,-0.121491221310369,-0.121491221310369,0.156966296969589,-0.159812013929348,0.0855763538973672,-0.100105029481834,0.123971850964639,0.159812013929348,-0.156966296969589,0.121491221310369,0.123633466383206,0.123633466383206
"ZEB1",-0.263616918439429,-0.263616918439429,-0.263616918439429,-0.263616918439429,-0.260965741793614,-0.260965741793614,-0.18334322391944,-0.170845580297483,-0.146258178265025,0.021808447610396,0.165338421953741,0.170845580297483,0.18334322391944,0.260965741793614,0.263616918439429,0.263616918439429
"MIR1199",-0.260965741793614,-0.260965741793614,-0.260965741793614,-0.260965741793614,-0.256122921062943,-0.256122921062943,-0.180756748381889,-0.170205843503478,-0.145411548502733,0.0209954394803147,0.263616918439429,0.170205843503478,0.180756748381889,0.256122921062943,0.260965741793614,0.260965741793614
"HA",-0.260965741793614,-0.260965741793614,-0.260965741793614,-0.260965741793614,-0.256122921062943,-0.256122921062943,-0.180756748381889,-0.170205843503478,-0.145411548502733,0.0209954394803147,0.263616918439429,0.170205843503478,0.180756748381889,0.256122921062943,0.260965741793614,0.260965741793614
"MIR129",-0.290952825672862,-0.290952825672862,-0.290952825672862,-0.290952825672862,-0.285885761589404,-0.285885761589404,-0.0584268784735141,-0.219595016245282,0.115336310905444,-0.0431098489889262,0.294185098286242,0.219595016245282,0.0136130081907295,0.285885761589404,0.290952825672862,0.290952825672862
