"","CD24","MIR1199","HAS2","GRHL2","ESRP1","MIR34","MIR200","SNAIL1","TGFB","ZEB1","TWIST1","MIR129","MIR340","MIR190","HA","CD44s"
"GRHL2",0.319244357930222,0.219371746465254,0.219371746465254,0.219371746465254,0.219371746465254,0.232283081735406,0.193603213748607,0.098179012345679,0.010706252811516,-0.219415857625377,-0.126833258043145,-0.126833258043145,-0.219371746465254,-0.219371746465254,-0.219244357930222,-0.219244357930222
"TWIST1",0.198534792885976,0.198559849262824,0.198559849262824,0.198559849262824,0.198559849262824,0.107677728520105,0.0861028597239375,0.0336903878548994,0.00624557205549801,-0.198594643974028,-0.0219432339955966,-0.00316271446787427,-0.198559849262824,-0.198559849262824,-0.198534792885976,-0.198534792885976
"MIR129",0.198385761589404,0.198534792885976,0.198534792885976,0.198534792885976,0.198534792885976,0.107585335541971,0.0861644550426932,0.0337864493342462,0.00633010290925963,-0.198559849262824,0.0781090672596335,-0.00308424206400296,-0.198534792885976,-0.198534792885976,-0.198385761589404,-0.198385761589404
"HAS2",0.139579468150897,0.138816109372271,0.138816109372271,0.138816109372271,0.138816109372271,0.127807818935604,0.113010345605404,0.0733875928091021,0.00286103348983673,-0.139240918208295,-0.106892307692308,-0.106892307692308,-0.138816109372271,-0.138816109372271,-0.239579468150897,-0.139579468150897
"MIR340",0.138816109372271,0.139240918208295,0.139240918208295,0.139240918208295,0.139240918208295,0.128018567091558,0.113326467839334,0.0733875928091021,0.00295765184732466,-0.139151552703379,-0.106800983491394,-0.106800983491394,-0.139240918208295,-0.139240918208295,-0.138816109372271,-0.138816109372271
"CD44s",0.138816109372271,0.139240918208295,0.139240918208295,0.139240918208295,0.139240918208295,0.128018567091558,0.113326467839334,0.0733875928091021,0.00295765184732466,-0.139151552703379,-0.106800983491394,-0.106800983491394,-0.139240918208295,-0.139240918208295,-0.138816109372271,-0.138816109372271
"CD24",0.138816109372271,0.139240918208295,0.139240918208295,0.139240918208295,0.139240918208295,0.128018567091558,0.113326467839334,0.0733875928091021,0.00295765184732466,-0.139151552703379,-0.106800983491394,-0.106800983491394,-0.139240918208295,-0.139240918208295,-0.138816109372271,-0.138816109372271
"MIR200",0.100736735887498,0.100888634621676,0.100888634621676,0.100888634621676,0.100888634621676,0.200503583382053,0.0065954023527032,0.0917847560980683,-0.00186699838305168,-0.100871063017388,-0.142037652295355,-0.142037652295355,-0.100888634621676,-0.100888634621676,-0.100736735887498,-0.100736735887498
"MIR34",0.0111708551776464,0.0112565449805598,0.0112565449805598,0.0112565449805598,0.0112565449805598,0.061726124453334,-0.0496946511499615,0.00863743479855487,0.0706823364718102,-0.0113301068460887,-0.108187969413762,-0.108187969413762,-0.0112565449805598,-0.0112565449805598,-0.0111708551776464,-0.0111708551776464
"SNAIL1",0.0112565449805598,0.0113301068460887,0.0113301068460887,0.0113301068460887,0.0113301068460887,0.061735129406058,-0.0496136065754455,-0.0913225939807241,0.070731093175857,-0.0112694885393601,-0.108172774154683,-0.108172774154683,-0.0113301068460887,-0.0113301068460887,-0.0112565449805598,-0.0112565449805598
"MIR190",0.0114214817440624,0.0111708551776464,0.0111708551776464,0.0111708551776464,0.0111708551776464,0.0615952001275943,-0.0496684662848136,0.00873028530923268,-0.0293650793650794,-0.0112565449805598,-0.108055985251862,-0.108055985251862,-0.0111708551776464,-0.0111708551776464,-0.0114214817440624,-0.0114214817440624
"TGFB",-0.0111708551776464,-0.0112565449805598,-0.0112565449805598,-0.0112565449805598,-0.0112565449805598,-0.061726124453334,0.0496946511499615,-0.00863743479855487,-0.0706823364718102,0.0113301068460887,0.108187969413762,0.108187969413762,0.0112565449805598,0.0112565449805598,0.0111708551776464,0.0111708551776464
"ZEB1",-0.139240918208295,-0.139151552703379,-0.139151552703379,-0.139151552703379,-0.139151552703379,-0.127963732509215,-0.113271633256991,-0.0734527181754323,-0.00292513152212141,0.0391413662920522,0.10676982113552,0.10676982113552,0.139151552703379,0.139151552703379,0.139240918208295,0.139240918208295
"MIR1199",-0.138816109372271,-0.139240918208295,-0.139240918208295,-0.139240918208295,-0.139240918208295,-0.128018567091558,-0.113326467839334,-0.0733875928091021,-0.00295765184732466,0.139151552703379,0.106800983491394,0.106800983491394,0.139240918208295,0.139240918208295,0.138816109372271,0.138816109372271
"HA",-0.138816109372271,-0.139240918208295,-0.139240918208295,-0.139240918208295,-0.139240918208295,-0.128018567091558,-0.113326467839334,-0.0733875928091021,-0.00295765184732466,0.139151552703379,0.106800983491394,0.106800983491394,0.139240918208295,0.139240918208295,0.138816109372271,0.138816109372271
"ESRP1",-0.139579468150897,-0.138816109372271,-0.138816109372271,-0.138816109372271,-0.138816109372271,-0.127807818935604,-0.113010345605404,-0.0733875928091021,-0.00286103348983673,0.139240918208295,0.106892307692308,0.106892307692308,0.138816109372271,0.138816109372271,0.139579468150897,0.0395794681508967
