"","MIR129","MIR34","SNAIL1","CD44s","CD24","MIR190","MIR1199","HAS2","GRHL2","ZEB1","TGFB","MIR340","ESRP1","HA","MIR200","TWIST1"
"GRHL2",0.111840629640834,0.163474164557429,0.0839166166657576,0.167897003326323,0.267897003326323,0.167897003326323,0.167897003326323,0.167897003326323,0.167897003326323,-0.167676447525705,0.00788530465949821,-0.167897003326323,-0.167897003326323,-0.167897003326323,-0.1931357946915,-0.111840629640834
"MIR190",-0.0853686117116961,0.0953719924409719,0.0156199985265627,0.10974122651542,0.10974122651542,0.110493106214668,0.110493106214668,0.110493106214668,0.110493106214668,-0.110664485820495,-0.161146189599228,-0.110493106214668,-0.110493106214668,-0.10974122651542,-0.0124374065922148,0.0853686117116961
"MIR200",-0.0623478307619193,0.177715663151853,-0.0127362304042638,0.0986254298183033,0.0986254298183033,0.0988785943752654,0.0988785943752654,0.0988785943752654,0.0988785943752654,-0.098790736353828,-0.186083030434136,-0.0988785943752654,-0.0988785943752654,-0.0986254298183033,-0.0264325751810029,0.0623478307619193
"ESRP1",0.0915076923076923,0.068823279162767,0.0588940998422244,-0.0481756338899196,0.0518243661100804,0.052078819036289,0.052078819036289,0.052078819036289,0.052078819036289,-0.0519938572690843,0.000648866571787464,-0.052078819036289,-0.052078819036289,-0.0518243661100804,-0.0757668712144284,-0.0915076923076923
"MIR340",0.0919643133122585,0.0685071569288365,0.0586102777040977,0.052078819036289,0.052078819036289,0.0519938572690843,0.0519938572690843,0.0519938572690843,0.0519938572690843,-0.051725760754339,0.000745484929275386,-0.0519938572690843,-0.0519938572690843,-0.052078819036289,-0.0759776193703821,-0.0919643133122585
"MIR1199",0.0919643133122585,0.0685071569288365,0.0586102777040977,0.052078819036289,0.052078819036289,0.0519938572690843,0.0519938572690843,0.0519938572690843,0.0519938572690843,-0.051725760754339,0.000745484929275386,-0.0519938572690843,-0.0519938572690843,-0.052078819036289,-0.0759776193703821,-0.0919643133122585
"HA",0.0919643133122585,0.0685071569288365,0.0586102777040977,0.052078819036289,0.052078819036289,0.0519938572690843,0.0519938572690843,0.0519938572690843,0.0519938572690843,-0.051725760754339,0.000745484929275386,-0.0519938572690843,-0.0519938572690843,-0.052078819036289,-0.0759776193703821,-0.0919643133122585
"CD24",0.0919643133122585,0.0685071569288365,0.0586102777040977,0.052078819036289,0.052078819036289,0.0519938572690843,0.0519938572690843,0.0519938572690843,0.0519938572690843,-0.051725760754339,0.000745484929275386,-0.0519938572690843,-0.0519938572690843,-0.052078819036289,-0.0759776193703821,-0.0919643133122585
"ZEB1",-0.0919331509563844,-0.0684523223464933,-0.0585451523377675,-0.0519938572690843,-0.0519938572690843,-0.051725760754339,-0.051725760754339,-0.051725760754339,-0.051725760754339,-0.0483251713022975,-0.000908086555291646,0.051725760754339,0.051725760754339,0.0519938572690843,0.0757034464586658,0.0919331509563844
"MIR129",0.0210624917053723,0.00913866755790181,-0.0160471448465271,0.00517108167770419,0.00517108167770419,0.00546914427084875,0.00546914427084875,0.00546914427084875,0.00546914427084875,-0.00549420064769666,-0.00396543054458727,-0.00546914427084875,-0.00546914427084875,-0.00517108167770419,0.00318577974628961,-0.0980211893369788
"TWIST1",-0.020984019301501,-0.00923106053603548,0.0160608679150052,-0.00546914427084875,-0.00546914427084875,-0.00549420064769666,-0.00549420064769666,-0.00549420064769666,-0.00549420064769666,0.00551159800329861,0.0038245457883179,0.00549420064769666,0.00549420064769666,0.00546914427084875,-0.00324737506504539,-0.00203111191825131
"CD44s",-0.0919643133122585,-0.0685071569288365,-0.0586102777040977,-0.052078819036289,-0.052078819036289,-0.0519938572690843,-0.0519938572690843,-0.0519938572690843,-0.0519938572690843,0.051725760754339,-0.000745484929275386,0.0519938572690843,0.0519938572690843,0.052078819036289,0.0759776193703821,0.0919643133122585
"HAS2",-0.0915076923076923,-0.068823279162767,-0.0588940998422244,-0.0518243661100804,-0.0518243661100804,-0.052078819036289,-0.052078819036289,-0.052078819036289,-0.052078819036289,0.0519938572690843,-0.000648866571787464,0.052078819036289,0.052078819036289,-0.0481756338899196,0.0757668712144284,0.0915076923076923
"SNAIL1",0.0852550049220827,-0.0954071822588439,-0.115461360656692,-0.110664485820495,-0.110664485820495,-0.110502649716332,-0.110502649716332,-0.110502649716332,-0.110502649716332,0.11049254666521,0.0607655220369548,0.110502649716332,0.110502649716332,0.110664485820495,0.0124135867355984,-0.0852550049220827
"TGFB",0.0851486381085285,-0.0953981773061199,-0.0153414469945293,-0.110493106214668,-0.110493106214668,-0.110664485820495,-0.110664485820495,-0.110664485820495,-0.110664485820495,0.110502649716332,0.0608142787410016,0.110664485820495,0.110664485820495,0.110493106214668,0.0126207006482504,-0.0851486381085285
"MIR34",0.0851486381085285,-0.0953981773061199,-0.0153414469945293,-0.110493106214668,-0.110493106214668,-0.110664485820495,-0.110664485820495,-0.110664485820495,-0.110664485820495,0.110502649716332,0.0608142787410016,0.110664485820495,0.110664485820495,0.110493106214668,0.0126207006482504,-0.0851486381085285
