"","TWIST1","ZEB1","MIR129","MIR200","MIR340","HAS2","GRHL2","ESRP1","MIR34","MIR190","MIR1199","HA","CD44s","CD24","TGFB","SNAIL1"
"TGFB",-0.229816926757293,-0.208711100384436,-0.0843893363857588,-0.0733306083453082,0.208755237503753,0.208755237503753,0.208755237503753,0.208755237503753,0.282416897911803,-0.208755237503753,-0.208755237503753,-0.208326788489186,-0.208326788489186,-0.208326788489186,0.151658690503292,0.25865190024277
"SNAIL1",-0.229588997871105,-0.208579760719857,-0.084313360090363,-0.0733576232034802,0.208711100384436,0.208711100384436,0.208711100384436,0.208711100384436,0.282389883053631,-0.208711100384436,-0.208711100384436,-0.208755237503753,-0.208755237503753,-0.208755237503753,0.15164243826861,0.158675882975203
"ZEB1",-0.135493295817363,-0.0863585882924026,-0.0806802666762113,-0.070431360034893,-0.0134274970697243,-0.0134274970697243,-0.0134274970697243,-0.0134274970697243,-0.00962288467354044,0.0134274970697243,0.0134274970697243,0.0135168625746394,0.0135168625746394,0.0135168625746394,0.0178459663560815,0.120855424854659
"ESRP1",0.135188160858749,-0.0135168625746394,0.0809230769230769,0.0709399522306627,0.0146213655483012,0.0146213655483012,0.0146213655483012,0.0146213655483012,0.0105938246561559,-0.0146213655483012,-0.0146213655483012,-0.0158936301793445,-0.115893630179344,-0.0158936301793445,-0.0176517870229838,-0.120796460828568
"MIR1199",0.135462133461489,-0.0134274970697243,0.0806491043203372,0.0704130818407786,0.0135168625746394,0.0135168625746394,0.0135168625746394,0.0135168625746394,0.00975083203234139,-0.0135168625746394,-0.0135168625746394,-0.0146213655483012,-0.0146213655483012,-0.0146213655483012,-0.0177484053804717,-0.120985675587319
"HA",0.135462133461489,-0.0134274970697243,0.0806491043203372,0.0704130818407786,0.0135168625746394,0.0135168625746394,0.0135168625746394,0.0135168625746394,0.00975083203234139,-0.0135168625746394,-0.0135168625746394,-0.0146213655483012,-0.0146213655483012,-0.0146213655483012,-0.0177484053804717,-0.120985675587319
"CD24",0.135462133461489,-0.0134274970697243,0.0806491043203372,0.0704130818407786,0.0135168625746394,0.0135168625746394,0.0135168625746394,0.0135168625746394,0.00975083203234139,-0.0135168625746394,-0.0135168625746394,-0.0146213655483012,-0.0146213655483012,-0.0146213655483012,-0.0177484053804717,-0.120985675587319
"MIR340",-0.135462133461489,0.0134274970697243,-0.0806491043203372,-0.0704130818407786,-0.0135168625746394,-0.0135168625746394,-0.0135168625746394,-0.0135168625746394,-0.00975083203234139,0.0135168625746394,0.0135168625746394,0.0146213655483012,0.0146213655483012,0.0146213655483012,0.0177484053804717,0.120985675587319
"CD44s",-0.135462133461489,0.0134274970697243,-0.0806491043203372,-0.0704130818407786,-0.0135168625746394,-0.0135168625746394,-0.0135168625746394,-0.0135168625746394,-0.00975083203234139,0.0135168625746394,0.0135168625746394,0.0146213655483012,0.0146213655483012,0.0146213655483012,0.0177484053804717,0.120985675587319
"HAS2",-0.135188160858749,0.0135168625746394,-0.0809230769230769,-0.0709399522306627,-0.0146213655483012,-0.0146213655483012,-0.0146213655483012,-0.0146213655483012,-0.0105938246561559,0.0146213655483012,0.0146213655483012,-0.0841063698206555,0.0158936301793445,0.0158936301793445,0.0176517870229838,0.120796460828568
"GRHL2",0.100690191147786,0.0356786554150308,0.0695952740408451,-0.0152082945998752,-0.0358992112156483,-0.0358992112156483,-0.0358992112156483,-0.0358992112156483,-0.0458750961172263,0.0358992112156483,0.0358992112156483,0.035389657075521,0.035389657075521,-0.0646103429244791,-0.00829016295909335,-0.0853605065546646
"MIR200",0.134419992771703,0.10454885912758,0.0675944091733897,0.00674816629282053,-0.104425857897568,-0.104425857897568,-0.104425857897568,-0.104425857897568,-0.206574881991428,0.104425857897568,0.104425857897568,0.104577756631745,0.104577756631745,0.104577756631745,-0.20398399131095,-0.11842667536116
"TWIST1",0.0902826367791008,0.192264373992104,-0.00253314871277906,-0.00128191569127935,-0.192351360770113,-0.192351360770113,-0.192351360770113,-0.192351360770113,-0.190014322624104,0.192351360770113,0.192351360770113,0.19262698091544,0.19262698091544,0.19262698091544,-0.0632166927601724,-0.185379916619847
"MIR129",0.190178034268641,0.192351360770113,-0.00229773150116515,-0.00137430866941301,-0.19262698091544,-0.19262698091544,-0.19262698091544,-0.19262698091544,-0.190260703899127,0.19262698091544,0.19262698091544,0.192328918322296,0.192328918322296,0.192328918322296,-0.0630194541013952,-0.185530870373107
"MIR34",0.229816926757293,0.208711100384436,0.0843893363857588,0.0733306083453082,-0.208755237503753,-0.208755237503753,-0.208755237503753,-0.208755237503753,-0.282416897911803,0.208755237503753,0.208755237503753,0.208326788489186,0.208326788489186,0.208326788489186,-0.151658690503292,-0.25865190024277
"MIR190",0.229596953154125,0.208755237503753,0.0850492571952617,0.0736186418619356,-0.208326788489186,-0.208326788489186,-0.208326788489186,-0.208326788489186,-0.282181234125472,0.208326788489186,0.208326788489186,0.207073655657106,0.207073655657106,0.207073655657106,-0.251326779645066,-0.25865190024277
