"","TWIST1","MIR129","MIR34","MIR200","HA","MIR340","MIR190","MIR1199","ESRP1","ZEB1","HAS2","GRHL2","CD44s","CD24","TGFB","SNAIL1"
"GRHL2",0.257347684893737,0.257347684893737,0.213124125956269,0.213124125956269,0.124653853611969,0.151023280363561,0.151023280363561,0.151023280363561,0.151023280363561,-0.147847276834668,-0.151023280363561,-0.151023280363561,-0.124653853611969,-0.0246538536119688,-0.167164301286211,-0.208307358975098
"MIR34",0.34224768307068,0.34224768307068,0.251754830168576,0.251754830168576,0.127048574073008,0.128419610919623,0.128419610919623,0.128419610919623,0.128419610919623,-0.132436088777501,-0.128419610919623,-0.128419610919623,-0.127048574073008,-0.127048574073008,-0.241804733903614,-0.280681145801902
"MIR190",0.340091941759638,0.340091941759638,0.25005281393396,0.25005281393396,0.134316744499073,0.127048574073008,0.127048574073008,0.127048574073008,0.127048574073008,-0.128419610919623,-0.127048574073008,-0.127048574073008,-0.134316744499073,-0.134316744499073,-0.346878228450793,-0.281470375142663
"ESRP1",0.235187338152044,0.235187338152044,0.137447767693965,0.137447767693965,0.0608225108225108,0.0824510095502462,0.0824510095502462,0.0824510095502462,0.0824510095502462,-0.110403430960612,-0.0824510095502462,-0.0824510095502462,-0.160822510822511,-0.0608225108225108,-0.0950418524455036,-0.188390035663562
"HA",0.233452178334692,0.233452178334692,0.151251771908928,0.151251771908928,0.0824510095502462,0.110403430960612,0.110403430960612,0.110403430960612,0.110403430960612,-0.0963134696856636,-0.110403430960612,-0.110403430960612,-0.0824510095502462,-0.0824510095502462,-0.115041852445504,-0.182145948624773
"CD24",0.233452178334692,0.233452178334692,0.151251771908928,0.151251771908928,0.0824510095502462,0.110403430960612,0.110403430960612,0.110403430960612,0.110403430960612,-0.0963134696856636,-0.110403430960612,-0.110403430960612,-0.0824510095502462,-0.0824510095502462,-0.115041852445504,-0.182145948624773
"ZEB1",-0.228746662597703,-0.228746662597703,-0.140193464469703,-0.140193464469703,-0.110403430960612,-0.0963134696856636,-0.0963134696856636,-0.0963134696856636,-0.0963134696856636,-0.0170816612097219,0.0963134696856636,0.0963134696856636,0.110403430960612,0.110403430960612,0.134261364640626,0.18794210622816
"MIR129",-0.066284179955066,-0.113209334145874,-0.132759105830026,-0.132759105830026,-0.0365562913907285,-0.027763444892964,-0.027763444892964,-0.027763444892964,-0.027763444892964,0.0219253090874014,0.027763444892964,0.027763444892964,0.0365562913907285,0.0365562913907285,0.104852199275429,0.242306723580518
"TWIST1",-0.168167025143351,-0.115118829306743,-0.13051087669544,-0.13051087669544,-0.027763444892964,-0.0219253090874014,-0.0219253090874014,-0.0219253090874014,-0.0219253090874014,0.0273880787464133,0.0219253090874014,0.0219253090874014,0.027763444892964,0.027763444892964,0.0976670767056913,0.243390845990289
"MIR200",0.142338971454969,0.142338971454969,0.0296046945150407,0.0296046945150407,-0.0383947951576511,-0.0579897318665119,-0.0579897318665119,-0.0579897318665119,-0.0579897318665119,0.0491160717013388,0.0579897318665119,0.0579897318665119,0.0383947951576511,0.0383947951576511,-0.14826131428299,-0.0980584020619385
"MIR340",-0.233452178334692,-0.233452178334692,-0.151251771908928,-0.151251771908928,-0.0824510095502462,-0.110403430960612,-0.110403430960612,-0.110403430960612,-0.110403430960612,0.0963134696856636,0.110403430960612,0.110403430960612,0.0824510095502462,0.0824510095502462,0.115041852445504,0.182145948624773
"MIR1199",-0.233452178334692,-0.233452178334692,-0.151251771908928,-0.151251771908928,-0.0824510095502462,-0.110403430960612,-0.110403430960612,-0.110403430960612,-0.110403430960612,0.0963134696856636,0.110403430960612,0.110403430960612,0.0824510095502462,0.0824510095502462,0.115041852445504,0.182145948624773
"CD44s",-0.233452178334692,-0.233452178334692,-0.151251771908928,-0.151251771908928,-0.0824510095502462,-0.110403430960612,-0.110403430960612,-0.110403430960612,-0.110403430960612,0.0963134696856636,0.110403430960612,0.110403430960612,0.0824510095502462,0.0824510095502462,0.115041852445504,0.182145948624773
"HAS2",-0.235187338152044,-0.235187338152044,-0.137447767693965,-0.137447767693965,-0.160822510822511,-0.0824510095502462,-0.0824510095502462,-0.0824510095502462,-0.0824510095502462,0.110403430960612,0.0824510095502462,0.0824510095502462,0.0608225108225108,0.0608225108225108,0.0950418524455036,0.188390035663562
"SNAIL1",-0.342475611956868,-0.342475611956868,-0.253907013869612,-0.253907013869612,-0.128419610919623,-0.132436088777501,-0.132436088777501,-0.132436088777501,-0.132436088777501,0.131405577563114,0.132436088777501,0.132436088777501,0.128419610919623,0.128419610919623,0.243381200667794,0.179681865283875
"TGFB",-0.34224768307068,-0.34224768307068,-0.251754830168576,-0.251754830168576,-0.127048574073008,-0.128419610919623,-0.128419610919623,-0.128419610919623,-0.128419610919623,0.132436088777501,0.128419610919623,0.128419610919623,0.127048574073008,0.127048574073008,0.241804733903614,0.280681145801902
