"","SNAIL1","MIR200","CD24","MIR340","MIR1199","GRHL2","TGFB","ZEB1","MIR190","HAS2","ESRP1","HA","CD44s","MIR34","TWIST1","MIR129"
"SNAIL1",0.532141971638129,0.486458319772508,0.275931716440988,0.28736323034418,0.28736323034418,0.28736323034418,-0.243204648837356,-0.29093971044117,-0.28736323034418,-0.28736323034418,-0.28736323034418,-0.275931716440988,-0.275931716440988,-0.486458319772508,-0.659167592247472,-0.659167592247472
"TGFB",0.616465258871321,0.470924776323611,0.2702761894487,0.275931716440988,0.275931716440988,0.275931716440988,-0.237110060831506,-0.28736323034418,-0.275931716440988,-0.275931716440988,-0.275931716440988,-0.2702761894487,-0.2702761894487,-0.470924776323611,-0.634323343653034,-0.634323343653034
"HAS2",0.327412982233268,0.301822115808968,0.252875695732839,0.233282820414772,0.233282820414772,0.233282820414772,-0.0502552439672115,-0.265823177254195,-0.233282820414772,-0.233282820414772,-0.233282820414772,-0.152875695732839,-0.252875695732839,-0.301822115808968,-0.326994456523868,-0.326994456523868
"ESRP1",0.327412982233268,0.301822115808968,0.252875695732839,0.233282820414772,0.233282820414772,0.233282820414772,-0.0502552439672115,-0.265823177254195,-0.233282820414772,-0.233282820414772,-0.233282820414772,-0.252875695732839,-0.152875695732839,-0.301822115808968,-0.326994456523868,-0.326994456523868
"MIR340",0.338198223482085,0.33290746881213,0.233282820414772,0.265823177254195,0.265823177254195,0.265823177254195,-0.0542165966242164,-0.254116296110316,-0.265823177254195,-0.265823177254195,-0.265823177254195,-0.233282820414772,-0.233282820414772,-0.33290746881213,-0.354665689400581,-0.354665689400581
"MIR1199",0.338198223482085,0.33290746881213,0.233282820414772,0.265823177254195,0.265823177254195,0.265823177254195,-0.0542165966242164,-0.254116296110316,-0.265823177254195,-0.265823177254195,-0.265823177254195,-0.233282820414772,-0.233282820414772,-0.33290746881213,-0.354665689400581,-0.354665689400581
"HA",0.338198223482085,0.33290746881213,0.233282820414772,0.265823177254195,0.265823177254195,0.265823177254195,-0.0542165966242164,-0.254116296110316,-0.265823177254195,-0.265823177254195,-0.265823177254195,-0.233282820414772,-0.233282820414772,-0.33290746881213,-0.354665689400581,-0.354665689400581
"CD44s",0.338198223482085,0.33290746881213,0.233282820414772,0.265823177254195,0.265823177254195,0.265823177254195,-0.0542165966242164,-0.254116296110316,-0.265823177254195,-0.265823177254195,-0.265823177254195,-0.233282820414772,-0.233282820414772,-0.33290746881213,-0.354665689400581,-0.354665689400581
"MIR200",-0.146965646589676,0.0186635652130092,0.13248017151216,0.144176374043805,0.144176374043805,0.144176374043805,0.0131765610416703,-0.134951281792883,-0.144176374043805,-0.144176374043805,-0.144176374043805,-0.13248017151216,-0.13248017151216,-0.0186635652130092,0.19371996072267,0.19371996072267
"GRHL2",0.197027981012579,0.135709724434091,0.173109902895243,0.102409265952568,0.102409265952568,0.102409265952568,-0.0274079063189622,-0.0852941358246457,-0.102409265952568,-0.102409265952568,-0.102409265952568,-0.0731099028952432,-0.0731099028952432,-0.135709724434091,-0.21956468811041,-0.21956468811041
"MIR129",-0.412724611346382,-0.192612833219515,-0.00384933774834437,-0.0248627505650359,-0.0248627505650359,-0.0248627505650359,0.113217343074145,0.0168196535968575,0.0248627505650359,0.0248627505650359,0.0248627505650359,0.00384933774834437,0.00384933774834437,0.192612833219515,0.548303439842414,0.546035027441909
"TWIST1",-0.424979311497335,-0.190918961953731,-0.0248627505650359,-0.0168196535968575,-0.0168196535968575,-0.0168196535968575,0.118091955641065,0.0294501337638721,0.0168196535968575,0.0168196535968575,0.0168196535968575,0.0248627505650359,0.0248627505650359,0.190918961953731,0.460908042352874,0.558616769529275
"ZEB1",-0.355782072391235,-0.32989156678325,-0.265823177254195,-0.254116296110316,-0.254116296110316,-0.254116296110316,0.0609483039412895,0.17341954557553,0.254116296110316,0.254116296110316,0.254116296110316,0.265823177254195,0.265823177254195,0.32989156678325,0.37121290036973,0.37121290036973
"CD24",-0.338198223482085,-0.33290746881213,-0.233282820414772,-0.265823177254195,-0.265823177254195,-0.265823177254195,0.0542165966242164,0.254116296110316,0.265823177254195,0.265823177254195,0.265823177254195,0.233282820414772,0.233282820414772,0.33290746881213,0.354665689400581,0.354665689400581
"MIR190",-0.59445968784068,-0.457649049693603,-0.251228570401081,-0.2702761894487,-0.2702761894487,-0.2702761894487,0.128527794354502,0.275931716440988,0.2702761894487,0.2702761894487,0.2702761894487,0.251228570401081,0.251228570401081,0.457649049693603,0.604098970577802,0.604098970577802
"MIR34",-0.616465258871321,-0.470924776323611,-0.2702761894487,-0.275931716440988,-0.275931716440988,-0.275931716440988,0.237110060831506,0.28736323034418,0.275931716440988,0.275931716440988,0.275931716440988,0.2702761894487,0.2702761894487,0.470924776323611,0.634323343653034,0.634323343653034
