"","MIR34","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","TGFB","ZEB1","MIR200","GRHL2","ESRP1","HA","MIR129","SNAIL1","TWIST1"
"SNAIL1",-0.0801075262524302,0.123319895527195,0.123319895527195,0.123599430616205,0.123599430616205,0.123599430616205,0.123599430616205,0.209267998636888,-0.123710564178541,-0.201870921474329,-0.123599430616205,-0.123599430616205,-0.123319895527195,0.0550462882378854,0.0731816806728257,0.165497858906474
"MIR200",0.0255442907774667,0.112771629620867,0.112771629620867,0.111303275190487,0.111303275190487,0.111303275190487,0.111303275190487,0.0903985864650858,-0.11107484433475,-0.178674872328966,-0.111303275190487,-0.111303275190487,-0.112771629620867,0.0394573336858007,0.0449687572397095,0.0755944580656319
"HAS2",0.141843649384408,0.0808905380333952,0.0808905380333952,0.0892874845982807,0.0892874845982807,0.0892874845982807,0.0892874845982807,0.04099569576243,-0.0868235933493427,-0.0237173620150804,-0.0892874845982807,-0.0892874845982807,-0.180890538033395,-0.114502603279074,-0.189821533651625,-0.199452171358054
"MIR1199",0.139209297434988,0.0892874845982807,0.0892874845982807,0.0868235933493427,0.0868235933493427,0.0868235933493427,0.0868235933493427,0.0484353092890001,-0.0858405727952766,-0.0232958657031731,-0.0868235933493427,-0.0868235933493427,-0.0892874845982807,-0.113315388667202,-0.190862214824756,-0.197351714737049
"CD44s",0.139209297434988,0.0892874845982807,0.0892874845982807,0.0868235933493427,0.0868235933493427,0.0868235933493427,0.0868235933493427,0.0484353092890001,-0.0858405727952766,-0.0232958657031731,-0.0868235933493427,-0.0868235933493427,-0.0892874845982807,-0.113315388667202,-0.190862214824756,-0.197351714737049
"CD24",0.139209297434988,0.0892874845982807,0.0892874845982807,0.0868235933493427,0.0868235933493427,0.0868235933493427,0.0868235933493427,0.0484353092890001,-0.0858405727952766,-0.0232958657031731,-0.0868235933493427,-0.0868235933493427,-0.0892874845982807,-0.113315388667202,-0.190862214824756,-0.197351714737049
"ZEB1",-0.139008237299729,-0.0868235933493427,-0.0868235933493427,-0.0858405727952766,-0.0858405727952766,-0.0858405727952766,-0.0858405727952766,-0.0472320572564798,-0.0127638888528848,0.0222905650268799,0.0858405727952766,0.0858405727952766,0.0868235933493427,0.114717694681536,0.1920344714187,0.197632175939916
"GRHL2",0.0104565308914255,-0.00991429125460539,-0.109914291254605,-0.0138633358405927,-0.0138633358405927,-0.0138633358405927,-0.0138633358405927,-0.0272356246539935,0.0139515581608397,0.0416767373797106,0.0138633358405927,0.0138633358405927,0.00991429125460539,-0.0887720986750319,-0.120883206004679,-0.135136901520147
"MIR129",0.0831137633059935,-0.0256181015452539,-0.0256181015452539,-0.0223394130206637,-0.0223394130206637,-0.0223394130206637,-0.0223394130206637,-0.0852223656599154,0.0237676265009944,0.112544904791167,0.0223394130206637,0.0223394130206637,0.0256181015452539,-0.145168556798968,-0.195092593055923,-0.0752915084027676
"TWIST1",0.0824670124590578,-0.0223394130206637,-0.0223394130206637,-0.0237676265009944,-0.0237676265009944,-0.0237676265009944,-0.0237676265009944,-0.0831090943158748,0.024602699569888,0.113653620528771,0.0237676265009944,0.0237676265009944,0.0223394130206637,-0.144776194779612,-0.195874807959176,-0.17612832848645
"MIR340",-0.139209297434988,-0.0892874845982807,-0.0892874845982807,-0.0868235933493427,-0.0868235933493427,-0.0868235933493427,-0.0868235933493427,-0.0484353092890001,0.0858405727952766,0.0232958657031731,0.0868235933493427,0.0868235933493427,0.0892874845982807,0.113315388667202,0.190862214824756,0.197351714737049
"HA",-0.139209297434988,-0.0892874845982807,-0.0892874845982807,-0.0868235933493427,-0.0868235933493427,-0.0868235933493427,-0.0868235933493427,-0.0484353092890001,0.0858405727952766,0.0232958657031731,0.0868235933493427,0.0868235933493427,0.0892874845982807,0.113315388667202,0.190862214824756,0.197351714737049
"ESRP1",-0.141843649384408,-0.180890538033395,-0.0808905380333952,-0.0892874845982807,-0.0892874845982807,-0.0892874845982807,-0.0892874845982807,-0.04099569576243,0.0868235933493427,0.0237173620150804,0.0892874845982807,0.0892874845982807,0.0808905380333952,0.114502603279074,0.189821533651625,0.199452171358054
"MIR190",0.0794012399159192,-0.122462997498061,-0.122462997498061,-0.122462997498061,-0.122462997498061,-0.122462997498061,-0.122462997498061,-0.10740017068679,0.123319895527195,0.199775052328388,0.122462997498061,0.122462997498061,0.122462997498061,-0.0544319532056201,-0.172059480300548,-0.162296826832177
"TGFB",0.0798463826234343,-0.122462997498061,-0.122462997498061,-0.123319895527195,-0.123319895527195,-0.123319895527195,-0.123319895527195,-0.208016576566354,0.123599430616205,0.201267589641821,0.123319895527195,0.123319895527195,0.122462997498061,-0.0550918740151229,-0.173173686428682,-0.164540557584486
"MIR34",0.0798463826234343,-0.122462997498061,-0.122462997498061,-0.123319895527195,-0.123319895527195,-0.123319895527195,-0.123319895527195,-0.208016576566354,0.123599430616205,0.201267589641821,0.123319895527195,0.123319895527195,0.122462997498061,-0.0550918740151229,-0.173173686428682,-0.164540557584486
