"","TWIST1","MIR34","MIR1199","HAS2","GRHL2","ESRP1","HA","ZEB1","TGFB","MIR200","CD44s","CD24","MIR340","MIR190","MIR129","SNAIL1"
"TGFB",0.238031295455055,0.284527751352628,0.205693753941849,0.205693753941849,0.205693753941849,0.205693753941849,0.20646496216807,-0.200823958443835,-0.0165076521181884,0.0784724750374329,-0.20646496216807,-0.20646496216807,-0.205693753941849,-0.205693753941849,-0.0876883902804026,-0.271694941463045
"MIR34",0.238031295455055,0.284527751352628,0.205693753941849,0.205693753941849,0.205693753941849,0.205693753941849,0.20646496216807,-0.200823958443835,-0.0165076521181884,0.0784724750374329,-0.20646496216807,-0.20646496216807,-0.205693753941849,-0.205693753941849,-0.0876883902804026,-0.271694941463045
"MIR129",0.0632802085766776,0.128250693873743,0.0658909637028191,0.0658909637028191,0.0658909637028191,0.0658909637028191,0.0511368653421633,-0.0642622992077051,-0.0235604991372692,0.0495470360962987,-0.0511368653421633,-0.0511368653421633,-0.0658909637028191,-0.0658909637028191,-0.133998961155775,-0.17082895029203
"MIR340",0.205443239865158,0.127139307972804,0.0499803975109471,0.0499803975109471,0.0499803975109471,0.0499803975109471,0.051424747553428,-0.0604957385892909,0.0249859918525586,-0.00309526205269666,-0.051424747553428,-0.051424747553428,-0.0499803975109471,-0.0499803975109471,-0.121544124744447,-0.19847792359627
"CD44s",0.205443239865158,0.127139307972804,0.0499803975109471,0.0499803975109471,0.0499803975109471,0.0499803975109471,0.051424747553428,-0.0604957385892909,0.0249859918525586,-0.00309526205269666,-0.051424747553428,-0.051424747553428,-0.0499803975109471,-0.0499803975109471,-0.121544124744447,-0.19847792359627
"CD24",0.205443239865158,0.127139307972804,0.0499803975109471,0.0499803975109471,0.0499803975109471,0.0499803975109471,0.051424747553428,-0.0604957385892909,0.0249859918525586,-0.00309526205269666,-0.051424747553428,-0.051424747553428,-0.0499803975109471,-0.0499803975109471,-0.121544124744447,-0.19847792359627
"ZEB1",-0.205162778662291,-0.13278726995416,-0.0604957385892909,-0.0604957385892909,-0.0604957385892909,-0.0604957385892909,-0.0499803975109471,-0.0350527996606836,-0.0216363983566236,0.010351705116122,0.0499803975109471,0.0499803975109471,0.0604957385892909,0.0604957385892909,0.116526985448716,0.19336558233935
"MIR200",-0.106695877290043,-0.0530707916099496,0.000364847334666796,0.000364847334666796,0.000364847334666796,0.000364847334666796,0.00527623973973009,-0.0068839125253187,0.024092807377889,-0.129772953317289,-0.00527623973973009,-0.00527623973973009,-0.000364847334666796,-0.000364847334666796,0.0506450676068217,0.0832774256396763
"GRHL2",0.142160209648035,0.0114236616036175,-0.0183060676720596,-0.0183060676720596,-0.0183060676720596,-0.0183060676720596,-0.0227646663981742,0.01014550304921,-0.0376195299602477,0.0472726026509079,0.0227646663981742,-0.0772353336018257,0.0183060676720596,0.0183060676720596,-0.0937784740245014,-0.123658120007555
"HAS2",-0.194758308358308,-0.124399581945406,-0.051424747553428,-0.051424747553428,-0.051424747553428,-0.051424747553428,0.0264378478664193,0.0499803975109471,-0.0447927551375827,0.00762634740569982,0.0735621521335807,0.0735621521335807,0.051424747553428,0.051424747553428,0.118347777712484,0.200559285942533
"ESRP1",-0.194758308358308,-0.124399581945406,-0.051424747553428,-0.051424747553428,-0.051424747553428,-0.051424747553428,-0.0735621521335807,0.0499803975109471,-0.0447927551375827,0.00762634740569982,-0.0264378478664193,0.0735621521335807,0.051424747553428,0.051424747553428,0.118347777712484,0.200559285942533
"TWIST1",-0.157265564225213,-0.125417309210977,-0.0642622992077051,-0.0642622992077051,-0.0642622992077051,-0.0642622992077051,-0.0658909637028191,0.0565900653872458,0.0102328011941867,-0.0487154992930957,0.0658909637028191,0.0658909637028191,0.0642622992077051,0.0642622992077051,0.133449654328676,0.173779410014824
"MIR1199",-0.205443239865158,-0.127139307972804,-0.0499803975109471,-0.0499803975109471,-0.0499803975109471,-0.0499803975109471,-0.051424747553428,0.0604957385892909,-0.0249859918525586,0.00309526205269666,0.051424747553428,0.051424747553428,0.0499803975109471,0.0499803975109471,0.121544124744447,0.19847792359627
"HA",-0.205443239865158,-0.127139307972804,-0.0499803975109471,-0.0499803975109471,-0.0499803975109471,-0.0499803975109471,-0.051424747553428,0.0604957385892909,-0.0249859918525586,0.00309526205269666,0.051424747553428,0.051424747553428,0.0499803975109471,0.0499803975109471,0.121544124744447,0.19847792359627
"SNAIL1",-0.239353282994942,-0.282393577557041,-0.200823958443835,-0.200823958443835,-0.200823958443835,-0.200823958443835,-0.205693753941849,0.199682313667112,0.0164913998835061,-0.0822995799451322,0.205693753941849,0.205693753941849,0.200823958443835,0.200823958443835,0.0903171701010986,0.174101208950454
"MIR190",-0.241506878385103,-0.285967918935765,-0.20646496216807,-0.20646496216807,-0.20646496216807,-0.20646496216807,-0.196439899511428,0.205693753941849,-0.0748152497310293,-0.0789699874752439,0.196439899511428,0.196439899511428,0.20646496216807,0.20646496216807,0.0879963533248373,0.269512954462116
