"","MIR340","MIR1199","HAS2","GRHL2","ESRP1","CD24","MIR200","SNAIL1","TWIST1","MIR129","ZEB1","TGFB","MIR34","HA","CD44s","MIR190"
"GRHL2",0.624029701284612,0.624029701284612,0.624029701284612,0.624029701284612,0.624029701284612,0.691927790456586,0.577888357300159,0.307195978850045,0.167174089686155,-0.278505641789938,-0.647717394270937,-0.567557655922893,-0.577888357300159,-0.591927790456586,-0.591927790456586,-0.624029701284612
"MIR340",0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.455373960826524,0.446155889572142,0.285498909234036,0.148439789917308,-0.259390443024609,-0.508718865360323,-0.433451165545706,-0.446155889572142,-0.455373960826524,-0.455373960826524,-0.488254164734765
"MIR1199",0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.455373960826524,0.446155889572142,0.285498909234036,0.148439789917308,-0.259390443024609,-0.508718865360323,-0.433451165545706,-0.446155889572142,-0.455373960826524,-0.455373960826524,-0.488254164734765
"HA",0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.455373960826524,0.446155889572142,0.285498909234036,0.148439789917308,-0.259390443024609,-0.508718865360323,-0.433451165545706,-0.446155889572142,-0.455373960826524,-0.455373960826524,-0.488254164734765
"CD24",0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.488254164734765,0.455373960826524,0.446155889572142,0.285498909234036,0.148439789917308,-0.259390443024609,-0.508718865360323,-0.433451165545706,-0.446155889572142,-0.455373960826524,-0.455373960826524,-0.488254164734765
"ESRP1",0.455373960826524,0.455373960826524,0.455373960826524,0.455373960826524,0.455373960826524,0.425602968460111,0.419706995999961,0.273956808950214,0.143051662063427,-0.247244324303148,-0.488254164734765,-0.406687880521552,-0.419706995999961,-0.425602968460111,-0.525602968460111,-0.455373960826524
"MIR200",0.402960855028504,0.402960855028504,0.402960855028504,0.402960855028504,0.402960855028504,0.373138070218378,0.457492462336339,0.251390744605302,0.117252919319582,-0.232808397983875,-0.4132051003281,-0.552493730857009,-0.457492462336339,-0.373138070218378,-0.373138070218378,-0.402960855028504
"SNAIL1",0.192996366373535,0.192996366373535,0.192996366373535,0.192996366373535,0.192996366373535,0.179240297519629,0.205789093279983,0.00817517357899939,0.0483073455539661,-0.142348989854013,-0.19183451549457,-0.225941348324163,-0.205789093279983,-0.179240297519629,-0.179240297519629,-0.192996366373535
"TWIST1",-0.0612967928721721,-0.0612967928721721,-0.0612967928721721,-0.0612967928721721,-0.0612967928721721,-0.0512491857561611,-0.0494881027705076,-0.0204264212940819,-0.0877560077893817,-0.134981297595739,0.0597136335123948,0.047329542085065,0.0494881027705076,0.0512491857561611,0.0512491857561611,0.0612967928721721
"MIR129",-0.0512491857561611,-0.0512491857561611,-0.0512491857561611,-0.0512491857561611,-0.0512491857561611,-0.0561672185430464,-0.0435133568511974,-0.0174210692973754,0.0109364608298652,-0.135896808974237,0.0612967928721721,0.0495555212341211,0.0435133568511974,0.0561672185430464,0.0561672185430464,0.0512491857561611
"MIR190",-0.183696167271129,-0.183696167271129,-0.183696167271129,-0.183696167271129,-0.183696167271129,-0.158382884063108,-0.196757500609434,-0.104292390723973,-0.0446466318233548,0.136783540704416,0.179240297519629,0.309029823131696,0.196757500609434,0.158382884063108,0.158382884063108,0.183696167271129
"TGFB",-0.179240297519629,-0.179240297519629,-0.179240297519629,-0.179240297519629,-0.179240297519629,-0.183696167271129,-0.197621601159316,-0.103642437149229,-0.0501459719025453,0.140875049723333,0.192996366373535,0.227095256986604,0.197621601159316,0.183696167271129,0.183696167271129,0.179240297519629
"MIR34",-0.179240297519629,-0.179240297519629,-0.179240297519629,-0.179240297519629,-0.179240297519629,-0.183696167271129,-0.197621601159316,-0.103642437149229,-0.0501459719025453,0.140875049723333,0.192996366373535,0.227095256986604,0.197621601159316,0.183696167271129,0.183696167271129,0.179240297519629
"ZEB1",-0.508718865360323,-0.508718865360323,-0.508718865360323,-0.508718865360323,-0.508718865360323,-0.488254164734765,-0.463172888292668,-0.295170026134069,-0.151898811419334,0.268832636854463,0.428735163618447,0.462361734651398,0.463172888292668,0.488254164734765,0.488254164734765,0.508718865360323
"HAS2",-0.455373960826524,-0.455373960826524,-0.455373960826524,-0.455373960826524,-0.455373960826524,-0.425602968460111,-0.419706995999961,-0.273956808950214,-0.143051662063427,0.247244324303148,0.488254164734765,0.406687880521552,0.419706995999961,0.325602968460111,0.425602968460111,0.455373960826524
"CD44s",-0.488254164734765,-0.488254164734765,-0.488254164734765,-0.488254164734765,-0.488254164734765,-0.455373960826524,-0.446155889572142,-0.285498909234036,-0.148439789917308,0.259390443024609,0.508718865360323,0.433451165545706,0.446155889572142,0.455373960826524,0.455373960826524,0.488254164734765
