"","TGFB","MIR200","HA","CD44s","CD24","MIR340","MIR190","HAS2","GRHL2","MIR34","SNAIL1","ZEB1","MIR129","TWIST1","MIR1199","ESRP1"
"MIR200",0.300724424605512,0.201772999661427,0.102109451796049,0.102109451796049,0.102109451796049,0.104590464454277,0.104590464454277,0.104590464454277,0.104590464454277,-0.0195347106892756,-0.0785597537214285,-0.103834885469916,0.052042210362417,0.10379696384359,-0.104590464454277,-0.104590464454277
"MIR1199",0.10044580205441,0.103297252177371,0.0971559338516808,0.0971559338516808,0.0971559338516808,0.0992799780317998,0.0992799780317998,0.0992799780317998,0.0992799780317998,0.0721124632836656,0.0272819767610661,-0.0985948424941173,-0.0334127850124627,-0.048613862098149,-0.0992799780317998,-0.0992799780317998
"CD44s",0.10044580205441,0.103297252177371,0.0971559338516808,0.0971559338516808,0.0971559338516808,0.0992799780317998,0.0992799780317998,0.0992799780317998,0.0992799780317998,0.0721124632836656,0.0272819767610661,-0.0985948424941173,-0.0334127850124627,-0.048613862098149,-0.0992799780317998,-0.0992799780317998
"CD24",0.10044580205441,0.103297252177371,0.0971559338516808,0.0971559338516808,0.0971559338516808,0.0992799780317998,0.0992799780317998,0.0992799780317998,0.0992799780317998,0.0721124632836656,0.0272819767610661,-0.0985948424941173,-0.0334127850124627,-0.048613862098149,-0.0992799780317998,-0.0992799780317998
"MIR34",-0.0827072369955653,-0.0824808569977598,0.0184584532860904,0.0184584532860904,0.0184584532860904,0.0193153513152249,0.0193153513152249,0.0193153513152249,0.0193153513152249,0.103835490448808,0.0850606604518276,-0.0195066121656001,-0.0411286352235681,-0.12758276517553,-0.0193153513152249,-0.0193153513152249
"SNAIL1",-0.081780859618676,-0.0821836935578678,0.0193153513152249,0.0193153513152249,0.0193153513152249,0.0195066121656001,0.0195066121656001,0.0195066121656001,0.0195066121656001,0.10377245577974,-0.0140040129832991,-0.0190822840184997,-0.040566410637639,-0.126990150071443,-0.0195066121656001,-0.0195066121656001
"GRHL2",0.0119525884410189,0.0105421782550167,0.0105007681866321,0.0105007681866321,0.110500768186632,0.00808038602102696,0.00808038602102696,0.00808038602102696,0.00808038602102696,0.0140610777727468,-0.0394713982982085,-0.00913905386399123,0.0405286255022335,0.0507673465018203,-0.00808038602102696,-0.00808038602102696
"MIR129",0.0125294411531484,0.0168151223412266,0.00588576158940398,0.00588576158940398,0.00588576158940398,0.00618382418254853,0.00618382418254853,0.00618382418254853,0.00618382418254853,-0.0102740901422575,-0.0326801444931536,-0.00655966983526715,-0.0170471345174615,0.113467918934275,-0.00618382418254853,-0.00618382418254853
"TWIST1",0.0128957415194488,0.0173694802100286,0.00618382418254853,0.00618382418254853,0.00618382418254853,0.00655966983526715,0.00655966983526715,0.00655966983526715,0.00655966983526715,-0.0103664831203911,-0.0319253757268574,-0.00621172272322818,-0.0163408828826197,0.0140955339970362,-0.00655966983526715,-0.00655966983526715
"ZEB1",-0.103014907745466,-0.102328507889307,-0.0992799780317998,-0.0992799780317998,-0.0992799780317998,-0.0985948424941173,-0.0985948424941173,-0.0985948424941173,-0.0985948424941173,-0.0722404106424665,-0.027249414077901,-0.00135422544924621,0.0346281168915527,0.0484580503187784,0.0985948424941173,0.0985948424941173
"MIR190",0.179056217555072,0.0834496970082337,-0.0214659720830829,-0.0214659720830829,-0.0214659720830829,-0.0184584532860904,-0.0184584532860904,-0.0184584532860904,-0.0184584532860904,-0.103756935853364,-0.0855249130052167,0.0193153513152249,0.0419645349156051,0.12683485492476,0.0184584532860904,0.0184584532860904
"TGFB",0.0827072369955653,0.0824808569977598,-0.0184584532860904,-0.0184584532860904,-0.0184584532860904,-0.0193153513152249,-0.0193153513152249,-0.0193153513152249,-0.0193153513152249,-0.103835490448808,-0.0850606604518276,0.0195066121656001,0.0411286352235681,0.12758276517553,0.0193153513152249,0.0193153513152249
"MIR340",-0.10044580205441,-0.103297252177371,-0.0971559338516808,-0.0971559338516808,-0.0971559338516808,-0.0992799780317998,-0.0992799780317998,-0.0992799780317998,-0.0992799780317998,-0.0721124632836656,-0.0272819767610661,0.0985948424941173,0.0334127850124627,0.048613862098149,0.0992799780317998,0.0992799780317998
"HA",-0.10044580205441,-0.103297252177371,-0.0971559338516808,-0.0971559338516808,-0.0971559338516808,-0.0992799780317998,-0.0992799780317998,-0.0992799780317998,-0.0992799780317998,-0.0721124632836656,-0.0272819767610661,0.0985948424941173,0.0334127850124627,0.048613862098149,0.0992799780317998,0.0992799780317998
"HAS2",-0.104407154711414,-0.100452152071997,-0.000463821892393321,-0.100463821892393,-0.100463821892393,-0.0971559338516808,-0.0971559338516808,-0.0971559338516808,-0.0971559338516808,-0.0723232114396192,-0.0258628660704322,0.0992799780317998,0.0366091320444262,0.0494357799063681,0.0971559338516808,0.0971559338516808
"ESRP1",-0.104407154711414,-0.100452152071997,-0.100463821892393,-0.200463821892393,-0.100463821892393,-0.0971559338516808,-0.0971559338516808,-0.0971559338516808,-0.0971559338516808,-0.0723232114396192,-0.0258628660704322,0.0992799780317998,0.0366091320444262,0.0494357799063681,0.0971559338516808,0.0971559338516808
