"","MIR200","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","TWIST1","TGFB","ZEB1","SNAIL1","MIR129","MIR34","CD44s","MIR340"
"MIR200",0.0348927304898373,0.110141867851865,0.110141867851865,0.110141867851865,0.110141867851865,0.110141867851865,0.110091234940472,0.110091234940472,-0.0578334492706618,0.0148814262364096,-0.110229725873302,0.00840571802643886,0.0578334492706618,-0.18389927852942,-0.110091234940472,-0.110141867851865
"MIR340",0.107225286907897,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.103827179726853,0.103827179726853,0.0942510713031261,0.00142001945688338,-0.104111853530105,-0.060909203454587,-0.0942510713031261,-0.0985764102955577,-0.103827179726853,-0.104082065028467
"MIR1199",0.107225286907897,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.103827179726853,0.103827179726853,0.0942510713031261,0.00142001945688338,-0.104111853530105,-0.060909203454587,-0.0942510713031261,-0.0985764102955577,-0.103827179726853,-0.104082065028467
"HA",0.107225286907897,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.103827179726853,0.103827179726853,0.0942510713031261,0.00142001945688338,-0.104111853530105,-0.060909203454587,-0.0942510713031261,-0.0985764102955577,-0.103827179726853,-0.104082065028467
"CD44s",0.107225286907897,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.103827179726853,0.103827179726853,0.0942510713031261,0.00142001945688338,-0.104111853530105,-0.060909203454587,-0.0942510713031261,-0.0985764102955577,-0.103827179726853,-0.104082065028467
"CD24",0.107225286907897,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.104082065028467,0.103827179726853,0.103827179726853,0.0942510713031261,0.00142001945688338,-0.104111853530105,-0.060909203454587,-0.0942510713031261,-0.0985764102955577,-0.103827179726853,-0.104082065028467
"HAS2",0.107330660985874,0.103827179726853,0.103827179726853,0.103827179726853,0.103827179726853,0.103827179726853,0.204081632653061,0.104081632653061,0.0947076923076923,0.00170987452934715,-0.104082065028467,-0.0607199886958358,-0.0947076923076923,-0.0981549139836505,-0.104081632653061,-0.103827179726853
"TGFB",-0.00291465275959392,0.0708882381022676,0.0708882381022676,0.0708882381022676,0.0708882381022676,0.0708882381022676,0.0707168584964407,0.0707168584964407,-0.0800681946097614,-0.0587231387425006,-0.0709912247140081,-0.0206359258466796,0.0800681946097614,-0.0745262983077807,-0.0707168584964407,-0.0708882381022676
"MIR34",-0.00291465275959392,0.0708882381022676,0.0708882381022676,0.0708882381022676,0.0708882381022676,0.0708882381022676,0.0707168584964407,0.0707168584964407,-0.0800681946097614,-0.0587231387425006,-0.0709912247140081,-0.0206359258466796,0.0800681946097614,-0.0745262983077807,-0.0707168584964407,-0.0708882381022676
"SNAIL1",-0.00281559827962994,0.0709912247140081,0.0709912247140081,0.0709912247140081,0.0709912247140081,0.0709912247140081,0.0708882381022676,0.0708882381022676,-0.0801745614233156,-0.0589669222627346,-0.0709407094584009,-0.120851770438573,0.0801745614233156,-0.0745533131659526,-0.0708882381022676,-0.0709912247140081
"MIR129",0.0161799352523703,0.0203642137365403,0.0203642137365403,0.0203642137365403,0.0203642137365403,0.0203642137365403,0.0205132450331126,0.0205132450331126,-0.101994759626339,0.00190291631819078,-0.020439382867084,-0.0117299613726811,0.0243807253264068,-0.00983470957700681,-0.0205132450331126,-0.0203642137365403
"GRHL2",-0.00672760958872904,-0.00219275532217807,-0.00219275532217807,-0.00219275532217807,-0.00219275532217807,-0.00219275532217807,-0.00193797825211438,0.0980620217478856,-0.0767906660608197,-0.00228151642271219,0.00214864416205456,0.0553529180152385,0.0767906660608197,-0.00360905713281857,0.00193797825211438,0.00219275532217807
"ZEB1",-0.107316677878469,-0.104111853530105,-0.104111853530105,-0.104111853530105,-0.104111853530105,-0.104111853530105,-0.104082065028467,-0.104082065028467,-0.094219908947252,-0.00125741783086712,0.00406092147346877,0.0611045795535776,0.094219908947252,0.0985215757132145,0.104082065028467,0.104111853530105
"TWIST1",-0.0163955188680155,-0.020439382867084,-0.020439382867084,-0.020439382867084,-0.020439382867084,-0.020439382867084,-0.0203642137365403,-0.0203642137365403,0.0018378558606482,-0.00176203156192141,0.0203697934446762,0.0116613460302906,-0.0241976230507071,0.00971151893949527,0.0203642137365403,0.020439382867084
"MIR190",0.00262661924296653,-0.0707168584964407,-0.0707168584964407,-0.0707168584964407,-0.0707168584964407,-0.0707168584964407,-0.0709674850628567,-0.0709674850628567,0.0795842526827926,-0.0413242770943889,0.0708882381022676,0.0205430753360018,-0.0795842526827926,0.0740287858699697,0.0709674850628567,0.0707168584964407
"ESRP1",-0.107330660985874,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.103827179726853,-0.104081632653061,-0.104081632653061,-0.0947076923076923,-0.00170987452934715,0.104082065028467,0.0607199886958358,0.0947076923076923,0.0981549139836505,0.00408163265306122,0.103827179726853
