"","MIR340","MIR1199","GRHL2","HA","CD44s","TGFB","MIR34","MIR200","TWIST1","SNAIL1","MIR129","ZEB1","CD24","MIR190","HAS2","ESRP1"
"MIR340",0.33089072333714,0.33089072333714,0.33089072333714,0.322989278987098,0.322989278987098,0.278039207463319,0.257507810590253,0.257507810590253,0.0594192211226861,-0.078364932012501,-0.0961782728686838,-0.33455470903866,-0.322989278987098,-0.33089072333714,-0.33089072333714,-0.33089072333714
"MIR1199",0.33089072333714,0.33089072333714,0.33089072333714,0.322989278987098,0.322989278987098,0.278039207463319,0.257507810590253,0.257507810590253,0.0594192211226861,-0.078364932012501,-0.0961782728686838,-0.33455470903866,-0.322989278987098,-0.33089072333714,-0.33089072333714,-0.33089072333714
"HA",0.33089072333714,0.33089072333714,0.33089072333714,0.322989278987098,0.322989278987098,0.278039207463319,0.257507810590253,0.257507810590253,0.0594192211226861,-0.078364932012501,-0.0961782728686838,-0.33455470903866,-0.322989278987098,-0.33089072333714,-0.33089072333714,-0.33089072333714
"CD44s",0.33089072333714,0.33089072333714,0.33089072333714,0.322989278987098,0.322989278987098,0.278039207463319,0.257507810590253,0.257507810590253,0.0594192211226861,-0.078364932012501,-0.0961782728686838,-0.33455470903866,-0.322989278987098,-0.33089072333714,-0.33089072333714,-0.33089072333714
"MIR34",0.243228617453501,0.243228617453501,0.243228617453501,0.238172919081607,0.238172919081607,0.322013247024772,0.315888115311611,0.315888115311611,0.0911050802933695,-0.276970463973983,-0.243456530860343,-0.246803724118206,-0.238172919081607,-0.243228617453501,-0.243228617453501,-0.243228617453501
"MIR190",0.238172919081607,0.238172919081607,0.238172919081607,0.23040349552271,0.23040349552271,0.216086267413582,0.312562637437822,0.312562637437822,0.0907091278076678,-0.276924038718644,-0.243236557257176,-0.243228617453501,-0.23040349552271,-0.238172919081607,-0.238172919081607,-0.238172919081607
"MIR200",0.172926640501533,0.172926640501533,0.172926640501533,0.171357020248369,0.171357020248369,0.140102653350903,0.0230436348500083,0.0230436348500083,-0.0782625169809342,0.146834945414408,0.156961678907366,-0.173014498522971,-0.171357020248369,-0.172926640501533,-0.172926640501533,-0.172926640501533
"GRHL2",-0.0994708929424973,-0.0994708929424973,-0.0994708929424973,-0.0959040139616056,-0.0959040139616056,-0.084552751640123,-0.0797079637634171,-0.0797079637634171,-0.0565930769406671,0.0643030366159998,0.0779081126099425,0.10013256034435,-0.00409598603839441,0.0994708929424973,0.0994708929424973,0.0994708929424973
"ZEB1",-0.33455470903866,-0.33455470903866,-0.33455470903866,-0.33089072333714,-0.33089072333714,-0.283860345674701,-0.25964635930164,-0.25964635930164,-0.0592634093433155,0.0784951827451613,0.0957731622423205,0.237518954734901,0.33089072333714,0.33455470903866,0.33455470903866,0.33455470903866
"TGFB",-0.243228617453501,-0.243228617453501,-0.243228617453501,-0.238172919081607,-0.238172919081607,-0.322013247024772,-0.315888115311611,-0.315888115311611,-0.0911050802933695,0.276970463973983,0.243456530860343,0.246803724118206,0.238172919081607,0.243228617453501,0.243228617453501,0.243228617453501
"SNAIL1",-0.246803724118206,-0.246803724118206,-0.246803724118206,-0.243228617453501,-0.243228617453501,-0.325995044521928,-0.31809432872899,-0.31809432872899,-0.091059494516132,0.176930492753262,0.243623678710214,0.248945570955951,0.243228617453501,0.246803724118206,0.246803724118206,0.246803724118206
"MIR129",-0.318394977349217,-0.318394977349217,-0.318394977349217,-0.31273178807947,-0.31273178807947,-0.290759254888133,-0.28154947554206,-0.28154947554206,0.022933152789915,0.230308687259903,0.111742312077821,0.322579392282817,0.31273178807947,0.318394977349217,0.318394977349217,0.318394977349217
"TWIST1",-0.322579392282817,-0.322579392282817,-0.322579392282817,-0.318394977349217,-0.318394977349217,-0.295070328429976,-0.28416727658918,-0.28416727658918,-0.0773806547414658,0.230240071917513,0.111768469545778,0.3251020088451,0.318394977349217,0.322579392282817,0.322579392282817,0.322579392282817
"HAS2",-0.322989278987098,-0.322989278987098,-0.322989278987098,-0.413574520717378,-0.313574520717378,-0.270406357221773,-0.25297672523725,-0.25297672523725,-0.0600584905290788,0.0786487541506277,0.0962695970695971,0.33089072333714,0.313574520717378,0.322989278987098,0.322989278987098,0.322989278987098
"ESRP1",-0.322989278987098,-0.322989278987098,-0.322989278987098,-0.313574520717378,-0.413574520717378,-0.270406357221773,-0.25297672523725,-0.25297672523725,-0.0600584905290788,0.0786487541506277,0.0962695970695971,0.33089072333714,0.313574520717378,0.322989278987098,0.322989278987098,0.322989278987098
"CD24",-0.33089072333714,-0.33089072333714,-0.33089072333714,-0.322989278987098,-0.322989278987098,-0.278039207463319,-0.257507810590253,-0.257507810590253,-0.0594192211226861,0.078364932012501,0.0961782728686838,0.33455470903866,0.322989278987098,0.33089072333714,0.33089072333714,0.33089072333714
