"","MIR129","MIR34","ZEB1","HA","CD24","MIR340","HAS2","ESRP1","MIR190","MIR1199","GRHL2","TGFB","CD44s","MIR200","TWIST1","SNAIL1"
"SNAIL1",-0.131854434250267,-0.154350199287602,-0.170282694631269,0.170199029714619,0.170199029714619,0.170272591580148,0.170272591580148,0.170272591580148,-0.170272591580148,-0.170272591580148,-0.170272591580148,0.309143560038726,-0.170199029714619,0.329958209371961,0.333853040357119,0.29887261612618
"MIR190",-0.131944014748138,-0.15419226010369,-0.170199029714619,0.16919008060663,0.16919008060663,0.169941960305878,0.169941960305878,0.169941960305878,-0.169941960305878,-0.169941960305878,-0.169941960305878,0.207679194392575,-0.16919008060663,0.329396002279034,0.333262731616596,0.39867892086068
"ZEB1",-0.163911458369289,-0.152242497650988,-0.0797635343517667,-0.0206761896908556,-0.0206761896908556,-0.0203485161728335,-0.0203485161728335,-0.0203485161728335,0.0203485161728335,0.0203485161728335,0.0203485161728335,0.0203564522548216,0.0206761896908556,0.048223257320955,0.294723321812696,0.309464121028572
"TWIST1",-0.0603354832337633,-0.126642756706062,-0.0571191469451405,0.0568240501311015,0.0568240501311015,0.0570495575227327,0.0570495575227327,0.0570495575227327,-0.0570495575227327,-0.0570495575227327,-0.0570495575227327,0.146875371872618,-0.0568240501311015,0.194451097400885,0.21699489152172,0.349790723049235
"MIR340",0.163880296013414,0.152077993903958,-0.0203485161728335,0.0214408455956984,0.0214408455956984,0.0206761896908556,0.0206761896908556,0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0192182408727078,-0.0214408455956984,-0.0476566333034079,-0.294068912339339,-0.309171056880086
"MIR1199",0.163880296013414,0.152077993903958,-0.0203485161728335,0.0214408455956984,0.0214408455956984,0.0206761896908556,0.0206761896908556,0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0192182408727078,-0.0214408455956984,-0.0476566333034079,-0.294068912339339,-0.309171056880086
"CD44s",0.163880296013414,0.152077993903958,-0.0203485161728335,0.0214408455956984,0.0214408455956984,0.0206761896908556,0.0206761896908556,0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0192182408727078,-0.0214408455956984,-0.0476566333034079,-0.294068912339339,-0.309171056880086
"CD24",0.163880296013414,0.152077993903958,-0.0203485161728335,0.0214408455956984,0.0214408455956984,0.0206761896908556,0.0206761896908556,0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0206761896908556,-0.0192182408727078,-0.0214408455956984,-0.0476566333034079,-0.294068912339339,-0.309171056880086
"MIR200",0.179671335515328,0.256243841346441,-0.00505478842931537,0.00611299937308846,0.00611299937308846,0.00535350570220239,0.00535350570220239,0.00535350570220239,-0.00535350570220239,-0.00535350570220239,-0.00535350570220239,-0.0405365054348787,-0.00611299937308846,-0.170731722592201,-0.361726011533837,-0.404441584524335
"HA",-0.163880296013414,-0.152077993903958,0.0203485161728335,-0.0214408455956984,-0.0214408455956984,-0.0206761896908556,-0.0206761896908556,-0.0206761896908556,0.0206761896908556,0.0206761896908556,0.0206761896908556,0.0192182408727078,0.0214408455956984,0.0476566333034079,0.294068912339339,0.309171056880086
"HAS2",-0.163788971812501,-0.151656497592051,0.0206761896908556,0.0767779839208411,-0.0232220160791589,-0.0214408455956984,-0.0214408455956984,-0.0214408455956984,0.0214408455956984,0.0214408455956984,0.0214408455956984,0.016416308505558,0.0232220160791589,0.0462867702897093,0.292333752521988,0.30822498308633
"ESRP1",-0.163788971812501,-0.151656497592051,0.0206761896908556,-0.0232220160791589,-0.0232220160791589,-0.0214408455956984,-0.0214408455956984,-0.0214408455956984,0.0214408455956984,0.0214408455956984,0.0214408455956984,0.016416308505558,-0.0767779839208411,0.0462867702897093,0.292333752521988,0.30822498308633
"GRHL2",0.115469353763998,0.0261747148633915,0.0316038918134113,-0.031432392118256,-0.131432392118256,-0.0315597806532878,-0.0315597806532878,-0.0315597806532878,0.0315597806532878,0.0315597806532878,0.0315597806532878,-0.0525104414229161,0.031432392118256,-0.0681314630928373,-0.185703434426716,-0.180495521691793
"MIR129",0.0603616407017204,0.126550363727929,0.0570495575227327,-0.0562279249448124,-0.0562279249448124,-0.0568240501311015,-0.0568240501311015,-0.0568240501311015,0.0568240501311015,0.0568240501311015,0.0568240501311015,-0.146001886383748,0.0562279249448124,-0.19408152548835,-0.316576481479879,-0.349612323159019
"TGFB",0.131900020027505,0.15432318442943,0.170272591580148,-0.169941960305878,-0.169941960305878,-0.170199029714619,-0.170199029714619,-0.170199029714619,0.170199029714619,0.170199029714619,0.170199029714619,-0.308769758641034,0.169941960305878,-0.329841144986549,-0.333746673543565,-0.398864621882036
"MIR34",0.131900020027505,0.15432318442943,0.170272591580148,-0.169941960305878,-0.169941960305878,-0.170199029714619,-0.170199029714619,-0.170199029714619,0.170199029714619,0.170199029714619,0.170199029714619,-0.308769758641034,0.169941960305878,-0.329841144986549,-0.333746673543565,-0.398864621882036
