"","HA","CD24","MIR190","ESRP1","MIR34","TWIST1","TGFB","ZEB1","MIR129","SNAIL1","MIR200","MIR340","MIR1199","HAS2","GRHL2","CD44s"
"ESRP1",0.138126159554731,0.138126159554731,0.152629976348624,0.152629976348624,0.126909955779833,0.0862069068186715,-0.00394978021752869,-0.148127002686772,-0.050972016219075,-0.0658196162461634,-0.115500049964044,-0.152629976348624,-0.152629976348624,-0.152629976348624,-0.152629976348624,-0.238126159554731
"MIR340",0.152629976348624,0.152629976348624,0.148127002686772,0.148127002686772,0.12469710014232,0.0844717470013199,-0.00211403142525816,-0.144105554965592,-0.0534377696437326,-0.0676171564542997,-0.112128079468786,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.152629976348624
"MIR1199",0.152629976348624,0.152629976348624,0.148127002686772,0.148127002686772,0.12469710014232,0.0844717470013199,-0.00211403142525816,-0.144105554965592,-0.0534377696437326,-0.0676171564542997,-0.112128079468786,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.152629976348624
"HA",0.152629976348624,0.152629976348624,0.148127002686772,0.148127002686772,0.12469710014232,0.0844717470013199,-0.00211403142525816,-0.144105554965592,-0.0534377696437326,-0.0676171564542997,-0.112128079468786,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.152629976348624
"CD24",0.152629976348624,0.152629976348624,0.148127002686772,0.148127002686772,0.12469710014232,0.0844717470013199,-0.00211403142525816,-0.144105554965592,-0.0534377696437326,-0.0676171564542997,-0.112128079468786,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.148127002686772,-0.152629976348624
"TGFB",0.116870672203218,0.116870672203218,0.11815601924692,0.11815601924692,0.121320196375088,0.083509582013181,-0.0746589581375644,-0.119053474006373,-0.022403282260311,-0.0237434960301875,0.00441626944500178,-0.11815601924692,-0.11815601924692,-0.11815601924692,-0.11815601924692,-0.116870672203218
"MIR34",0.116870672203218,0.116870672203218,0.11815601924692,0.11815601924692,0.121320196375088,0.083509582013181,-0.0746589581375644,-0.119053474006373,-0.022403282260311,-0.0237434960301875,0.00441626944500178,-0.11815601924692,-0.11815601924692,-0.11815601924692,-0.11815601924692,-0.116870672203218
"MIR200",0.0906811066508731,0.0906811066508731,0.0892127522204934,0.0892127522204934,-9.01933386309609e-05,-0.0638497706483341,-0.00708529181283729,-0.0863134375130606,0.0313865077081005,0.0281137042069132,-0.170370936993721,-0.0892127522204934,-0.0892127522204934,-0.0892127522204934,-0.0892127522204934,-0.0906811066508731
"MIR129",0.00977097130242826,0.00977097130242826,0.00127618739780829,0.00127618739780829,-0.000809926270187819,-0.0405528349065991,0.00292313067173847,-0.00320552841509719,-0.11026910206234,0.00769181386536795,-0.00686109039101397,-0.00127618739780829,-0.00127618739780829,-0.00127618739780829,-0.00127618739780829,-0.00977097130242826
"TWIST1",-0.00127618739780829,-0.00127618739780829,-0.00320552841509719,-0.00320552841509719,-0.00079155201746232,-0.0612777090264553,-0.0024441225004226,0.0059021185333992,0.11045220433804,-0.00965421265773792,0.00763103187546116,0.00320552841509719,0.00320552841509719,0.00320552841509719,0.00320552841509719,0.00127618739780829
"ZEB1",-0.148127002686772,-0.148127002686772,-0.144105554965592,-0.144105554965592,-0.122924115313221,-0.0864973001331367,0.00247175500249394,0.0472327832430702,0.0552140239285565,0.0669333401078327,0.108965951886991,0.144105554965592,0.144105554965592,0.144105554965592,0.144105554965592,0.148127002686772
"MIR190",-0.119878191000211,-0.119878191000211,-0.116870672203218,-0.116870672203218,-0.119565810410176,-0.0824097139973429,-0.0246298043090928,0.11815601924692,0.0207754775968707,0.0257862072650993,-0.00423297538896617,0.116870672203218,0.116870672203218,0.116870672203218,0.116870672203218,0.119878191000211
"SNAIL1",-0.11815601924692,-0.11815601924692,-0.119053474006373,-0.119053474006373,-0.12107706265154,-0.0827346238001434,0.0752602908208083,0.118255332967779,0.0206862179843651,-0.0750973385689011,-0.00307453148912605,0.119053474006373,0.119053474006373,0.119053474006373,0.119053474006373,0.11815601924692
"CD44s",-0.152629976348624,-0.152629976348624,-0.148127002686772,-0.148127002686772,-0.12469710014232,-0.0844717470013199,0.00211403142525816,0.144105554965592,0.0534377696437326,0.0676171564542997,0.112128079468786,0.148127002686772,0.148127002686772,0.148127002686772,0.148127002686772,0.152629976348624
"HAS2",-0.238126159554731,-0.138126159554731,-0.152629976348624,-0.152629976348624,-0.126909955779833,-0.0862069068186715,0.00394978021752869,0.148127002686772,0.050972016219075,0.0658196162461634,0.115500049964044,0.152629976348624,0.152629976348624,0.152629976348624,0.152629976348624,0.138126159554731
"GRHL2",-0.196964260676303,-0.296964260676303,-0.197219037746366,-0.197219037746366,-0.209425881729486,-0.104934613308964,0.00970371263192437,0.193072588694756,0.0712180296227765,0.092426133694735,0.174913599776015,0.197219037746366,0.197219037746366,0.197219037746366,0.197219037746366,0.196964260676303
