"","TWIST1","MIR34","CD44s","CD24","MIR340","MIR1199","ESRP1","TGFB","ZEB1","MIR200","MIR190","HAS2","GRHL2","HA","SNAIL1","MIR129"
"SNAIL1",-0.0867936438754681,0.025528624445976,0.14230197492288,0.14230197492288,0.142610934758101,0.142610934758101,0.142610934758101,0.159433285545197,-0.142762480524923,-0.11720248420592,-0.142610934758101,-0.142610934758101,-0.142610934758101,-0.14230197492288,-0.112766790537637,0.0867936438754681
"MIR190",-0.0851170713215823,0.026545559251085,0.143904309808938,0.143904309808938,0.142901803543274,0.142901803543274,0.142901803543274,0.0604074024165656,-0.14230197492288,-0.116540517610546,-0.142901803543274,-0.142901803543274,-0.142901803543274,-0.143904309808938,-0.0127308535524708,0.0851170713215823
"HAS2",0.172765031047384,0.131835011038476,0.0827149041434756,0.0827149041434756,0.0783892043979285,0.0783892043979285,0.0783892043979285,0.0754570198789266,-0.080683172112457,-0.0658651532729895,-0.0783892043979285,-0.0783892043979285,-0.0783892043979285,0.0172850958565244,-0.130357775899299,-0.172765031047384
"ESRP1",0.172765031047384,0.131835011038476,0.182714904143476,0.0827149041434756,0.0783892043979285,0.0783892043979285,0.0783892043979285,0.0754570198789266,-0.080683172112457,-0.0658651532729895,-0.0783892043979285,-0.0783892043979285,-0.0783892043979285,-0.0827149041434756,-0.130357775899299,-0.172765031047384
"MIR1199",0.170664574426379,0.132572629584313,0.0783892043979285,0.0783892043979285,0.080683172112457,0.080683172112457,0.080683172112457,0.0728483242267527,-0.0805342296042651,-0.0679726348325258,-0.080683172112457,-0.080683172112457,-0.080683172112457,-0.0783892043979285,-0.130641598037426,-0.170664574426379
"HA",0.170664574426379,0.132572629584313,0.0783892043979285,0.0783892043979285,0.080683172112457,0.080683172112457,0.080683172112457,0.0728483242267527,-0.0805342296042651,-0.0679726348325258,-0.080683172112457,-0.080683172112457,-0.080683172112457,-0.0783892043979285,-0.130641598037426,-0.170664574426379
"CD44s",0.170664574426379,0.132572629584313,0.0783892043979285,0.0783892043979285,0.080683172112457,0.080683172112457,0.080683172112457,0.0728483242267527,-0.0805342296042651,-0.0679726348325258,-0.080683172112457,-0.080683172112457,-0.080683172112457,-0.0783892043979285,-0.130641598037426,-0.170664574426379
"ZEB1",-0.17013481437652,-0.132590907778428,-0.080683172112457,-0.080683172112457,-0.0805342296042651,-0.0805342296042651,-0.0805342296042651,-0.0750271860153705,-0.0184369428516786,0.0677715746972672,0.0805342296042651,0.0805342296042651,0.0805342296042651,0.080683172112457,0.130706723403756,0.17013481437652
"TWIST1",-0.0212938293149951,-0.00823921118436887,0.00858194911880722,0.00858194911880722,0.00715373563847648,0.00715373563847648,0.00715373563847648,0.010362753652026,-0.00757127217292324,-0.0125296904356884,-0.00715373563847648,-0.00715373563847648,-0.00715373563847648,-0.00858194911880722,0.0327020813344094,0.00260541363288284
"GRHL2",-0.118782397783512,-0.0236661315850507,0.00249724795274534,-0.0975027520472547,-0.000305299817955301,-0.000305299817955301,-0.000305299817955301,0.00603878333318447,-0.000400478744020879,-0.0088789527017034,0.000305299817955301,0.000305299817955301,0.000305299817955301,-0.00249724795274534,0.0906146411977768,0.118782397783512
"MIR129",-0.0791245807268459,0.0067301258748524,-0.00694260485651214,-0.00694260485651214,-0.00858194911880722,-0.00858194911880722,-0.00858194911880722,-0.00994009938321792,0.00715373563847648,0.0127760717107115,0.00858194911880722,0.00858194911880722,0.00858194911880722,0.00694260485651214,-0.0333745116898369,-0.00216073667761211
"MIR200",-0.159941284533308,-0.189620319562238,-0.0622713799158663,-0.0622713799158663,-0.0640435318146005,-0.0640435318146005,-0.0640435318146005,-0.0705630541477085,0.0642016762531878,-0.0230091488857576,0.0640435318146005,0.0640435318146005,0.0640435318146005,0.0622713799158663,0.109375599982901,0.159941284533308
"MIR340",-0.170664574426379,-0.132572629584313,-0.0783892043979285,-0.0783892043979285,-0.080683172112457,-0.080683172112457,-0.080683172112457,-0.0728483242267527,0.0805342296042651,0.0679726348325258,0.080683172112457,0.080683172112457,0.080683172112457,0.0783892043979285,0.130641598037426,0.170664574426379
"CD24",-0.170664574426379,-0.132572629584313,-0.0783892043979285,-0.0783892043979285,-0.080683172112457,-0.080683172112457,-0.080683172112457,-0.0728483242267527,0.0805342296042651,0.0679726348325258,0.080683172112457,0.080683172112457,0.080683172112457,0.0783892043979285,0.130641598037426,0.170664574426379
"TGFB",0.0866568865437556,-0.0251053916679481,-0.142901803543274,-0.142901803543274,-0.14230197492288,-0.14230197492288,-0.14230197492288,-0.159222006494328,0.142610934758101,0.11724750896954,0.14230197492288,0.14230197492288,0.14230197492288,0.142901803543274,0.0133343818718766,-0.0866568865437556
"MIR34",0.0866568865437556,-0.0251053916679481,-0.142901803543274,-0.142901803543274,-0.14230197492288,-0.14230197492288,-0.14230197492288,-0.159222006494328,0.142610934758101,0.11724750896954,0.14230197492288,0.14230197492288,0.14230197492288,0.142901803543274,0.0133343818718766,-0.0866568865437556
