"","MIR200","CD44s","MIR340","MIR1199","HAS2","GRHL2","TWIST1","ZEB1","SNAIL1","MIR129","MIR190","ESRP1","HA","CD24","TGFB","MIR34"
"MIR129",0.0951394221506053,0.183236754966887,0.18338578626346,0.18338578626346,0.18338578626346,0.18338578626346,-0.0926245850529661,-0.183009940610741,-0.00607599385230053,-0.0293752510802202,-0.18338578626346,-0.18338578626346,-0.183236754966887,-0.183236754966887,-0.124836570071256,-0.0951394221506053
"MIR34",0.130613311391501,0.129784394636391,0.129784394636391,0.129784394636391,0.129784394636391,0.129784394636391,-0.0881356131667332,-0.129710832770862,-0.0315312739854782,0.0239442260170903,-0.129784394636391,-0.129784394636391,-0.129784394636391,-0.129784394636391,-0.163515587334551,-0.130613311391501
"MIR200",0.207231383139779,0.110992135841373,0.110840237107196,0.110840237107196,0.110840237107196,0.110840237107196,-0.0827542135273217,-0.110787522294334,-0.0528527884284947,0.0409611955702309,-0.110840237107196,-0.110840237107196,-0.110992135841373,-0.110992135841373,-0.310952356651637,-0.207231383139779
"MIR340",0.0943025701418826,0.0610937227076813,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0474172541398972,-0.0602397012979233,0.0254853408246669,-0.0333035113154372,-0.0603290668028384,-0.0603290668028384,-0.0610937227076813,-0.0610937227076813,-0.0842767961967186,-0.0943025701418826
"HA",0.0943025701418826,0.0610937227076813,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0474172541398972,-0.0602397012979233,0.0254853408246669,-0.0333035113154372,-0.0603290668028384,-0.0603290668028384,-0.0610937227076813,-0.0610937227076813,-0.0842767961967186,-0.0943025701418826
"CD44s",0.0943025701418826,0.0610937227076813,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0474172541398972,-0.0602397012979233,0.0254853408246669,-0.0333035113154372,-0.0603290668028384,-0.0603290668028384,-0.0610937227076813,-0.0610937227076813,-0.0842767961967186,-0.0943025701418826
"CD24",0.0943025701418826,0.0610937227076813,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0603290668028384,0.0474172541398972,-0.0602397012979233,0.0254853408246669,-0.0333035113154372,-0.0603290668028384,-0.0603290668028384,-0.0610937227076813,-0.0610937227076813,-0.0842767961967186,-0.0943025701418826
"ZEB1",-0.0941380663948528,-0.0603290668028384,-0.0602397012979233,-0.0602397012979233,-0.0602397012979233,-0.0602397012979233,-0.0470121435135338,-0.0396278753548219,-0.025517903507832,0.0336462972300523,0.0602397012979233,0.0602397012979233,0.0603290668028384,0.0603290668028384,0.0841141945707023,0.0941380663948528
"MIR1199",-0.0943025701418826,-0.0610937227076813,-0.0603290668028384,-0.0603290668028384,-0.0603290668028384,-0.0603290668028384,-0.0474172541398972,0.0602397012979233,-0.0254853408246669,0.0333035113154372,0.0603290668028384,0.0603290668028384,0.0610937227076813,0.0610937227076813,0.0842767961967186,0.0943025701418826
"HAS2",-0.094091821985929,-0.0613481756338899,-0.0610937227076813,-0.0610937227076813,-0.0610937227076813,-0.0610937227076813,-0.0478738751444634,0.0603290668028384,-0.0252015186865401,0.0350386711327888,0.0610937227076813,0.0610937227076813,-0.0386518243661101,0.0613481756338899,0.0851463614141099,0.094091821985929
"ESRP1",-0.094091821985929,-0.16134817563389,-0.0610937227076813,-0.0610937227076813,-0.0610937227076813,-0.0610937227076813,-0.0478738751444634,0.0603290668028384,-0.0252015186865401,0.0350386711327888,0.0610937227076813,0.0610937227076813,0.0613481756338899,0.0613481756338899,0.0851463614141099,0.094091821985929
"SNAIL1",-0.130406197478849,-0.129784394636391,-0.129710832770862,-0.129710832770862,-0.129710832770862,-0.129710832770862,0.0880900273894957,0.129640111413012,-0.0682688699109164,-0.0236251255764278,0.129710832770862,0.129710832770862,0.129784394636391,0.129784394636391,0.163629352977326,0.130406197478849
"TGFB",-0.130613311391501,-0.129784394636391,-0.129784394636391,-0.129784394636391,-0.129784394636391,-0.129784394636391,0.0881356131667332,0.129710832770862,0.0315312739854782,-0.0239442260170903,0.129784394636391,0.129784394636391,0.129784394636391,0.129784394636391,0.163515587334551,0.130613311391501
"MIR190",-0.130430017335465,-0.129032514937143,-0.129784394636391,-0.129784394636391,-0.129784394636391,-0.129784394636391,0.0880036290048326,0.129784394636391,0.0319491012835283,-0.0232843052075874,0.129784394636391,0.129784394636391,0.129032514937143,0.129032514937143,0.262994013128766,0.130430017335465
"GRHL2",-0.181674595970167,-0.178603556032875,-0.177966613357716,-0.177966613357716,-0.177966613357716,-0.177966613357716,-0.065840002917279,0.177701946396975,-0.0497584539872247,0.0501944881079051,0.177966613357716,0.177966613357716,0.178603556032875,0.0786035560328754,0.181380374687295,0.181674595970167
"TWIST1",-0.0952318151287389,-0.18338578626346,-0.183009940610741,-0.183009940610741,-0.183009940610741,-0.183009940610741,-0.00721851118134349,0.182922953832731,0.00592504009904131,0.0285120546376358,0.183009940610741,0.183009940610741,0.18338578626346,0.18338578626346,0.124582977509971,0.0952318151287389
