"","MIR340","MIR190","HAS2","GRHL2","ESRP1","HA","CD24","MIR34","MIR200","MIR129","TGFB","SNAIL1","TWIST1","ZEB1","CD44s","MIR1199"
"GRHL2",0.421885582612864,0.421885582612864,0.421885582612864,0.421885582612864,0.421885582612864,0.412713608090571,0.512713608090571,0.323929763099529,0.323929763099529,0.0860130011418798,-0.0155123271606051,-0.123015210209102,-0.13076467105765,-0.42748769994855,-0.412713608090571,-0.421885582612864
"MIR340",0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.324858729057202,0.324858729057202,0.23290787048186,0.23290787048186,0.0679348114684134,-0.00832829985665333,-0.0978500303234194,-0.111093863214411,-0.338218201357819,-0.324858729057202,-0.333779714613702
"MIR1199",0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.324858729057202,0.324858729057202,0.23290787048186,0.23290787048186,0.0679348114684134,-0.00832829985665333,-0.0978500303234194,-0.111093863214411,-0.338218201357819,-0.324858729057202,-0.333779714613702
"HA",0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.324858729057202,0.324858729057202,0.23290787048186,0.23290787048186,0.0679348114684134,-0.00832829985665333,-0.0978500303234194,-0.111093863214411,-0.338218201357819,-0.324858729057202,-0.333779714613702
"CD24",0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.333779714613702,0.324858729057202,0.324858729057202,0.23290787048186,0.23290787048186,0.0679348114684134,-0.00832829985665333,-0.0978500303234194,-0.111093863214411,-0.338218201357819,-0.324858729057202,-0.333779714613702
"HAS2",0.324858729057202,0.324858729057202,0.324858729057202,0.324858729057202,0.324858729057202,0.414935064935065,0.314935064935065,0.22827141105088,0.22827141105088,0.0663823000528883,-0.00745873463926202,-0.0973769934265415,-0.108993406593407,-0.333779714613702,-0.314935064935065,-0.324858729057202
"ESRP1",0.324858729057202,0.324858729057202,0.324858729057202,0.324858729057202,0.324858729057202,0.314935064935065,0.314935064935065,0.22827141105088,0.22827141105088,0.0663823000528883,-0.00745873463926202,-0.0973769934265415,-0.108993406593407,-0.333779714613702,-0.414935064935065,-0.324858729057202
"MIR200",0.230126138184528,0.230126138184528,0.230126138184528,0.230126138184528,0.230126138184528,0.225214745779464,0.225214745779464,0.247628679855023,0.247628679855023,-0.0208006339882088,0.183430850496198,0.00150662651140893,0.0415942250861286,-0.232463161554761,-0.225214745779464,-0.230126138184528
"MIR34",0.101352703161504,0.101352703161504,0.101352703161504,0.101352703161504,0.101352703161504,0.100667184738197,0.100667184738197,0.00204800568335814,0.00204800568335814,0.0160577935238899,-0.066986689412735,-0.00587620290488631,-0.0702248880460956,-0.102544405383073,-0.100667184738197,-0.101352703161504
"MIR190",0.100667184738197,0.100667184738197,0.100667184738197,0.100667184738197,0.100667184738197,0.0996646784725326,0.0996646784725326,0.00170760243643486,0.00170760243643486,0.0167177143333928,-0.166939273575845,-0.00601547867090303,-0.0700049144429279,-0.101352703161504,-0.0996646784725326,-0.100667184738197
"MIR129",0.0544593585403487,0.0544593585403487,0.0544593585403487,0.0544593585403487,0.0544593585403487,0.0532671081677704,0.0532671081677704,0.0270451334027455,0.0270451334027455,-0.102821911209782,-0.00282860426058517,-0.0210489559757736,-0.049955859153061,-0.0564889250650292,-0.0532671081677704,-0.0544593585403487
"TWIST1",-0.0564889250650292,-0.0564889250650292,-0.0564889250650292,-0.0564889250650292,-0.0564889250650292,-0.0544593585403487,-0.0544593585403487,-0.0279074678653264,-0.0279074678653264,0.101226305664399,0.00263136560180805,0.0213645865507701,-0.0499918395917089,0.0569412563106799,0.0544593585403487,0.0564889250650292
"TGFB",-0.101352703161504,-0.101352703161504,-0.101352703161504,-0.101352703161504,-0.101352703161504,-0.100667184738197,-0.100667184738197,-0.00204800568335814,-0.00204800568335814,-0.0160577935238899,0.066986689412735,0.00587620290488631,0.0702248880460956,0.102544405383073,0.100667184738197,0.101352703161504
"SNAIL1",-0.102544405383073,-0.102544405383073,-0.102544405383073,-0.102544405383073,-0.102544405383073,-0.101352703161504,-0.101352703161504,-0.00283143657034598,-0.00283143657034598,-0.0158906456740191,0.0670354461167818,-0.0940038834329504,0.069905787605433,0.10280708471223,0.101352703161504,0.102544405383073
"ZEB1",-0.338218201357819,-0.338218201357819,-0.338218201357819,-0.338218201357819,-0.338218201357819,-0.333779714613702,-0.333779714613702,-0.235448539463765,-0.235448539463765,-0.06752970084205,0.00888114538510861,0.0988920361847024,0.111935246823012,0.241712140443079,0.333779714613702,0.338218201357819
"CD44s",-0.333779714613702,-0.333779714613702,-0.333779714613702,-0.333779714613702,-0.333779714613702,-0.324858729057202,-0.324858729057202,-0.23290787048186,-0.23290787048186,-0.0679348114684134,0.00832829985665333,0.0978500303234194,0.111093863214411,0.338218201357819,0.324858729057202,0.333779714613702
